artifact_id,target_variable,scoring_theory,mean_absolute_predicted_effect,mean_absolute_neural_effect,mean_intervention_norm,rmse,examples,negative_control_interpretation
das_000_contextual_outcome_history_latent_context_L30_r8,action_history,dual_history,0.2966796734433154,0.14583333333333334,0.48510673145453137,0.23421442454954572,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,action_history,latent_context,0.0,0.14583333333333334,0.48510673145453137,0.1692508000965825,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,action_history,outcome_history,0.0,0.14583333333333334,0.48510673145453137,0.1692508000965825,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,dual_history,0.013290635703761064,0.2708333333333333,1.2202372997999191,0.36543524390111437,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,0.45867098400917,0.2708333333333333,1.2202372997999191,0.6019159929527728,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,outcome_history,0.025278424920654425,0.2708333333333333,1.2202372997999191,0.3667489147516275,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,outcome_history,dual_history,0.013290635703760692,0.3958333333333333,1.5953961809476216,0.4704322084207816,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,outcome_history,latent_context,0.12152399396470999,0.3958333333333333,1.5953961809476216,0.5962946530620173,6,True
das_000_contextual_outcome_history_latent_context_L30_r8,outcome_history,outcome_history,0.025278424920655056,0.3958333333333333,1.5953961809476216,0.47567240980011466,6,True
das_001_outcome_history_dual_history_L28_r2,action_history,dual_history,0.2966796734433154,0.08333333333333333,0.32064637293418247,0.2714998879941254,6,True
das_001_outcome_history_dual_history_L28_r2,action_history,latent_context,0.0,0.08333333333333333,0.32064637293418247,0.10206207261596575,6,True
das_001_outcome_history_dual_history_L28_r2,action_history,outcome_history,0.0,0.08333333333333333,0.32064637293418247,0.10206207261596575,6,True
das_001_outcome_history_dual_history_L28_r2,contextual_outcome_history,dual_history,0.013290635703761064,0.2708333333333333,0.7688966492811838,0.33851921446075506,6,True
das_001_outcome_history_dual_history_L28_r2,contextual_outcome_history,latent_context,0.45867098400917,0.2708333333333333,0.7688966492811838,0.48167428472986795,6,True
das_001_outcome_history_dual_history_L28_r2,contextual_outcome_history,outcome_history,0.025278424920654425,0.2708333333333333,0.7688966492811838,0.33549986623146794,6,True
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,0.013290635703760692,0.25,0.6532595977187157,0.3230221473275119,6,True
das_001_outcome_history_dual_history_L28_r2,outcome_history,latent_context,0.12152399396470999,0.25,0.6532595977187157,0.46006463655822477,6,True
das_001_outcome_history_dual_history_L28_r2,outcome_history,outcome_history,0.025278424920655056,0.25,0.6532595977187157,0.3237370312972179,6,True
das_002_outcome_history_outcome_history_L30_r2,action_history,dual_history,0.2966796734433154,0.125,0.3583916376034419,0.2541926101611656,6,True
das_002_outcome_history_outcome_history_L30_r2,action_history,latent_context,0.0,0.125,0.3583916376034419,0.1613743060919757,6,True
das_002_outcome_history_outcome_history_L30_r2,action_history,outcome_history,0.0,0.125,0.3583916376034419,0.1613743060919757,6,True
das_002_outcome_history_outcome_history_L30_r2,contextual_outcome_history,dual_history,0.013290635703761064,0.3125,1.0913400053977966,0.3634637987014935,6,True
das_002_outcome_history_outcome_history_L30_r2,contextual_outcome_history,latent_context,0.45867098400917,0.3125,1.0913400053977966,0.37171992669356685,6,True
das_002_outcome_history_outcome_history_L30_r2,contextual_outcome_history,outcome_history,0.025278424920654425,0.3125,1.0913400053977966,0.3564742449946456,6,True
das_002_outcome_history_outcome_history_L30_r2,outcome_history,dual_history,0.013290635703760692,0.25,1.0337547262509663,0.3382758383146952,6,True
das_002_outcome_history_outcome_history_L30_r2,outcome_history,latent_context,0.12152399396470999,0.25,1.0337547262509663,0.45903685805467576,6,True
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,0.025278424920655056,0.25,1.0337547262509663,0.3315086550647855,6,True
