artifact_id,subspace_target,subspace_theory,target_variable,scoring_theory,pair_split,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75,row_set_sha256
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,outcome_history,latent_context,mech_pair_test,0.42421875127451747,0.7809397389537122,2.125670215936792,-0.6644691010866277,0.94661818154698,1.0,24,0.1,24,1.0,0.7454811265712604,0.20325230853469428,0.8851139764022963,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,outcome_history,latent_context,mech_task_holdout,0.412263136349622,0.6759950114333979,1.1599809289179872,-0.07425329727612483,0.5610596230976341,0.6666666666666666,18,0.1,13,0.7222222222222222,0.83397093448904,0.04915822676079673,0.9185995354920569,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,outcome_history,outcome_history,mech_pair_test,0.2391085368370499,0.7219172016934652,2.2776297689034375,-0.7013773666578362,1.0245990458473264,1.0,24,0.1,24,1.0,0.6671944322611192,0.050674835245496125,0.8475284764316555,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_000_contextual_outcome_history_latent_context_L30_r8,contextual_outcome_history,latent_context,outcome_history,outcome_history,mech_task_holdout,0.4867085380587499,0.7749412340814515,1.4303810069155127,-0.22697738514379412,0.509081280328647,0.7222222222222222,18,0.1,12,0.6666666666666666,0.8135584081080454,0.5681901082687811,0.949415520331765,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,action_history,dual_history,mech_pair_test,0.037058532071824524,0.2115569266149433,0.05946682672128108,0.0036749868252114472,0.2264595534024333,0.16666666666666666,24,0.1,12,0.5,3.5621660515738895e-07,5.130629843197454e-08,0.1215270677669823,f75f2d363917a0b6c9c19af9c4cc4b43d23cc7d32a88856a0975e4c07989fc78
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,action_history,dual_history,mech_task_holdout,-0.20946994619891113,-0.3420247763622661,-0.09279754179612162,0.012947845003291233,0.21692400949914176,0.05555555555555555,18,0.1,12,0.6666666666666666,1.1361204199644703e-07,1.1361204199644703e-07,3.9282544805896435e-07,ca2fa703aadb36dfd01ddb87ac60fdbc20224d742b0c0671a8a81a792a2e6354
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,action_history,latent_context,mech_pair_test,,,0.0,-8.527581831597957e-19,0.0625,0.75,24,0.1,0,0.0,,,,f75f2d363917a0b6c9c19af9c4cc4b43d23cc7d32a88856a0975e4c07989fc78
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,action_history,latent_context,mech_task_holdout,,,0.0,0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,,ca2fa703aadb36dfd01ddb87ac60fdbc20224d742b0c0671a8a81a792a2e6354
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,action_history,outcome_history,mech_pair_test,,,0.0,-8.527581831597957e-19,0.0625,0.75,24,0.1,0,0.0,,,,f75f2d363917a0b6c9c19af9c4cc4b43d23cc7d32a88856a0975e4c07989fc78
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,action_history,outcome_history,mech_task_holdout,,,0.0,0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,,ca2fa703aadb36dfd01ddb87ac60fdbc20224d742b0c0671a8a81a792a2e6354
