run,task,observations,approved,parse_rate,mean_p_continue,persistence_logit_sd,mean_absolute_mapping_gap,top_token_action_rate,failed_checks
original_XY,bandit,140,False,1.0,0.2988531833281601,1.9125639393754614,0.3785328604109829,1.0,counterbalance
original_XY,debugging,140,False,1.0,0.3416678601738239,2.5549843725324215,0.5216581658688187,1.0,counterbalance
original_XY,effort,140,False,1.0,0.4320235992478349,2.1620149578709102,0.5106017843051623,1.0,counterbalance
original_XY,foraging,140,False,1.0,0.473672943726615,2.230494381008429,0.43509236571916726,1.0,counterbalance
original_XY,information_sampling,140,False,1.0,0.40402067285783366,1.4568883851211545,0.49677545891793695,1.0,counterbalance
original_XY,solvability,140,False,1.0,0.6902942246172873,2.2289720541751836,0.29127295846811047,1.0,counterbalance
original_XY,waiting,140,False,1.0,0.2613695394560932,2.6547521999839514,0.32750521752932676,1.0,counterbalance
fresh_AB,bandit,140,True,1.0,0.2317975804908996,1.4792834901200747,0.21424835737814368,1.0,
fresh_AB,debugging,140,False,1.0,0.3568739616534733,1.7454543352178926,0.4157167655343437,1.0,counterbalance
fresh_AB,effort,140,False,1.0,0.37254318157406424,2.157860423461827,0.5630381872492928,1.0,counterbalance
fresh_AB,foraging,140,False,1.0,0.2995293321220145,1.8246009996190662,0.33329744925469257,1.0,counterbalance
fresh_AB,information_sampling,140,False,1.0,0.32075027290393293,1.7689738186353894,0.4949049544618807,1.0,counterbalance
fresh_AB,solvability,140,False,1.0,0.4839239724541125,2.6709082957115395,0.4912947178866513,1.0,counterbalance
fresh_AB,waiting,140,False,1.0,0.3097709996811878,2.6979958589064323,0.3777801542020187,1.0,counterbalance
fresh_XY,bandit,140,False,1.0,0.31592587989329896,1.8954416281772801,0.37207781846769744,1.0,counterbalance
fresh_XY,debugging,140,False,1.0,0.347514620789632,2.51415826431157,0.5521472827040719,1.0,counterbalance
fresh_XY,effort,140,False,1.0,0.42260652056177717,2.223518616927972,0.5218208787106183,1.0,counterbalance
fresh_XY,foraging,140,False,1.0,0.4642460901102718,2.072324695635756,0.4589031845075275,1.0,counterbalance
fresh_XY,information_sampling,140,False,1.0,0.4022901076133521,1.4795507863168649,0.49244699207352444,1.0,counterbalance
fresh_XY,solvability,140,False,1.0,0.6738962000733212,2.650563747749498,0.290453249624387,1.0,counterbalance
fresh_XY,waiting,140,False,1.0,0.26551542363561725,3.0409972507864675,0.3354441538006632,1.0,counterbalance
