layer,direction,steering_mode,task_family,linear_slope,linear_intercept,dose_r2,monotonic_rho,mean_absolute_effect,task_sign_consistency
8,action_orthogonal,computational_units,bandit,-0.01041666666666667,0.015625,0.33333333333333326,-0.37435244296357284,0.015625,
8,action_orthogonal,computational_units,debugging,-0.017857142857142856,0.02008928571428571,0.7868852459016393,-0.8153742483272114,0.024553571428571428,
8,action_orthogonal,computational_units,effort,0.009672619047619046,-0.0022321428571428566,0.5868055555555555,0.7297691588509918,0.011160714285714286,
8,action_orthogonal,computational_units,foraging,-1.0706945744044232e-18,0.011160714285714282,1.1102230246251565e-16,0.05910828046793256,0.015625,
8,action_orthogonal,computational_units,information_sampling,-0.0014880952380952363,-0.020089285714285712,0.0277777777777779,-0.23145502494313788,0.020089285714285716,
8,action_orthogonal,computational_units,solvability,-0.005208333333333335,-0.011160714285714282,0.15705128205128216,-0.3120448167410998,0.015625,
8,action_orthogonal,computational_units,waiting,-0.0066964285714285745,0.0022321428571428583,0.3970588235294118,-0.5858449331643023,0.011160714285714286,
8,action_orthogonal,neural_norm,bandit,-0.0037202380952380963,0.02008928571428571,0.05208333333333326,-0.16840826742715195,0.020089285714285716,
8,action_orthogonal,neural_norm,debugging,0.005208333333333334,0.015624999999999997,0.29166666666666674,0.566946709513841,0.015625,
8,action_orthogonal,neural_norm,effort,-0.002232142857142857,-0.0022321428571428575,0.04411764705882337,-0.07559289460184546,0.011160714285714286,
8,action_orthogonal,neural_norm,foraging,-0.008928571428571432,0.015625,0.34285714285714286,-0.592999453328881,0.020089285714285716,
8,action_orthogonal,neural_norm,information_sampling,-0.003720238095238096,-0.02455357142857143,0.061274509803921684,-0.1468446196428705,0.024553571428571428,
8,action_orthogonal,neural_norm,solvability,-0.0014880952380952378,-0.008928571428571428,0.05555555555555547,-0.14433756729740646,0.008928571428571428,
8,action_orthogonal,neural_norm,waiting,-0.002976190476190477,0.00669642857142857,0.06666666666666676,-0.09356014857063998,0.011160714285714286,
8,action_raw,computational_units,bandit,0.002976190476190475,0.01339285714285714,0.07843137254901955,0.24567690745599777,0.013392857142857142,
8,action_raw,computational_units,debugging,-0.009672619047619051,0.029017857142857144,0.45430107526881713,-0.7297691588509918,0.029017857142857144,
8,action_raw,computational_units,effort,0.0007440476190476187,-0.008928571428571428,0.0030864197530865445,-0.09356014857063998,0.013392857142857142,
8,action_raw,computational_units,foraging,-0.0037202380952380976,0.017857142857142856,0.06720430107526898,-0.18712029714127995,0.017857142857142856,
8,action_raw,computational_units,information_sampling,0.005208333333333335,-0.020089285714285712,0.340277777777778,0.6943650748294137,0.020089285714285716,
8,action_raw,computational_units,solvability,-0.006696428571428572,-0.004464285714285713,0.2596153846153848,-0.5323117462054056,0.013392857142857142,
