layer,random_index,linear_slope,linear_intercept,dose_r2,monotonic_rho,mean_absolute_effect
8,0,-0.003401360544217688,0.010204081632653059,0.17204301075268802,-0.41166465371081584,0.01020408163265306
8,1,0.0004251700680272102,0.008928571428571428,0.00595238095238082,0.09449111825230683,0.008928571428571428
8,2,-0.003401360544217688,0.005102040816326531,0.13008130081300817,-0.26457513110645914,0.01020408163265306
8,3,-0.005952380952380951,0.007653061224489796,0.3141025641025642,-0.4076871241636057,0.012755102040816325
8,4,-0.003401360544217688,0.012755102040816323,0.1568627450980392,-0.38546712656253507,0.012755102040816325
8,5,-0.002125850340136054,0.002551020408163266,0.05208333333333359,-0.14969623771302396,0.007653061224489795
8,6,-0.001700680272108844,0.00510204081632653,0.049382716049382824,-0.14969623771302396,0.007653061224489795
8,7,-0.001700680272108844,0.008928571428571428,0.06349206349206371,-0.3386481059780782,0.008928571428571426
8,8,0.0038265306122448983,-3.2783192220715434e-19,0.3214285714285715,0.6772962119561564,0.00510204081632653
8,9,0.005102040816326531,0.008928571428571428,0.34285714285714286,0.5378528742004772,0.008928571428571428
8,10,-0.0046768707482993215,3.2783192220715434e-19,0.4801587301587301,-0.5378528742004772,0.00510204081632653
8,11,0.005102040816326531,0.005102040816326529,0.3529411764705882,0.6975119433036349,0.01020408163265306
8,12,0.0008503401360544217,0.003826530612244898,0.016666666666666496,0.18712029714127995,0.0063775510204081625
8,13,-0.008928571428571432,0.012755102040816325,0.4083333333333333,-0.545544725589981,0.017857142857142856
8,14,0.0004251700680272102,0.008928571428571428,0.005952380952380931,0.0,0.008928571428571428
8,15,0.0025510204081632655,0.0038265306122448957,0.030927835051546615,0.2000330660496597,0.014030612244897957
8,16,-0.005527210884353741,0.005102040816326529,0.3434959349593497,-0.6975119433036349,0.01020408163265306
8,17,0.00892857142857143,0.007653061224489793,0.39095744680851063,0.4546206046583175,0.012755102040816325
8,18,0.0004251700680272107,0.007653061224489796,0.003472222222222321,-0.03857583749052298,0.007653061224489795
8,19,0.007227891156462586,0.008928571428571428,0.3127705627705628,0.5858449331643023,0.01403061224489796
8,20,0.00467687074829932,0.006377551020408162,0.16530054644808723,0.2753336618303822,0.011479591836734693
8,21,0.002125850340136054,0.0063775510204081625,0.06313131313131315,0.018712029714127994,0.008928571428571428
8,22,0.00510204081632653,0.007653061224489796,0.20338983050847448,0.5506673236607644,0.012755102040816325
8,23,0.002976190476190476,0.010204081632653059,0.13172043010752676,0.41166465371081584,0.01020408163265306
8,24,0.002125850340136055,0.010204081632653059,0.06720430107526876,0.22454435656953595,0.01020408163265306
8,25,-0.0025510204081632655,0.0038265306122448983,0.07317073170731703,-0.38546712656253507,0.008928571428571428
8,26,0.0012755102040816317,0.001275510204081633,0.011363636363636465,0.16366341767699433,0.011479591836734693
8,27,0.0012755102040816321,0.010204081632653059,0.044117647058823484,0.26457513110645914,0.01020408163265306
8,28,-0.00042517006802721087,0.0025510204081632647,0.0032051282051283048,0.01835557745535881,0.007653061224489795
8,29,-0.001700680272108844,0.003826530612244898,0.06666666666666676,-0.16840826742715195,0.0063775510204081625
8,30,-0.0004251700680272107,0.002551020408163265,0.006944444444444531,-0.03857583749052298,0.00510204081632653
8,31,0.007653061224489795,0.015306122448979588,0.574468085106383,0.7092081432669755,0.015306122448979591
8,32,0.0004251700680272107,0.00510204081632653,0.013888888888888729,0.14433756729740646,0.00510204081632653
8,33,0.007653061224489795,0.0012755102040816326,0.26732673267326723,0.4221782814732527,0.01403061224489796
8,34,0.000425170068027211,0.01403061224489796,0.002032520325203291,-0.07559289460184546,0.01403061224489796
8,35,0.0038265306122448974,0.007653061224489796,0.3970588235294117,0.6236413804652251,0.007653061224489796
8,36,-0.0008503401360544214,0.007653061224489794,0.0064102564102564985,-0.14969623771302396,0.01020408163265306
8,37,-0.0038265306122448983,0.008928571428571426,0.2410714285714285,-0.3555285645684319,0.008928571428571428
8,38,-0.007653061224489797,0.008928571428571426,0.4821428571428572,-0.6923450994227358,0.011479591836734693
8,39,-0.0008503401360544214,0.010204081632653059,0.01075268817204278,-0.11227217828476797,0.01020408163265306
8,40,-0.0025510204081632655,0.003826530612244899,0.03614457831325313,-0.18355577455358812,0.014030612244897957
8,41,-5.353472872022116e-19,0.0025510204081632647,2.220446049250313e-16,0.0,0.002551020408163265
8,42,-0.006377551020408163,0.010204081632653059,0.360576923076923,-0.545544725589981,0.012755102040816325
8,43,0.0008503401360544217,0.007653061224489794,0.0064102564102564985,0.044543540318737404,0.007653061224489796
8,44,0.005952380952380951,0.007653061224489793,0.2474747474747473,0.38188130791298674,0.012755102040816325
8,45,0.0021258503401360546,-0.002551020408163266,0.03858024691358031,0.09356014857063998,0.01020408163265306
8,46,0.002976190476190476,0.0012755102040816323,0.07852564102564097,0.31810450514017585,0.008928571428571428
8,47,0.004251700680272109,0.005102040816326531,0.41666666666666674,0.6549210399944798,0.007653061224489796
8,48,-0.006802721088435375,0.008928571428571428,0.23443223443223438,-0.4818120558297158,0.014030612244897957
8,49,-0.0076530612244897975,0.010204081632653059,0.5999999999999999,-0.7110571291368638,0.012755102040816325
8,50,-0.001700680272108844,0.007653061224489793,0.05555555555555547,-0.2886751345948129,0.007653061224489796
8,51,0.008928571428571426,0.0063775510204081625,0.91875,0.9636241116594316,0.008928571428571428
8,52,0.0012755102040816321,0.012755102040816325,0.018292682926829174,0.11013346473215288,0.012755102040816325
8,53,-0.00042517006802721054,0.007653061224489796,0.0018518518518518823,-0.05613608914238399,0.01020408163265306
8,54,0.0034013605442176874,0.011479591836734691,0.20512820512820507,0.4588894363839703,0.011479591836734693
8,55,-1.0706945744044232e-18,0.005102040816326529,2.220446049250313e-16,0.0,0.012755102040816325
8,56,0.0012755102040816321,0.010204081632653059,0.014423076923077094,0.2594372608313854,0.012755102040816325
8,57,-0.0008503401360544214,0.011479591836734693,0.008333333333333193,-0.07412493166611013,0.014030612244897957
8,58,0.006377551020408163,0.010204081632653059,0.41666666666666674,0.5426488617097118,0.01020408163265306
8,59,0.0012755102040816326,0.006377551020408162,0.028846153846153744,0.25697808437502334,0.008928571428571428
8,60,0.0,0.008928571428571428,-4.440892098500626e-16,0.01835557745535881,0.011479591836734693
8,61,-0.0008503401360544214,0.008928571428571425,0.005952380952381153,-0.054554472558998104,0.011479591836734693
8,62,-0.0008503401360544214,0.005102040816326529,0.006060606060606211,-0.11118739749916519,0.01020408163265306
8,63,0.0021258503401360546,0.011479591836734691,0.02777777777777779,0.25896619868911863,0.011479591836734693
8,64,-0.005102040816326531,0.010204081632653059,0.5,-0.7216878364870323,0.01020408163265306
8,65,-0.0012755102040816339,0.005102040816326529,0.018292682926829174,-0.11821656093586512,0.007653061224489796
8,66,-0.0004251700680272107,0.003826530612244897,0.01388888888888895,-0.14433756729740646,0.003826530612244898
8,67,-0.0038265306122448983,0.007653061224489793,0.2812500000000002,-0.34718253741470684,0.007653061224489795
8,68,0.001700680272108844,0.0025510204081632655,0.07017543859649134,0.15936381457791915,0.007653061224489795
8,69,0.001700680272108844,0.005102040816326532,0.049382716049382824,0.20583232685540792,0.007653061224489796
8,70,0.0038265306122448974,0.0051020408163265285,0.19852941176470607,0.46780074285319984,0.007653061224489795
8,71,-0.003826530612244899,0.015306122448979588,0.07584269662921361,-0.23640271442232513,0.017857142857142856
8,72,-0.005527210884353741,-0.006377551020408162,0.5416666666666666,-0.7525786756697113,0.008928571428571428
8,73,-0.0012755102040816339,0.008928571428571428,0.05357142857142849,-0.18898223650461365,0.008928571428571428
8,74,-0.0025510204081632664,0.017857142857142856,0.14285714285714302,-0.5976143046671969,0.017857142857142853
8,75,-0.005527210884353742,0.0038265306122448966,0.2271505376344085,-0.5225437283634242,0.011479591836734693
8,76,0.002125850340136054,0.0012755102040816334,0.054824561403508665,0.2000330660496597,0.008928571428571426
8,77,1.0706945744044232e-18,0.001275510204081633,0.0,-0.03603749850782236,0.016581632653061222
8,78,0.0004251700680272102,0.010204081632653059,0.0016025641025639858,0.16366341767699433,0.012755102040816325
8,79,0.0004251700680272107,0.0025510204081632642,0.004385964912280715,-0.01970276015597752,0.00510204081632653
8,80,-0.0038265306122448983,0.011479591836734691,0.16875000000000007,-0.43037668342494384,0.011479591836734693
8,81,0.0012755102040816321,0.012755102040816325,0.015624999999999889,0.22454435656953595,0.012755102040816325
8,82,-0.000425170068027211,0.001275510204081633,0.0010416666666666075,-0.10910894511799621,0.011479591836734693
8,83,0.0,0.0012755102040816317,-2.220446049250313e-16,-0.20583232685540792,0.008928571428571428
8,84,-0.000850340136054422,0.007653061224489796,0.005649717514124131,-0.10910894511799621,0.012755102040816325
8,85,-0.00467687074829932,0.005102040816326529,0.12148594377510058,-0.39295262399668796,0.012755102040816325
8,86,0.0004251700680272109,0.012755102040816323,0.002032520325203069,0.09177788727679406,0.012755102040816325
8,87,0.005527210884353741,0.008928571428571428,0.1829004329004329,0.5637295497763136,0.01403061224489796
8,88,0.0004251700680272109,0.005102040816326531,0.0009259259259259967,0.05613608914238399,0.012755102040816327
8,89,-0.002125850340136055,0.014030612244897957,0.06127450980392157,-0.23862250691966458,0.014030612244897957
8,90,0.002976190476190476,0.0025510204081632655,0.0756172839506174,0.10910894511799621,0.01020408163265306
8,91,-0.00042517006802721125,0.005102040816326529,0.002450980392156854,0.0,0.007653061224489795
8,92,0.003401360544217687,0.0038265306122448983,0.19753086419753108,0.41166465371081584,0.008928571428571428
8,93,0.0021258503401360546,0.0025510204081632647,0.17361111111111105,0.4243342123957528,0.00510204081632653
8,94,-0.0008503401360544214,0.017857142857142853,0.011904761904761973,-0.14969623771302396,0.017857142857142856
8,95,0.0029761904761904756,0.006377551020408162,0.10208333333333308,0.2594372608313854,0.008928571428571428
8,96,0.004251700680272109,0.0012755102040816323,0.3472222222222222,0.7297691588509918,0.0063775510204081625
8,97,0.0012755102040816326,0.0012755102040816323,0.07499999999999984,0.3187276291558383,0.003826530612244898
8,98,0.004251700680272108,6.556638444143087e-19,0.23809523809523814,0.5188745216627708,0.007653061224489795
8,99,-0.010204081632653062,0.007653061224489794,0.4752475247524751,-0.6546536707079773,0.015306122448979591
30,0,-0.000425170068027211,0.002551020408163267,0.0032051282051283048,-0.12848904218751167,0.007653061224489795
30,1,-0.0017006802721088435,0.0025510204081632647,0.11111111111111127,-0.408248290463863,0.002551020408163265
30,2,0.000850340136054422,-0.0025510204081632647,0.017543859649122973,0.15936381457791915,0.007653061224489795
30,3,0.006802721088435374,6.556638444143087e-19,0.6095238095238096,0.8894991799933215,0.007653061224489795
30,4,0.0012755102040816328,0.006377551020408164,0.028846153846153744,0.17928429140015908,0.0063775510204081625
30,5,-0.0029761904761904756,-0.0038265306122448966,0.20416666666666672,-0.46780074285319984,0.0063775510204081625
30,6,-0.001700680272108844,-1.6391596110357717e-19,0.023809523809523947,-0.1454785934906616,0.01020408163265306
30,7,0.0012755102040816326,0.007653061224489794,0.044117647058823595,0.18898223650461365,0.007653061224489795
30,8,0.006377551020408166,-1.3113276888286174e-18,0.38265306122448983,0.4728662437434605,0.007653061224489796
30,9,-0.0017006802721088435,6.556638444143087e-19,0.09523809523809501,-0.2834733547569205,0.00510204081632653
30,10,-0.006802721088435375,0.003826530612244897,0.6274509803921569,-0.8627121404018642,0.008928571428571426
30,11,-0.007227891156462586,0.0025510204081632647,0.6020833333333333,-0.7412493166611013,0.01020408163265306
30,12,0.002125850340136054,-0.0012755102040816326,0.20833333333333326,0.4382504900892777,0.003826530612244898
30,13,-0.0008503401360544218,-0.005102040816326529,0.05555555555555547,-0.14433756729740646,0.00510204081632653
30,14,0.005102040816326532,-0.002551020408163266,0.631578947368421,0.8669214468630109,0.00510204081632653
30,15,-0.0004251700680272111,-1.4342646596563002e-19,0.003968253968253954,-0.2788866755113585,0.00510204081632653
30,16,0.0012755102040816339,-0.005102040816326529,0.125,0.43301270189221935,0.00510204081632653
30,17,0.005527210884353742,0.0025510204081632642,0.3520833333333331,0.7297691588509918,0.007653061224489795
30,18,-0.003401360544217687,0.0,0.12698412698412698,-0.38188130791298674,0.01020408163265306
30,19,-0.00510204081632653,-0.003826530612244897,0.3529411764705883,-0.7297691588509918,0.008928571428571428
30,20,-0.0017006802721088435,0.0025510204081632647,0.11111111111111127,-0.408248290463863,0.002551020408163265
30,21,-0.0025510204081632655,0.0025510204081632647,0.1578947368421052,-0.37435244296357284,0.00510204081632653
30,22,0.0,-0.0012755102040816328,0.0,0.018898223650461364,0.0063775510204081625
30,23,-0.0025510204081632655,1.6391596110357717e-19,0.2142857142857144,-0.47245559126153414,0.00510204081632653
30,24,-0.0012755102040816326,0.003826530612244897,0.015624999999999889,-0.018712029714127994,0.008928571428571428
30,25,0.002125850340136054,-0.006377551020408162,0.17361111111111116,0.5014858873767988,0.0063775510204081625
30,26,0.006802721088435375,0.005102040816326529,0.3440860215053767,0.3368165348543039,0.012755102040816325
30,27,-0.0008503401360544218,-0.003826530612244898,0.025641025641025994,-0.17928429140015908,0.0063775510204081625
30,28,0.004251700680272108,0.003826530612244898,0.17361111111111105,0.2909571869813232,0.011479591836734693
30,29,-0.002976190476190477,0.003826530612244898,0.20416666666666672,-0.4865127725673279,0.0063775510204081625
30,30,-0.0029761904761904756,0.0012755102040816317,0.17013888888888873,-0.4490887131390719,0.0063775510204081625
30,31,-0.0012755102040816321,-0.007653061224489794,0.016666666666666385,0.11952286093343936,0.007653061224489796
30,32,0.013180272108843536,-0.0025510204081632647,0.899812734082397,0.9728456051340171,0.012755102040816325
30,33,-0.0012755102040816317,0.006377551020408162,0.028846153846153855,-0.25697808437502334,0.008928571428571428
30,34,-0.003401360544217687,-0.005102040816326529,0.11111111111111127,-0.408248290463863,0.00510204081632653
30,35,-0.0004251700680272102,-0.0051020408163265285,0.0012077294685990392,-0.0181848241863327,0.012755102040816325
30,36,0.0034013605442176856,0.008928571428571426,0.1523809523809524,0.4183300132670378,0.008928571428571428
30,37,-0.005527210884353742,-0.011479591836734691,0.3520833333333333,-0.4490887131390719,0.011479591836734693
30,38,0.00467687074829932,-0.0038265306122448957,0.5041666666666667,0.8233293074216317,0.0063775510204081625
