target,layer,heldout_task,target_normalization_used,r2,pearson_r,mse,contrast_sign_accuracy,evidence_level,result_type
action_history,0,bandit,False,0.0008706903424297,0.0594645483462206,1.1869156009621284,1.0,2,information_access_loto
action_history,0,debugging,False,0.0020070071476211,0.0689442530209307,0.7392798656663151,1.0,2,information_access_loto
action_history,0,foraging,False,-0.0010472195242332,0.0634644485174464,1.1145998046229304,1.0,2,information_access_loto
action_history,0,solvability,False,-0.0168819930126908,0.8914445507724832,1.831853792864544,1.0,2,information_access_loto
action_history,1,bandit,False,-0.0252526179180148,0.3668751189028469,1.2179487833774167,1.0,2,information_access_loto
action_history,1,debugging,False,0.0238009341355412,0.2684723843599931,0.723135652699527,1.0,2,information_access_loto
action_history,1,foraging,False,0.0413212049191191,0.3165263020434092,1.0674253690062108,1.0,2,information_access_loto
action_history,1,solvability,False,0.0480301707853009,0.9690142058017208,1.7149183035221616,1.0,2,information_access_loto
action_history,2,bandit,False,-0.0114559379263312,0.3319003147742927,1.201559018243589,1.0,2,information_access_loto
action_history,2,debugging,False,-0.0698355813022688,0.2598231830939762,0.7924984548936358,1.0,2,information_access_loto
action_history,2,foraging,False,0.0372545671795596,0.295108888440901,1.071953300897515,1.0,2,information_access_loto
action_history,2,solvability,False,0.0357202988579756,0.9401335208953518,1.7370938221513583,1.0,2,information_access_loto
action_history,3,bandit,False,0.0833728811483025,0.4868744747868722,1.0889071285506788,1.0,2,information_access_loto
action_history,3,debugging,False,0.0865205862029924,0.4775328367841846,0.6766750299425074,1.0,2,information_access_loto
action_history,3,foraging,False,0.0865252075859756,0.3886353747012958,1.0170937047670368,1.0,2,information_access_loto
action_history,3,solvability,False,-0.5825181678677844,0.942066274472208,2.850814477987782,1.0,2,information_access_loto
action_history,4,bandit,False,0.2633867697715045,0.5199775621728444,0.875059640811614,1.0,2,information_access_loto
action_history,4,debugging,False,0.3203363840673853,0.7091436096348323,0.5034720987858363,1.0,2,information_access_loto
action_history,4,foraging,False,0.2785669627509428,0.8977576389333641,0.8032679245125864,1.0,2,information_access_loto
action_history,4,solvability,False,0.0559790676652343,0.8905642218650551,1.700598827910783,1.0,2,information_access_loto
action_history,5,bandit,False,0.2016548473769485,0.4677898289156871,0.9483940741619816,1.0,2,information_access_loto
action_history,5,debugging,False,0.2573257828738333,0.5509142807274738,0.5501482469347175,1.0,2,information_access_loto
action_history,5,foraging,False,0.1976213658600997,0.7083000128643651,0.8933954876484191,1.0,2,information_access_loto
action_history,5,solvability,False,0.2045681863394397,0.8678374837347186,1.432924169010273,1.0,2,information_access_loto
action_history,6,bandit,False,0.1866249558696562,0.5016585262065933,0.9662488328387012,1.0,2,information_access_loto
action_history,6,debugging,False,0.3206465480332047,0.6137356802480597,0.5032423396826887,1.0,2,information_access_loto
action_history,6,foraging,False,0.3066508318306226,0.7939499887473556,0.7719983955845264,1.0,2,information_access_loto
action_history,6,solvability,False,0.2715078750093268,0.8971412446987108,1.3123362114835495,1.0,2,information_access_loto
action_history,7,bandit,False,0.1985290972943623,0.6555630764698792,0.9521073087772306,1.0,2,information_access_loto
action_history,7,debugging,False,0.46772732295616,0.9249793118720728,0.394289815661086,1.0,2,information_access_loto
action_history,7,foraging,False,0.5437060000928062,0.953594726302148,0.5080531599587164,1.0,2,information_access_loto
action_history,7,solvability,False,0.5834973369143707,0.9300601648678936,0.7503053337105078,1.0,2,information_access_loto
action_history,8,bandit,False,0.6974583779947268,0.8547851671235708,0.3594043009523128,1.0,2,information_access_loto
action_history,8,debugging,False,0.2390383493207291,0.9588810835054832,0.5636949667186713,1.0,2,information_access_loto
action_history,8,foraging,False,0.6223615482992654,0.816371263058071,0.4204754144203037,1.0,2,information_access_loto
action_history,8,solvability,False,0.771073923182946,0.964575813234276,0.4123970185178474,1.0,2,information_access_loto
action_history,9,bandit,False,0.5779093097656145,0.8878256828349171,0.5014226090832701,1.0,2,information_access_loto
action_history,9,debugging,False,0.6147716381753154,0.8746062586406865,0.2853642997699215,1.0,2,information_access_loto
