target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2,evidence_level,result_type,mechanistic_claim_permitted
action_history,0,validation,-0.0001189395357976,0.0480435271421368,0.972842334543776,1.0,-0.0052183702899382,2,information_access,False
action_history,0,test,-0.0014689111128072,0.0875592212831187,1.1713051572991466,1.0,-0.0032410766761214,2,information_access,False
action_history,0,transfer,-0.0066795069327776,0.5945209580870672,1.748993790017153,1.0,-0.0066795069327777,2,information_access,False
action_history,1,validation,0.0440101072553105,0.2287623818108625,0.9299168351812908,1.0,0.0333602195623205,2,information_access,False
action_history,1,test,0.0597755926632302,0.2928889028039482,1.0996743734244994,1.0,0.0549756114232523,2,information_access,False
action_history,1,transfer,0.1081871087434125,0.8340387573432908,1.54942580823707,1.0,0.1081871087434125,2,information_access,False
action_history,2,validation,0.0273972956125785,0.1812635029787851,0.9460765596130196,1.0,0.0194397103874114,2,information_access,False
action_history,2,test,0.0449957066693312,0.2615451169438552,1.1169607379804505,1.0,0.039066213532989,2,information_access,False
action_history,2,transfer,0.0728662144634721,0.6373806278618117,1.610791937504657,1.0,0.0728662144634721,2,information_access,False
action_history,3,validation,0.0539989234287225,0.2442526951659059,0.9202004475984488,1.0,0.0446944820230869,2,information_access,False
action_history,3,test,0.0499844569371856,0.2599644012276109,1.1111259598336956,1.0,0.0553288803788681,2,information_access,False
action_history,3,transfer,0.0678785747930202,0.5681632801479091,1.6194574072498815,1.0,0.0678785747930202,2,information_access,False
action_history,4,validation,0.2457828109154072,0.5013278626156125,0.7336471513304812,1.0,0.2141114883501672,2,information_access,False
action_history,4,test,0.2637280910473866,0.5251394434807947,0.861134154601372,1.0,0.2746456771520859,2,information_access,False
action_history,4,transfer,0.0584828355643245,0.7860871589000015,1.6357814601887155,1.0,0.0584828355643245,2,information_access,False
action_history,5,validation,0.2242555642074022,0.4825813107229594,0.7545872776652908,1.0,0.1949069556850641,2,information_access,False
action_history,5,test,0.2431861252926287,0.5105395091146607,0.8851597735323424,1.0,0.2451246591842931,2,information_access,False
action_history,5,transfer,-0.0273202346887633,0.6903590419687861,1.7848547610789829,1.0,-0.0273202346887635,2,information_access,False
action_history,6,validation,0.2811637350870589,0.5402536258970793,0.6992311838802078,1.0,0.2410594298205398,2,information_access,False
action_history,6,test,0.3083613188638689,0.575089393653225,0.808931705430721,1.0,0.3112247435628735,2,information_access,False
action_history,6,transfer,-0.2586007099019645,0.6459185335091749,2.186678888931341,1.0,-0.2586007099019646,2,information_access,False
action_history,7,validation,0.5137815952526525,0.7296643210796839,0.4729575946158045,1.0,0.4491905824777551,2,information_access,False
action_history,7,test,0.553101036288664,0.761542632767974,0.5226872798328626,1.0,0.5553954622416625,2,information_access,False
action_history,7,transfer,-0.0427601685828749,0.8467859295706834,1.8116799306717917,1.0,-0.0427601685828749,2,information_access,False
action_history,8,validation,0.6770497858998235,0.8318681668362663,0.3141422762901116,1.0,0.659897140561493,2,information_access,False
action_history,8,test,0.6911051788026116,0.8390988184766103,0.3612794097916275,1.0,0.6742278322201498,2,information_access,False
action_history,8,transfer,-0.0913174647655055,0.8931177805324463,1.8960428375339808,1.0,-0.0913174647655056,2,information_access,False
action_history,9,validation,0.5041865275972691,0.7129548366741734,0.482290972526137,1.0,0.5031787061112918,2,information_access,False
action_history,9,test,0.4506189764298759,0.6713523657020879,0.6425489788943495,1.0,0.4672263049622638,2,information_access,False
action_history,9,transfer,0.3073145049650538,0.749834580329194,1.203464082568215,1.0,0.3073145049650539,2,information_access,False
action_history,10,validation,0.2446815663179344,0.4997236185442893,0.7347183612863755,1.0,0.2441995184651277,2,information_access,False
action_history,10,test,0.2947336517557583,0.5776166873598494,0.8248704495979755,1.0,0.2774421527334426,2,information_access,False
action_history,10,transfer,0.2937375025351324,0.7153587514331705,1.2270526157343775,1.0,0.2937375025351325,2,information_access,False
action_history,11,validation,0.0797179025977956,0.2861065329425251,0.8951829114356629,1.0,0.091414307278255,2,information_access,False
action_history,11,test,0.1297911146942792,0.4066677607815923,1.0177851194137757,1.0,0.1139552098921087,2,information_access,False
action_history,11,transfer,0.146572126190435,0.5064773889762787,1.482736105424807,1.0,0.146572126190435,2,information_access,False
action_history,12,validation,0.0809781525261654,0.2876438715434907,0.8939570327586798,1.0,0.0936947177916996,2,information_access,False
action_history,12,test,0.1228567814386917,0.3790697181151157,1.025895426398418,1.0,0.1053377148592239,2,information_access,False
action_history,12,transfer,0.1204737470326013,0.4007534895494215,1.5280791393916364,1.0,0.1204737470326012,2,information_access,False
action_history,13,validation,0.1046267705480988,0.3245617459289921,0.8709533920358372,1.0,0.1050435954391401,2,information_access,False
action_history,13,test,0.1127441665521103,0.3411290977435223,1.0377230106988344,1.0,0.1070068850499919,2,information_access,False
action_history,13,transfer,0.0897047805197419,0.3881306470700154,1.581536799933673,1.0,0.089704780519742,2,information_access,False
action_history,14,validation,0.0888748307869824,0.3000553490088019,0.8862757234556483,1.0,0.0852805885424707,2,information_access,False
action_history,14,test,0.0935703478345051,0.3133425542883317,1.0601484624525936,1.0,0.0893688193882077,2,information_access,False
