model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
mlp,fully_shared,0.006936366894065071,0.7223929155258341,0.3087781057510908,0.006936366894065071,0.7223929155258341,0.3087781057510908,0.6956166048467775,0.25123356468884656,,interpolation_test,1.0
gam,fully_shared,-0.3146064599855072,0.956295610612418,-0.1624860586892169,-0.3146064599855072,0.956295610612418,-0.1624860586892169,0.6968774490803991,0.25215523278421714,,interpolation_test,-322.35496861788255
linear_interactions,fully_shared,-3.139111645534845,3.010949983087221,0.18065753227417133,-3.139111645534845,3.010949983087221,0.18065753227417133,0.9497381640337605,0.3232963935987164,,interpolation_test,-3162.778418575354
mlp,fully_shared,-0.016315478080261236,0.7103767646977268,0.013730088710986587,-0.016315478080261236,0.7103767646977268,0.013730088710986587,0.6872508898441652,0.24705247470460226,,structural_test,1.0
gam,fully_shared,-0.16114321813522947,0.8116073999066564,-0.009864030223961798,-0.16114321813522947,0.8116073999066564,-0.009864030223961798,0.6872414239697712,0.2470070495202042,,structural_test,-3.1619335572343323
linear_interactions,fully_shared,-2.962671999404761,2.769799511282381,0.011847167957423715,-2.962671999404761,2.769799511282381,0.011847167957423715,0.7192293347872151,0.2577528156997925,,structural_test,-83.66982964052666
