artifact_id,random_index,layer,rank,row_set_sha256,maximum_intervention_norm_error,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples
das_001_outcome_history_dual_history_L28_r2,0,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.02267909049987793,0.10254097107457827,0.5332500467864336,0.12016985494425972,-0.08043097758079917,1.1168419285867672,0.4583333333333333,24
das_001_outcome_history_dual_history_L28_r2,1,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.01885986328125,0.05232063704658663,0.44063181358672504,0.1406738632214085,-0.13517993444407156,1.1476649173313365,0.2916666666666667,24
das_001_outcome_history_dual_history_L28_r2,2,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.016050100326538086,0.009783672508235086,-0.08519929840758157,-0.024665426870752773,0.03868488594435697,1.1731389002727144,0.25,24
das_001_outcome_history_dual_history_L28_r2,3,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.01655268669128418,0.0003691713863236412,-0.05833228576125475,-0.01938589272495528,0.027425855426681654,1.178702528013405,0.25,24
das_001_outcome_history_dual_history_L28_r2,4,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.015569210052490234,-0.005424959575162314,-0.05844742202183491,-0.015262040108693144,0.01749131278684718,1.1821136317451404,0.16666666666666666,24
das_001_outcome_history_dual_history_L28_r2,5,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.017968177795410156,0.010300289876988833,0.19512931757057697,0.05391857075444169,-0.05658593397097706,1.1728328343228707,0.20833333333333334,24
das_001_outcome_history_dual_history_L28_r2,6,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.01846301555633545,-0.013298834005168292,0.2765629777029458,0.09496415328608107,-0.11925190080543856,1.186733400699369,0.25,24
das_001_outcome_history_dual_history_L28_r2,7,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.019604206085205078,-0.028891458554720195,0.036674529011721725,0.009943661549485491,-0.0270210973218468,1.1958292588587365,0.125,24
das_001_outcome_history_dual_history_L28_r2,8,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.02139449119567871,-0.0366270735013321,0.05380171272929312,0.013450828987569862,-0.036248877742102524,1.2003162008396542,0.08333333333333333,24
das_001_outcome_history_dual_history_L28_r2,9,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.02124643325805664,0.08536092840660059,-0.033078104376724926,-0.010560346727663233,0.06939452620809222,1.127481096463877,0.5,24
das_001_outcome_history_dual_history_L28_r2,10,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.018984556198120117,0.06827428804131974,0.2010670330671786,0.07268777830121924,-0.04163836051141328,1.1379637678198369,0.4583333333333333,24
das_001_outcome_history_dual_history_L28_r2,11,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.019767284393310547,0.024347979151525867,0.37249097074132814,0.10783714150888324,-0.11317186794195394,1.164479556621344,0.25,24
das_001_outcome_history_dual_history_L28_r2,12,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.01581096649169922,0.005597991440325467,0.04030868945449858,0.011138187492430963,-0.007556770147012662,1.1756157363902304,0.20833333333333334,24
das_001_outcome_history_dual_history_L28_r2,13,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.02060103416442871,0.05912503672460634,0.15145712564661734,0.046287550700095055,-0.016590277577553363,1.1435373404106202,0.3333333333333333,24
das_001_outcome_history_dual_history_L28_r2,14,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.020324230194091797,0.06779750152060537,0.15167850724425347,0.042780383262010606,-0.007362497157297554,1.1382548923349967,0.3333333333333333,24
das_001_outcome_history_dual_history_L28_r2,15,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.019206762313842773,-0.04852041607754143,0.014727083155107387,0.004701693381029777,-0.03143011991208819,1.2071822467241604,0.125,24
das_001_outcome_history_dual_history_L28_r2,16,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.02120065689086914,-0.041466305423703664,0.20716584442951766,0.06035506486584268,-0.09521258420590131,1.2031146253626221,0.125,24
das_001_outcome_history_dual_history_L28_r2,17,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.015924930572509766,0.014812083373286433,0.07282090664466197,0.021081849041916408,-0.013744534135526062,1.1701564547945258,0.25,24
das_001_outcome_history_dual_history_L28_r2,18,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.023404598236083984,0.05461324322830874,0.2644921842293154,0.07912427241262027,-0.05943167741300427,1.146275873200653,0.375,24
das_001_outcome_history_dual_history_L28_r2,19,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.019380569458007812,-0.025052591100297672,-0.14527818041513832,-0.03753841509355507,0.03260485308087251,1.1935963119411526,0.125,24
das_001_outcome_history_dual_history_L28_r2,20,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.015784263610839844,0.05771007435681896,0.10933552350480495,0.033414562477292936,-0.0018369771077046937,1.1443968884272993,0.4166666666666667,24
das_001_outcome_history_dual_history_L28_r2,21,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.023055315017700195,0.004725982207185897,-0.02183857996774297,-0.005318378559207626,0.011303548798333698,1.1761310828616431,0.16666666666666666,24
das_001_outcome_history_dual_history_L28_r2,22,28,2,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a,0.02190566062927246,0.053066981955607995,0.21746808612485094,0.0650567582468727,-0.04330937078465641,1.1472129065495256,0.375,24
