direction_id,control_role,eos_logit_slope
frozen_E,frozen_E,-0.02167150464075657
random_000,random_subspace,-0.01600616252205371
random_001,random_subspace,-0.04371998108428241
random_002,random_subspace,0.03863758156444216
random_003,random_subspace,0.031722226912649136
random_004,random_subspace,0.028469105272095844
random_005,random_subspace,-0.08824250800753182
random_006,random_subspace,0.04912140931609279
random_007,random_subspace,-0.010768639358314487
random_008,random_subspace,0.0415872475187235
random_009,random_subspace,-0.013657984800639674
random_010,random_subspace,0.04806105791655054
random_011,random_subspace,0.005371065762321786
random_012,random_subspace,0.029680408201635082
random_013,random_subspace,-0.01619393011815699
random_014,random_subspace,0.06522973817108046
random_015,random_subspace,-0.08038986384428322
random_016,random_subspace,0.0047332505746310585
random_017,random_subspace,0.01800086175087857
random_018,random_subspace,-0.05990593959746037
random_019,random_subspace,0.0023463821862861212
random_020,random_subspace,0.021173130248704666
random_021,random_subspace,0.06115094566672793
random_022,random_subspace,0.06205428869996947
random_023,random_subspace,-0.03776029200798309
random_024,random_subspace,0.04869357931078448
random_025,random_subspace,0.04158224463383271
random_026,random_subspace,-0.03282982646813563
random_027,random_subspace,0.06522198248954596
random_028,random_subspace,-0.066235581299406
random_029,random_subspace,-0.017163997441305468
random_030,random_subspace,0.016861047577854383
random_031,random_subspace,0.07728483853627935
random_032,random_subspace,-0.03253142566644291
random_033,random_subspace,0.01954514187341871
random_034,random_subspace,-0.058080363948416626
random_035,random_subspace,0.0046954932702091695
random_036,random_subspace,-0.006666007927574658
random_037,random_subspace,-0.0984446953562355
random_038,random_subspace,-0.009304505754877814
random_039,random_subspace,0.04573638534484547
random_040,random_subspace,0.09346618026946943
random_041,random_subspace,-0.0072652569946055475
random_042,random_subspace,0.016590873947035685
random_043,random_subspace,0.09772243108992286
random_044,random_subspace,-0.02578664744418845
random_045,random_subspace,0.039611014497065285
random_046,random_subspace,-0.03802585828755246
random_047,random_subspace,0.04022560235754506
random_048,random_subspace,0.034621064006629856
random_049,random_subspace,-0.04360123420044856
random_050,random_subspace,0.04860085359148484
random_051,random_subspace,-0.014661912144992312
random_052,random_subspace,-0.03243909541650399
random_053,random_subspace,0.08176556180272038
random_054,random_subspace,0.039807964655196565
random_055,random_subspace,0.03767459821669969
random_056,random_subspace,-0.003507260215536163
random_057,random_subspace,0.017906183555415355
random_058,random_subspace,0.025442093376363304
random_059,random_subspace,0.023488319073956345
random_060,random_subspace,0.04887954725051216
random_061,random_subspace,0.0994344001061565
random_062,random_subspace,-0.0033320062100033526
random_063,random_subspace,-0.014891416116771248
random_064,random_subspace,0.06551369550224014
random_065,random_subspace,-0.024373561485485796
random_066,random_subspace,-0.03778955665296675
random_067,random_subspace,-0.011843837459233163
random_068,random_subspace,-0.014993626764148357
random_069,random_subspace,0.00033205610163788556
random_070,random_subspace,0.022963486027578032
random_071,random_subspace,0.0313680852140162
random_072,random_subspace,0.03772092038765272
random_073,random_subspace,0.03708995145712888
random_074,random_subspace,0.05379214529744009
random_075,random_subspace,0.011431477218565703
random_076,random_subspace,0.018804965914290254
random_077,random_subspace,-0.09742413851547417
random_078,random_subspace,0.04169815448224916
random_079,random_subspace,0.008547729655659739
random_080,random_subspace,-0.019949583684451648
random_081,random_subspace,-0.05095441952295801
random_082,random_subspace,0.04373609471982492
random_083,random_subspace,0.04224582120030681
random_084,random_subspace,0.0484128754007727
random_085,random_subspace,-0.10586434169681302
random_086,random_subspace,-0.0003033622659715739
random_087,random_subspace,-0.022244043797129496
random_088,random_subspace,-0.03184681135418593
random_089,random_subspace,0.04615999633228022
random_090,random_subspace,-0.01582191941042218
random_091,random_subspace,-0.055181686465428086
random_092,random_subspace,0.009973954700493391
random_093,random_subspace,0.00703628576814035
random_094,random_subspace,0.025125185267642985
random_095,random_subspace,-0.02620760743030036
random_096,random_subspace,0.0004500077327819472
random_097,random_subspace,-0.025358299938588704
random_098,random_subspace,0.04141070798987075
random_099,random_subspace,-0.04747545903629575
