direction_id,coefficient,standard_error,ci_lower,ci_upper,hazard_ratio,events,censored,observations,log_likelihood,score_at_solution,converged,ties,stratified_by
random_000,0.07453256942150226,0.09399442882786206,-0.10969312582852074,0.25875826467152524,1.077380432608264,54,0,54,-77.62313378314938,-6.661338147750939e-16,True,breslow,prompt_id
random_001,0.10862225164665266,0.09449209264466862,-0.07657884676071995,0.29382335005402527,1.114741179153261,54,0,54,-77.28002748568264,-1.3322676295501878e-15,True,breslow,prompt_id
random_002,0.019722499555193552,0.09346919997367714,-0.16347376605698577,0.2029187651673729,1.0199182729785385,54,0,54,-77.46608771253267,3.1086244689504383e-15,True,breslow,prompt_id
random_003,-0.05389895670142649,0.0889007989654918,-0.22814132087062608,0.12034340746777308,0.9475278430036982,54,0,54,-76.92688081483021,5.329070518200751e-15,True,breslow,prompt_id
random_004,0.10170951278960774,0.09479832932088522,-0.08409179847389464,0.2875108240531101,1.1070618377099426,54,0,54,-76.971585412032,8.881784197001252e-16,True,breslow,prompt_id
random_005,0.013803157658293463,0.08843540093869391,-0.15952704313990626,0.18713335845649318,1.0138988610684145,54,0,54,-77.2406195205693,-2.6645352591003757e-15,True,breslow,prompt_id
random_006,-0.1654008152274914,0.09690082612236295,-0.3553229444995008,0.024521314044518017,0.8475539234791932,54,0,54,-75.9645799070212,2.886579864025407e-15,True,breslow,prompt_id
random_007,-0.04235463374866646,0.09123504211053017,-0.22117203041330075,0.13646276291596782,0.9585297932767649,54,0,54,-77.33163013827958,-5.329070518200751e-15,True,breslow,prompt_id
random_008,0.006584833122287634,0.08647262966228719,-0.1628984066642652,0.17606807290884047,1.0066065608007762,54,0,54,-76.94159616182142,3.9968028886505635e-15,True,breslow,prompt_id
random_009,0.07405762962539827,0.09349906282762467,-0.10919716610499378,0.25731242535579035,1.0768688632572125,54,0,54,-77.03489868487453,-1.1102230246251565e-15,True,breslow,prompt_id
