architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate,bootstrap_estimate,ci_low,ci_high,probability_positive,intervention_derivative
latent_context,M4,effort,response_mapping__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,intercept,-0.2982846885188987,-0.026348534360819874,0.01955762240188876,-0.30507560047782983,-0.30179774022426387,-0.3166186089424774,-0.2846186336084259,0.0,-0.30507560047782983
latent_context,M4,foraging,factor_continuation_value,0.24265650227059227,0.02424787462382414,0.04591137619680632,0.3128157530912227,0.318007484467487,0.2961070267901514,0.3395115241472186,1.0,0.3128157530912227
latent_context,M4,foraging,factor_continuation_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_disengagement_value,-0.40367866915530387,-0.04621743540900128,-0.06584506661767076,-0.5157411711819759,-0.5233293815642218,-0.5504863772689318,-0.4960158711308118,0.0,-0.5157411711819759
latent_context,M4,foraging,factor_disengagement_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_continuation_cost,-0.12034828685201598,0.029016677682277878,0.014754654770201,-0.0765769543995371,-0.0782146922534889,-0.09988882759066935,-0.055133845329649024,0.0,-0.0765769543995371
latent_context,M4,foraging,factor_continuation_cost__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_progress_evidence,0.26004380015174955,0.14386147695748003,0.10803139865291117,0.5119366757621407,0.5207983913008616,0.49772378003614903,0.5400653946780273,1.0,0.5119366757621407
latent_context,M4,foraging,factor_progress_evidence__available,-0.26183840507723055,-0.02256522201708057,0.012284258107571123,-0.27211936898674,-0.2727947039544739,-0.2786362342760188,-0.2659814830898112,0.0,-0.27211936898674
latent_context,M4,foraging,factor_success_evidence,0.47078227913094745,-0.1199923165475795,-0.03282874232791644,0.3179612202554515,0.31409497913134865,0.2942359819710756,0.33073764274705053,1.0,0.3179612202554515
latent_context,M4,foraging,factor_success_evidence__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_uncertainty,0.006101773841903522,-0.018786705037930805,-0.016980353259216395,-0.029665284455243676,-0.033283663273583,-0.05206519192806375,-0.007916505094087662,0.0,-0.029665284455243676
latent_context,M4,foraging,factor_uncertainty__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_prior_investment,-0.09435473907641004,0.024260601504786303,0.015244512670639582,-0.054849624900984155,-0.05422362589523713,-0.07584018479143745,-0.031228544840337977,0.0,-0.054849624900984155
latent_context,M4,foraging,factor_prior_investment__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_controllability,0.06836982573981731,-0.026908130049417705,-0.004462976486585707,0.036998719203813896,0.03778112340021409,0.023915547994024913,0.055511636602580586,1.0,0.036998719203813896
latent_context,M4,foraging,factor_controllability__available,0.3679592699340157,-0.022438453135014927,0.01677897194172401,0.36229978874072477,0.36578660090854886,0.3546366502736703,0.380494035828553,1.0,0.36229978874072477
latent_context,M4,foraging,factor_environmental_stability,0.09741657564004534,0.07653416212618297,0.04338232372866814,0.21733306149489645,0.2238194180222051,0.19932048389821988,0.24697228840833335,1.0,0.21733306149489645
latent_context,M4,foraging,factor_environmental_stability__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,factor_goal_continuity,0.04750828170580312,-0.002518769213531583,-0.007520094482904345,0.037469418009367185,0.03671996738798439,0.01603486225162991,0.05711924944516649,1.0,0.037469418009367185
latent_context,M4,foraging,factor_goal_continuity__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,foraging,context_relevant_outcome_kernel,0.2752524289260659,-0.022385884581084224,0.015419103903450306,0.268285648248432,0.2685548007520151,0.24010635967259425,0.2949879751146569,1.0,0.268285648248432
latent_context,M4,foraging,context_relevant_outcome_kernel__available,-0.03928713244468286,0.012229490817201897,0.009964565129834737,-0.01709307649764623,-0.01631759132540337,-0.022774538884021464,-0.00885252822408706,0.0,-0.01709307649764623
latent_context,M4,foraging,context_relevant_outcome_kernel*factor_goal_continuity,-0.009589205660347516,0.0047312170025795635,0.005540809869818828,0.0006828212120508752,0.0021094025572173567,-0.02057147272910613,0.024667519947579302,0.59,0.0006828212120508752
latent_context,M4,foraging,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.03928713244468152,0.012229490817201972,0.009964565129834735,-0.017093076497644816,-0.016317591325405195,-0.02277453888403331,-0.008852528224122263,0.0,-0.017093076497644816
latent_context,M4,foraging,context_relevant_outcome_kernel*factor_environmental_stability,-0.010724661908705,-0.0119923471619167,-0.0069020007960414785,-0.029619009866663177,-0.030275006466400606,-0.057027953980744076,-0.007926873994319437,0.01,-0.029619009866663177
latent_context,M4,foraging,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.03928713244468076,0.01222949081720216,0.009964565129834738,-0.017093076497643862,-0.016317591325410007,-0.022774538884027126,-0.008852528224124318,0.0,-0.017093076497643862
latent_context,M4,foraging,response_mapping,-0.007012257612976578,-0.042372436059227796,-0.02405444471546098,-0.07343913838766536,-0.07531076399785173,-0.0822085070171981,-0.06639202066105777,0.0,-0.07343913838766536
latent_context,M4,foraging,response_mapping__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,intercept,-0.2982846885188987,-0.07689568707051393,-0.08546352088409682,-0.46064389647350945,-0.45728749642967154,-0.4753519684418531,-0.4412657801859287,0.0,-0.46064389647350945
latent_context,M4,information_sampling,factor_continuation_value,0.24265650227059227,-0.09911389132444877,-0.04480863310769351,0.09873397783845,0.09283200670654859,0.08163035140823459,0.10844650472088704,1.0,0.09873397783845
latent_context,M4,information_sampling,factor_continuation_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_disengagement_value,-0.40367866915530387,0.1487882670597472,0.12165933971037708,-0.13323106238517962,-0.12205453960799542,-0.13626323702123885,-0.10612885124880203,0.0,-0.13323106238517962
latent_context,M4,information_sampling,factor_disengagement_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_continuation_cost,-0.12034828685201598,-0.02340050099269026,-0.040185016823678144,-0.18393380466838438,-0.1849612956143899,-0.19984536473586492,-0.17227584351066969,0.0,-0.18393380466838438
latent_context,M4,information_sampling,factor_continuation_cost__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_progress_evidence,0.26004380015174955,-0.2405949519211882,-0.10082650428748922,-0.08137765605692789,-0.08669810930927885,-0.10185982224439986,-0.0734447815905643,0.0,-0.08137765605692789
