architecture,r2,mse,correlation,rmse,stage
dual_history,0.6939187841176062,0.4752189856849056,0.8624934686194023,0.6893612882117081,frozen_prediction
latent_context,0.7323256825631543,0.41558877521942766,0.8695992107212418,0.6446617525644186,frozen_prediction
dual_history,0.7317630077582777,0.4164623791394626,0.87499936860281,0.645338964529078,post_update
latent_context,0.7516539851285868,0.38557982379234945,0.8769602038801625,0.6209507418405662,post_update
