layer,abstraction,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median
16,O,-0.007053820224769192,0.089132967881084,0.018855616369845677,-0.0005431413609175792,0.5779763885369701,0.29285714285714287,560,174,0.3107142857142857,1.2626712120322736e-08
16,O_star,-0.000651253248546757,0.09729059699091731,0.01923994858820917,-0.0006324430628476222,0.6163546880432271,0.24642857142857144,560,270,0.48214285714285715,1.6557365367653176e-08
16,H,-0.0009684802718519236,0.0904722886456039,0.016840554718794504,-0.00045328641888561246,0.6548447786433256,0.19464285714285715,560,272,0.4857142857142857,1.0300968855680992e-08
16,E,0.061976515937115284,0.4830365226128344,0.03338060083009342,-0.00095544964433199,1.707567263902295,0.24107142857142858,560,360,0.6428571428571429,1.0868849242839929e-07
20,O,-1.9992807576995264,-0.010194808657407267,-0.014302172198087788,0.035787643325190535,0.9974527154632357,0.33214285714285713,560,174,0.3107142857142857,1.2626712120322736e-08
20,O_star,-1.8750492072651608,-0.05873399306568632,-0.07702702491960732,0.03645899367440597,1.044749021046485,0.2857142857142857,560,270,0.48214285714285715,-0.2903905404329933
20,H,-1.5509028210731812,-0.009807193595878408,-0.012106151992016735,0.03571921560792878,1.0453822579335228,0.41785714285714287,560,272,0.4857142857142857,1.0540295303229641e-08
20,E,0.5871268845241193,0.8698262792343089,0.3986275057742826,0.029635611405490474,1.1328678885712835,0.5035714285714286,560,360,0.6428571428571429,3.1223456459228416e-07
24,O,-2.2943688445118613,-0.011327284449403537,-0.017021287260078042,0.034239090002797276,1.045369602449799,0.2732142857142857,560,174,0.3107142857142857,1.2626712120322736e-08
24,O_star,-2.1881624023475057,-0.07619242732727431,-0.10703087525397781,0.03518657506079708,1.1001693705564937,0.24107142857142858,560,270,0.48214285714285715,-0.3767506851762974
24,H,-1.7824271725037382,-0.01190943938415559,-0.015746946900351368,0.034158198220379535,1.0917924103186054,0.4303571428571429,560,272,0.4857142857142857,1.0540295303229641e-08
24,E,0.6165710475616726,0.8735514167668162,0.42881195152993684,0.027612828529165287,1.0917254035548987,0.5178571428571429,560,360,0.6428571428571429,1.883033446947735e-07
28,O,-2.697310314586371,-0.011648314654844926,-0.018985230377023928,0.03759737759576986,1.107456579186758,0.30178571428571427,560,174,0.3107142857142857,1.2626712120322736e-08
28,O_star,-2.5509981617814175,-0.07493265903620312,-0.11417068185480334,0.03860381798697755,1.1610864465419235,0.2732142857142857,560,270,0.48214285714285715,-0.44494292566659444
28,H,-2.0892765006967062,-0.010219229466100304,-0.014655794911757659,0.03750596816479897,1.1504203579779286,0.4303571428571429,560,272,0.4857142857142857,1.0300968855680992e-08
28,E,0.6504921170279852,0.8772094090931198,0.46705483613231874,0.030377876734367454,1.0423161149550033,0.5196428571428572,560,360,0.6428571428571429,1.883033446947735e-07
30,O,-4.178171364801623,-0.016938768732990495,-0.03433021319975371,0.032988583911402046,1.3106054383842767,0.32321428571428573,560,174,0.3107142857142857,1.2626712120322736e-08
30,O_star,-3.942279582419432,-0.09301197250464056,-0.17622364883258507,0.03451625467810188,1.3697868308776173,0.3053571428571429,560,270,0.48214285714285715,-0.6320526525039888
30,H,-3.2384900092003086,-0.015631977127974296,-0.027877063414836565,0.03282385215862187,1.3475154394111308,0.425,560,272,0.4857142857142857,9.534306011360627e-09
30,E,0.7216134868171981,0.8760606250915556,0.5800168860560238,0.023967817450841887,0.9302401075659746,0.5142857142857142,560,360,0.6428571428571429,1.883033446947735e-07
