scope,family,left,right,rendered_pairs,correlation,rms_difference,equal_fraction,active_pairs,opposite_sign_active_pairs
evaluated_test,same_history_contribution,O,O_star,80,0.05358201492245535,0.6476844850324606,0.0,2,0
evaluated_test,same_history_contribution,O,H,80,0.08128643833797065,0.052203486151752666,0.0,0,0
evaluated_test,same_history_contribution,O,E,80,-0.06446664595847379,0.06239515185775762,0.0,0,0
evaluated_test,same_history_contribution,O_star,H,80,-0.5210115379512033,0.6574435041719577,0.0,0,0
evaluated_test,same_history_contribution,O_star,E,80,-0.02975166261542537,0.6506976746713451,0.0,4,2
evaluated_test,same_history_contribution,H,E,80,0.06304497452180671,0.03690165326139016,0.825,0,0
evaluated_test,same_history_different_evidence,O,O_star,80,0.2412425514346574,0.16966466828588905,0.8,8,2
evaluated_test,same_history_different_evidence,O,H,80,0.501185505690763,0.06603256524486886,0.725,0,0
evaluated_test,same_history_different_evidence,O,E,80,0.26845015316336096,4.467997283992686,0.0,10,2
evaluated_test,same_history_different_evidence,O_star,H,80,-0.0018268463050482716,0.17227278437366417,0.725,0,0
evaluated_test,same_history_different_evidence,O_star,E,80,-0.0340674010170221,4.494611853866267,0.0,14,6
evaluated_test,same_history_different_evidence,H,E,80,0.4396571989963454,4.482245350758939,0.0,0,0
evaluated_test,same_raw_different_context,O,O_star,80,,1.0080648183933694,0.0,0,0
evaluated_test,same_raw_different_context,O,H,80,,0.10413918179266039,0.0,0,0
evaluated_test,same_raw_different_context,O,E,80,,0.10413918179266039,0.0,0,0
evaluated_test,same_raw_different_context,O_star,H,80,-0.9340381749340629,1.1059383563592027,0.0,32,32
evaluated_test,same_raw_different_context,O_star,E,80,-0.9340381749340628,1.1059383563592027,0.0,32,32
evaluated_test,same_raw_different_context,H,E,80,1.0,2.172217384091364e-17,1.0,32,0
evaluated_test,same_total_evidence,O,O_star,80,0.906556346531687,0.4677815785134376,0.0,72,4
evaluated_test,same_total_evidence,O,H,80,0.9852946855608337,0.2245070458830061,0.0,72,0
evaluated_test,same_total_evidence,O,E,80,0.24627714593762368,1.0689279611828526,0.0,4,2
evaluated_test,same_total_evidence,O_star,H,80,0.8899470655362998,0.5453762314943388,0.0,76,8
evaluated_test,same_total_evidence,O_star,E,80,0.30638217610775237,1.0649406309848117,0.0,4,0
evaluated_test,same_total_evidence,H,E,80,0.2626758441407517,1.1797812857264094,0.0,4,2
