target,layer,task_family,monotonic_rho,linear_slope,linear_intercept
action_history,30,bandit,-0.9910312089651149,-0.04761904761904763,-0.026785714285714284
action_history,30,debugging,-0.8571428571428573,-0.043898809523809534,-0.042410714285714274
action_history,30,effort,-0.9274260335029679,-0.03125000000000001,-0.015624999999999997
action_history,30,foraging,-0.9910312089651149,-0.053571428571428575,0.004464285714285716
action_history,30,information_sampling,-0.9910312089651149,-0.04092261904761905,-0.004464285714285713
action_history,30,solvability,-0.9910312089651149,-0.0625,0.002232142857142857
action_history,30,waiting,-1.0,-0.06398809523809523,-0.01339285714285714
