contrast_kind,layer,direction,pairs,mean_projection_difference,mean_absolute_projection_difference,sign_accuracy,representational_dissociation_score
decision_history_matched,8,action_orthogonal,1622,-0.0007856685930056872,0.021472280144544477,0.4648581997533909,132.2988364365942
decision_history_matched,8,action_raw,1622,0.0015435125012727025,0.021468746171559125,0.5030826140567201,67.3475718346495
decision_history_matched,8,action_residualized,1622,-0.006149716583412467,0.011645690791777411,0.3156596794081381,15.978362338964706
decision_history_matched,8,gradient,1622,0.0036369020672820497,0.006901850627618124,0.6307028360049322,1.011248805108242
decision_history_matched,8,persistence,1622,0.024275150166137738,0.026428632468040274,0.8797780517879161,0.1936673825266836
decision_history_matched,30,action_orthogonal,1622,0.8910702938436726,0.9044359597927545,0.9636251541307028,1.924879710080601
decision_history_matched,30,action_raw,1622,0.9172093743773042,0.9287804268603701,0.9654747225647349,1.8654230963929839
decision_history_matched,30,action_residualized,1622,-0.04467662540522809,0.06590716752112279,0.24475955610357583,14.604631904015099
decision_history_matched,30,gradient,1622,0.27416730820030233,0.28118493881090356,0.94019728729963,0.17365677125611295
decision_history_matched,30,persistence,1622,0.40418765225370773,0.4054666108712462,0.9882860665844636,0.008660088225586055
history_decision_matched,8,action_orthogonal,582,0.10394436366779287,0.1041548188609356,0.9845360824742269,132.2988364365942
history_decision_matched,8,action_raw,582,0.1039524925328612,0.10422022430757477,0.9828178694158075,67.3475718346495
history_decision_matched,8,action_residualized,582,0.09826255963532786,0.09826255963532786,1.0,15.978362338964706
history_decision_matched,8,gradient,582,-0.003677822982322719,0.0072224561086635,0.30584192439862545,1.011248805108242
history_decision_matched,8,persistence,582,0.00470130672979191,0.014162568932341546,0.634020618556701,0.1936673825266836
history_decision_matched,30,action_orthogonal,582,1.7152031481240417,1.7158915682526183,0.9982817869415808,1.924879710080601
history_decision_matched,30,action_raw,582,1.7109835698458133,1.7117672742462855,0.9982817869415808,1.8654230963929839
history_decision_matched,30,action_residualized,582,0.6524858148032447,0.6524858148032447,1.0,14.604631904015099
history_decision_matched,30,gradient,582,-0.04761101126261184,0.09306823900065471,0.30927835051546393,0.17365677125611295
history_decision_matched,30,persistence,582,-0.0035003008148104873,0.05101645589386884,0.47594501718213056,0.008660088225586055
