layer,direction_a,direction_b,cosine,heldout_split,heldout_projection_correlation,heldout_projection_shared_r2,heldout_examples
8,action_orthogonal,action_orthogonal,1.0,test,0.9999999999999999,0.9999999999999998,560
8,action_orthogonal,action_raw,0.9948243298068797,test,0.998412878361734,0.9968282756785626,560
8,action_orthogonal,action_residualized,0.9265258087037235,test,0.836625121786199,0.6999415944037722,560
8,action_orthogonal,gradient,1.1755541869801212e-09,test,-0.36727573516464174,0.13489146564072804,560
8,action_orthogonal,persistence,1.5079053969010991e-09,test,-0.11039908175661457,0.012187957252703668,560
8,action_raw,action_raw,1.0,test,1.0,1.0,560
8,action_raw,action_residualized,0.9312411169028255,test,0.8434499677745749,0.7114078481389314,560
8,action_raw,gradient,-0.022650730827028585,test,-0.3431740080809596,0.11776839982235053,560
8,action_raw,persistence,0.0992313177091621,test,-0.05438575978839795,0.0029578108677613233,560
8,action_residualized,action_residualized,0.9999999999999998,test,1.0,1.0,560
8,action_residualized,gradient,-0.009495659502260646,test,-0.17732589595787215,0.0314444733772621,560
8,action_residualized,persistence,0.0939179558151958,test,0.056948726861136216,0.0032431574911042974,560
8,gradient,gradient,1.0,test,1.0,1.0,560
8,gradient,persistence,-0.008012732671599191,test,0.5120784567219283,0.2622243458387118,560
8,persistence,persistence,1.0,test,1.0,1.0,560
30,action_orthogonal,action_orthogonal,0.9999999999999998,test,0.9999999999999999,0.9999999999999998,560
30,action_orthogonal,action_raw,0.9979317807571522,test,0.9998633190783373,0.9997266568383488,560
30,action_orthogonal,action_residualized,0.3181389619113041,test,0.5879681428014365,0.3457065369493704,560
30,action_orthogonal,gradient,-2.7365869119388986e-11,test,0.5224237998409754,0.27292662664028355,560
30,action_orthogonal,persistence,2.9968770780958165e-10,test,0.6144111409683323,0.3775010501460079,560
30,action_raw,action_raw,1.0000000000000002,test,1.0,1.0,560
30,action_raw,action_residualized,0.3081319879355733,test,0.5809333835770245,0.3374835961542503,560
30,action_raw,gradient,0.014759561244165588,test,0.5291203940612048,0.27996839141148466,560
30,action_raw,persistence,0.0635807481785737,test,0.6272510457051464,0.3934438743381997,560
30,action_residualized,action_residualized,1.0000000000000002,test,0.9999999999999998,0.9999999999999996,560
30,action_residualized,gradient,0.015001220697343512,test,-0.029024129911593862,0.0008424001171250775,560
30,action_residualized,persistence,-0.15117502075427214,test,0.05590346659112283,0.0031251975769047862,560
30,gradient,gradient,1.0,test,1.0,1.0,560
30,gradient,persistence,0.0837436015864283,test,0.5609493813361446,0.31466420842140336,560
30,persistence,persistence,1.0000000000000002,test,0.9999999999999999,0.9999999999999998,560
