layer,random_index,split,r2,pearson_r,mse
8,0,validation,0.0022933713487086616,0.08288740008379508,0.8964512961690164
8,1,validation,-0.0008237258679792969,0.01610348950250514,0.8992520451667073
8,2,validation,0.000748510302733929,0.0553507972382389,0.8978393722299495
8,3,validation,0.005233473635506081,0.10006016681093481,0.893809579225197
8,4,validation,0.002850921927307848,0.11727314135367134,0.8959503303294483
8,5,validation,0.01952030616530631,0.27363561549006854,0.8809726899315955
8,6,validation,0.0015969135754897446,0.08132905997799694,0.8970770717783988
8,7,validation,-0.00039900541321347127,0.028632357372902414,0.8988704287764275
8,8,validation,-0.0008927888269651962,0.001143758871567826,0.8993140990584249
8,9,validation,-0.0009322368490511934,0.0038211348536246062,0.8993495435763972
8,10,validation,0.0003462773370018768,0.06963790823041997,0.8982007833433344
8,11,validation,-0.00024870180674008147,0.056782911061502704,0.8987353791947441
8,12,validation,-0.0009186201783346615,-0.010224054856678561,0.8993373088354796
8,13,validation,-0.0007630368656887931,0.0220865601707983,0.8991975153748786
8,14,validation,-0.0009692145599546897,0.008876658535345168,0.8993827684903316
8,15,validation,-0.0009124798292390324,-0.008748651368966708,0.8993317916586386
8,16,validation,0.00031709472379093384,0.04644845356369367,0.8982270042690927
8,17,validation,-0.0009378608288528323,0.011842683753182428,0.8993545967892735
8,18,validation,-0.0007299864967615921,0.026306736424030485,0.8991678192245146
8,19,validation,0.0009843222605210311,0.08005117774833333,0.8976274923755516
8,20,validation,-0.0009059339258385979,0.008422963435311332,0.8993259100864215
8,21,validation,0.0020666444027981345,0.08269309581975666,0.896655013031971
8,22,validation,0.001630155404611533,0.0949209170418366,0.8970472035987681
8,23,validation,0.001069126690070643,0.08529237216700761,0.8975512945849311
8,24,validation,-0.0009505419541167015,-0.02221506021040116,0.8993659909314525
8,25,validation,-0.0003827086975465299,0.03739927036947067,0.8988557859831819
8,26,validation,-0.00044552091002603156,0.023910185573861716,0.8989122235046693
8,27,validation,-0.0009777661599803533,0.003909466309720231,0.8993904522048697
8,28,validation,0.002784196486743773,0.06752297408499906,0.896010283933006
8,29,validation,-0.0005449884298263097,0.01816744303449877,0.8990015962566297
8,30,validation,0.0023061393795782426,0.12430748072903251,0.8964398239411151
8,31,validation,-0.0009664704293199655,-0.005805478119247082,0.8993803028562528
8,32,validation,-0.0008499080944153192,0.017933931980197774,0.899275570209191
8,33,validation,-0.0009564424998407262,-0.007732890734298584,0.8993712926421062
8,34,validation,-0.0008020841759937003,0.05029579702453969,0.89923259984854
8,35,validation,-0.0011693761878608377,-0.02343950799700348,0.899562616098463
8,36,validation,-0.000583160481584466,0.0401820829574004,0.8990358943000557
8,37,validation,-0.00035374000931320815,0.031385721817448906,0.8988297572715654
8,38,validation,-0.001516221734683354,-0.017063507677369475,0.8998742609558694
8,39,validation,-0.0008955673470723013,0.007663351676452706,0.8993165955918546
8,40,validation,-0.000540118801182432,0.03021068535638555,0.8989972208372585
8,41,validation,0.003812665313536301,0.10903294454728804,0.8950861924351937
8,42,validation,-0.0004430578429597265,0.029641779883252208,0.8989100104095562
8,43,validation,0.0014436436105088601,0.07900981097963641,0.897214786668553
8,44,validation,0.0007861537438931254,0.05121078753583999,0.8978055491494462
