layer,direction,target,split,r2,pearson_r,mse
8,action_orthogonal,action_history,validation,0.6436338326841586,0.8112409144191925,0.3466468641468539
8,action_orthogonal,action_history,test,0.661372211611019,0.8214753220022828,0.39605470578620866
8,action_orthogonal,action_history,transfer,-0.042013045654495595,0.8861500674820754,1.8103818875973916
8,action_orthogonal,action_residual,validation,0.6007612015500285,0.7864370592264862,0.35872081839853814
8,action_orthogonal,action_residual,test,0.594274520823338,0.7775031474533575,0.4301938672328286
8,action_orthogonal,action_residual,transfer,-0.7013183125303026,0.8508920687251128,2.8493336293364093
8,action_orthogonal,persistence_logit,validation,-0.03475839300877204,0.004750508665090576,1.4105487528999086
8,action_orthogonal,persistence_logit,test,-0.036206430317000216,0.025495839493175923,1.24572267852094
8,action_orthogonal,persistence_logit,transfer,-1.4301559480792307,-0.11997087588926765,2.712602208033026
8,action_raw,action_history,validation,0.666785860094539,0.8254322941280022,0.32412627034049113
8,action_raw,action_history,test,0.6829980625060428,0.8345428839386625,0.37076138873637937
8,action_raw,action_history,transfer,-0.08505024884520518,0.8736075661075492,1.8851542462297837
8,action_raw,action_residual,validation,0.6095285997184892,0.7917928993474668,0.35084320665732815
8,action_raw,action_residual,test,0.606238814831461,0.7856081911279533,0.4175080336526707
8,action_raw,action_residual,transfer,-0.7419657815248566,0.8360084644320583,2.917409191387663
8,action_raw,persistence_logit,validation,-0.031434364606877985,-0.054197377456919715,1.4060175462447373
8,action_raw,persistence_logit,test,-0.03370608213447035,-0.02213221258210743,1.2427167712576324
8,action_raw,persistence_logit,transfer,-1.1529950724238,-0.14374551099285432,2.4032281516571277
8,action_residualized,action_history,validation,0.9264771282750852,0.9626134059019679,0.07151765589443528
8,action_residualized,action_history,test,0.9243542659088885,0.9622843373194383,0.08847427761900664
8,action_residualized,action_history,transfer,0.21062401810758768,0.8813500640363723,1.371453060095634
8,action_residualized,action_residual,validation,0.9430828183391485,0.9713471913950552,0.0511407660417488
8,action_residualized,action_residual,test,0.9352196403592505,0.9671363611222867,0.06868711694207662
8,action_residualized,action_residual,transfer,-0.5528813456285877,0.8238886922028117,2.600734388080538
8,action_residualized,persistence_logit,validation,-0.028367028682099615,0.042563310636818154,1.401836254367664
8,action_residualized,persistence_logit,test,-0.02663345984935761,0.09210384171593189,1.2342140967717365
8,action_residualized,persistence_logit,transfer,-0.9994840301264283,0.23947553907307556,2.2318752009864387
8,gradient,action_history,validation,-0.0027078685735160146,-0.005736633612668027,0.9753606547849581
8,gradient,action_history,test,-0.0015296218685028062,0.08190316197823157,1.1713761638181321
8,gradient,action_history,transfer,-0.009673705628880924,0.2213791361106134,1.7541958775628888
8,gradient,action_residual,validation,0.006593155462566114,0.09248963988570139,0.8925878888993614
8,gradient,action_residual,test,0.010215409577074896,0.11770872816267977,1.049476265443258
8,gradient,action_residual,transfer,-0.053845061463318133,0.1348012796776911,1.7649584746264493
8,gradient,persistence_logit,validation,0.14619470259648792,0.40520845354604423,1.163879419204334
8,gradient,persistence_logit,test,0.06429610947487074,0.29368117342631783,1.1248989802648062
8,gradient,persistence_logit,transfer,-1.2750191583538917,-0.24124896070913893,2.5394345565130796
8,persistence,action_history,validation,0.034728982490890625,0.1944861237754006,0.9389448324784939
8,persistence,action_history,test,0.024192000153014814,0.1717428902205905,1.1412924855395667
