architecture,r2,mse,correlation,rmse
dual_history,0.6939187841176062,0.4752189856849056,0.8624934686194023,0.6893612882117081
latent_context,0.7323256825631543,0.41558877521942766,0.8695992107212418,0.6446617525644186
