paired_condition_id,semantic_hash,task_family,coverage_marginal,coverage_pairwise,coverage_task_factor,coverage_score,information_variance,information_score,prediction_dual_history,prediction_latent_context,disagreement_raw,disagreement_score,active_score,sampling_strategy
active_round2_candidates-85192c1da6ac09a8,85192c1da6ac09a80b9dd569d3f6fd49b29daaa8eb286abc69a0a281073d0ec3,bandit,0.011885225580351244,0.01891784193654831,0.02903091352189967,0.2815714285714286,0.0025688130050874605,0.3335714285714286,0.3725672775543154,0.5208462946880966,0.14827901713378122,0.7952142857142858,0.4051,coverage
active_round2_candidates-fe9362999d1fd8a1,fe9362999d1fd8a1cf68111d3576f9bcbd86b244c0ffcfbed5a227605a5bbc0a,bandit,0.011917647939687321,0.018966165822195128,0.028947136514443483,0.2815,0.006159662585888542,0.8120714285714286,-0.8582238756387466,-0.8081827239224064,0.05004115171634016,0.4496428571428571,0.5273571428571429,coverage
active_round2_candidates-b5bf8c426e28dc52,b5bf8c426e28dc52f251ebf4d983a42497bb8ab7ad916ac9054735192219821a,bandit,0.011901738105138015,0.01888934420685875,0.029038693962551397,0.28139285714285717,0.004600445681314524,0.6600714285714285,-0.5778651026373332,-0.42090989538970974,0.1569552072476234,0.8120714285714286,0.539,coverage
active_round2_candidates-aac29079e46fe8ff,aac29079e46fe8ff44a5b1b704c81ab4cc38a2a1fad65e38d7897841c6293e45,bandit,0.011901738105138015,0.01888934420685875,0.029038693962551397,0.28139285714285717,0.0029469491409309656,0.40414285714285714,0.5192718378753082,0.40798289728362186,0.11128894059168631,0.7002857142857143,0.4142714285714286,coverage
active_round2_candidates-59b814241fabaccc,59b814241fabaccc101678b1d5fae8465443d61e9eb95aeb292ae57eac01a50c,bandit,0.011909840758410773,0.018919903605174596,0.02899362329631091,0.28125,0.005201781801961655,0.7305714285714285,0.919843263259646,1.004459127925726,0.08461586466607995,0.5914285714285714,0.5230142857142858,coverage
active_round2_candidates-b7b83fb90bdc8698,b7b83fb90bdc8698ef33825ca092c1d21bf11439bd11c971079ba3ad75f7d277,bandit,0.011909840758410773,0.018919903605174596,0.02899362329631091,0.28125,0.003772907095756334,0.5446428571428571,0.9025130538017199,0.6487624623596575,0.25375059144206236,0.9595714285714285,0.5222714285714285,coverage
active_round2_candidates-334ce119ff109fd9,334ce119ff109fd9ff42576d337c61e714adfcb60d07f10a40a8b7e488d9689e,bandit,0.011860372970827301,0.01885272113954326,0.02907025106497676,0.28114285714285714,0.003923751538113517,0.5674285714285714,-0.9447300567484982,-0.665647136961675,0.2790829197868232,0.9764285714285714,0.5347142857142857,coverage
active_round2_candidates-bb866b1734164feb,bb866b1734164febcfc38144fcd61b73835d2e7ed4e0e6ec697d22668efc5ed5,bandit,0.011873515215251412,0.01888452541623966,0.029001350446157103,0.28067857142857144,0.004873097020366745,0.6935,0.14012534201686522,0.45515576798991975,0.31503042597305453,0.9877142857142858,0.5872142857142858,coverage
active_round2_candidates-f46759be6f31ff91,f46759be6f31ff91f6f049eba4b5cf9e5826dc1414ad7ccd1fdc9d6e9e226f04,bandit,0.011873515215251412,0.01888452541623966,0.029001350446157103,0.28067857142857144,0.001595988308025994,0.1565,0.9296296018355852,0.9167005740190571,0.01292902781652805,0.21364285714285713,0.2176,coverage
active_round2_candidates-c0e7422162ef4edc,c0e7422162ef4edcb1dc49f3fb6978a0fa6f10c1796633c51360e438f93aa007,bandit,0.01187628280537661,0.018901828307449787,0.028978693616868844,0.2805714285714286,0.002062183308145661,0.2372857142857143,-0.26598079126442786,-0.24868599008183134,0.01729480118259652,0.2664285714285714,0.26042857142857145,coverage
