policy,budget,semantic_conditions,observations,comparison_scope,status,r2,mse,correlation,macro_r2,macro_mse,macro_correlation
coverage_only,100,100,686,queried_active_support,evaluated,0.8265714499964225,0.30383694652853455,0.9096403115830041,0.6969415001374522,0.30375627191349,0.8630693164120833
active_mixture,100,100,938,queried_active_support,evaluated,0.8304228461663958,0.29708951969407016,0.9115627503336584,0.6991736480928212,0.2970110351777105,0.8637402208505485
coverage_only,250,250,1744,queried_active_support,evaluated,0.8323590733161241,0.29369735995481755,0.9127122673513833,0.7117106699576189,0.293658044697522,0.8666788326392579
active_mixture,250,250,2454,queried_active_support,evaluated,0.8431626777298039,0.27477006005819177,0.9183969290725132,0.7323593079088532,0.2747165819013281,0.8727129381335985
coverage_only,500,500,3372,queried_active_support,evaluated,0.8400808356591998,0.2801692719203462,0.9169291469149862,0.728646338793881,0.28017254595621616,0.8711091900937967
active_mixture,500,500,4890,queried_active_support,evaluated,0.8512364146314755,0.2606253326345464,0.9230984940777858,0.7441803298757629,0.26058637848510896,0.8759130530815683
coverage_only,1000,1000,8762,queried_active_support,evaluated,0.8557500108007872,0.2527177690994868,0.9254203984588868,0.7542432754283445,0.25271417388650347,0.8770553576429749
active_mixture,1000,1000,9648,queried_active_support,evaluated,0.8616240180986524,0.2424268427137626,0.9286569320264534,0.7617517752737448,0.24234936144755886,0.879398370211133
