variant,task,n,approved,parse_rate,mean_p_continue,persistence_logit_sd,mean_absolute_mapping_gap,top_token_action_rate,failed_checks
AB_continue_first,bandit,40,True,1.0,0.23864034426613084,1.564706774979474,0.2292123067251425,1.0,
AB_continue_first,debugging,40,False,1.0,0.3313089453864017,1.9191151097542796,0.35833897618002747,1.0,counterbalance
AB_continue_first,effort,40,False,1.0,0.38812806514682113,1.9000437537134878,0.577684406659805,1.0,counterbalance
AB_continue_first,foraging,40,False,1.0,0.31185739803719076,1.9191359859823138,0.3645985310082458,1.0,counterbalance
AB_continue_first,information_sampling,40,False,1.0,0.3110298812283487,1.7070625354684579,0.487281698686845,1.0,counterbalance
AB_continue_first,solvability,40,False,1.0,0.4586807118133459,2.3167083156650934,0.49580814093524583,1.0,counterbalance
AB_continue_first,waiting,40,False,1.0,0.3214286244582966,2.4294203698276124,0.3915552520490012,1.0,counterbalance
AB_disengage_first,bandit,40,True,1.0,0.8165544181200401,2.4797577942107005,0.24189808188331194,1.0,
AB_disengage_first,debugging,40,False,1.0,0.7633664689415977,2.2245511467456036,0.30524240450445994,1.0,counterbalance
AB_disengage_first,effort,40,True,1.0,0.9093279351793729,1.7982251755693117,0.14360721408639726,1.0,
AB_disengage_first,foraging,40,False,1.0,0.7770307368768992,2.962607511843371,0.3494406264803939,1.0,counterbalance
AB_disengage_first,information_sampling,40,False,1.0,0.7172170191839248,1.8523092828918122,0.47605915462670795,1.0,counterbalance
AB_disengage_first,solvability,40,False,1.0,0.8025134920278199,2.6812501867790264,0.31138239198566586,1.0,counterbalance
AB_disengage_first,waiting,40,True,1.0,0.8957583041209544,2.3748397381826174,0.1778532976591228,1.0,
XY_continue_first,bandit,40,False,1.0,0.3319492639590777,2.1874290281527142,0.3904535956219517,1.0,counterbalance
XY_continue_first,debugging,40,False,1.0,0.32800815961342183,2.6289633541203448,0.47309612491867076,1.0,counterbalance
XY_continue_first,effort,40,False,1.0,0.445018101059241,1.8605640859558474,0.5407283593188299,1.0,counterbalance
XY_continue_first,foraging,40,False,1.0,0.4749783851553865,2.1887954039865902,0.4354875674816556,1.0,counterbalance
XY_continue_first,information_sampling,40,False,1.0,0.38967122341837357,1.4071667239892236,0.48702046583695785,1.0,counterbalance
XY_continue_first,solvability,40,False,1.0,0.654804051171895,2.3070057739471834,0.3131972222691229,1.0,counterbalance
XY_continue_first,waiting,40,False,1.0,0.26166790067157697,2.6108420852726364,0.34186310414184173,1.0,counterbalance
XY_disengage_first,bandit,40,True,1.0,0.8422056871611293,2.082964710977958,0.1759654211099142,1.0,
XY_disengage_first,debugging,40,False,1.0,0.8118766260491217,2.0675467586874485,0.2613073370750514,1.0,counterbalance
XY_disengage_first,effort,40,True,1.0,0.9379335010911773,1.9564468545993767,0.10609517421974975,1.0,
XY_disengage_first,foraging,40,True,1.0,0.842098796118694,2.673199130207772,0.2350398025538571,1.0,
XY_disengage_first,information_sampling,40,False,1.0,0.7532908755585402,1.669985677621679,0.4043567271576579,1.0,counterbalance
XY_disengage_first,solvability,40,True,1.0,0.9099237203253143,2.256569824267548,0.11068322365045921,1.0,
XY_disengage_first,waiting,40,True,1.0,0.8691699806355156,2.397696460627928,0.21238867682550353,1.0,
