abstraction,standardized_coefficient,partial_r2,full_heldout_r2,ci_lower,ci_upper
O,-0.0018775809974936747,-1.5718379918761016e-05,-0.0005465432126949832,-0.09651824548666406,0.10048932270162927
O_star,0.007750183650181091,0.00012821382184857733,-0.0005465432126949832,-0.055264803489992485,0.07054764537883873
H,-0.004859745268986545,4.214405933877785e-05,-0.0005465432126949832,-0.0936000377033773,0.07604386372092402
E,-0.0037047460215486375,-0.00019953645237102968,-0.0005465432126949832,-0.18484995053012288,0.1849029647001149
