winner,alternative,estimate_difference,ci_lower,ci_upper,bootstrap_valid
E,O,4.222972475621257,3.060182605526609,5.813780275428872,2000
E,O_star,3.9762884856900262,2.981752378896657,5.304698484295914,2000
E,H,3.4226244929507272,2.4908496188812097,4.682936497759545,2000
