abstraction,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median
O,-3.5164129861950615,0.0051676607607726585,0.009717284523111129,-0.004737341154701858,1.223997639040435,0.4107142857142857,560,174,0.3107142857142857,1.2626712120322736e-08
O_star,-3.2697289962638303,-0.051256962091059545,-0.09010200572768619,-0.0038163813120039606,1.2731790601265975,0.3625,560,270,0.48214285714285715,-0.4744981813631798
H,-2.7160650035245313,0.006542219180251499,0.01082466496192834,-0.004691908043697018,1.2617398482509414,0.41964285714285715,560,272,0.4857142857142857,1.0540295303229641e-08
E,0.706559489426196,0.8823403738289819,0.5419995042802453,-0.012952455163213557,0.9550607546448927,0.5053571428571428,560,360,0.6428571428571429,1.883033446947735e-07
