method,split,dataset,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
frozen_DAS,mech_pair_test,fresh_signed_history,32,0.08029343824516788,0.9347385537179799,1.496350786114748,0.21875000000000006,0.3547142436838981,0.875,-1.209942304515816,0.025863661391317128,1.7010599695320638,32,0.1,32,1.0,0.025863661391317128,-1.4448926344991353,0.8301102666602451
frozen_DAS,mech_pair_test,original_pairs,24,0.9701537135603004,0.8151995947359331,1.0153175331579976,0.023878595262563876,0.20367116410723216,1.0,0.9625092228476723,0.9804600006575532,0.9896234116849727,24,0.1,24,1.0,0.9804600006575532,0.9678563389982102,0.9997751668117334
frozen_DAS,mech_pair_validation,original_pairs,22,0.9631422012770983,0.8289060822836062,1.1940425857895502,-0.23173477319307553,0.21951282410042516,1.0,0.9552242934675609,0.9794900732339014,0.9698144971523351,22,0.1,22,1.0,0.9794900732339014,0.9203235596078737,0.9959635032142987
frozen_DAS,mech_task_holdout,fresh_signed_history,24,-0.4259557531678795,0.8379867707966828,1.217558305372111,0.18750000000000008,0.2585393222692806,0.6666666666666666,-12.163230682240817,-0.7311193329278532,1.0784747858168888,24,0.1,16,0.6666666666666666,0.15129692747008777,-1.621655324540833,0.9885909751765208
frozen_DAS,mech_task_holdout,original_pairs,18,0.8996357062744417,0.8627855833693208,0.8567240467900843,0.019368100320346207,0.22181604983723044,0.7777777777777778,-130.9971081970484,0.9447442589294567,0.8758594326389771,18,0.1,12,0.6666666666666666,0.9814308996730143,0.9447442589294567,0.9855486749124576
cognitive_DAS_75001,mech_pair_test,fresh_signed_history,32,0.10876183629105873,0.9419738583282475,1.4552635071024522,0.23828125000000006,0.34918121608225977,0.875,-1.0945687444866896,0.14244262255872503,1.5610430419614196,32,0.1,32,1.0,0.14244262255872503,-2.263518333624699,0.8254391452698949
cognitive_DAS_75001,mech_pair_test,original_pairs,24,0.9732452735385843,0.8472547960917932,1.0405232348161761,0.021032851820536762,0.19283446261382609,1.0,0.9716884959700423,0.9894985299136516,1.0274537783491997,24,0.1,24,1.0,0.9894985299136516,0.9779870113306713,0.9997751668117335
cognitive_DAS_75001,mech_pair_validation,original_pairs,22,0.9712530520455206,0.8607418087227793,1.1947073211302752,-0.22679244708257434,0.19386127800411027,1.0,0.9648343436358302,0.9804600006575532,0.9850055613270868,22,0.1,22,1.0,0.9804600006575532,0.9423897498353604,0.9959635032142987
cognitive_DAS_75001,mech_task_holdout,fresh_signed_history,24,0.018676339616895077,0.8607970416423558,1.050990729485184,0.16666666666666677,0.21447650115439107,0.625,-11.61160678336797,-0.22255882343265054,0.8126910360667654,24,0.1,16,0.6666666666666666,0.22166625698287,-1.621655324540833,0.9230889582399293
cognitive_DAS_75001,mech_task_holdout,original_pairs,18,0.8750508714035571,0.8168790479117842,0.7578750626223507,0.07562475204088984,0.24749701560215964,0.8333333333333334,-221.2240714627646,0.9275781578179427,0.8203970169914656,18,0.1,12,0.6666666666666666,0.9646666893836935,0.9361612083736996,0.9973958045152416
cognitive_DAS_75002,mech_pair_test,fresh_signed_history,32,0.2972976341222634,0.8833645920047444,1.228309920652136,0.17578125000000006,0.3100556812240464,0.8125,-0.511896060488818,0.3012447917585216,1.2827392966159503,32,0.1,32,1.0,0.3012447917585216,-0.792298580101915,0.8500350611101442
cognitive_DAS_75002,mech_pair_test,original_pairs,24,0.9000665026709133,0.7063342273112146,1.2984764707219372,-0.39439037533699,0.3726833044574352,1.0,0.8653274926807871,0.942865542545168,0.9896234116849726,24,0.1,24,1.0,0.942865542545168,0.7894803880373348,0.9976038030664628
cognitive_DAS_75002,mech_pair_validation,original_pairs,22,0.8989533656110954,0.7205724459738538,1.2196252053679384,-0.42496716430903436,0.3634595851092239,1.0,0.8695345573044349,0.8264544281475076,0.8517257854086643,22,0.1,22,1.0,0.8264544281475076,0.8092753934635528,0.9913797677686128
cognitive_DAS_75002,mech_task_holdout,fresh_signed_history,24,-0.3983527129843898,0.6736996792193212,0.9744188607435942,0.109375,0.2560247471003713,0.5,-3.994193779274939,2.8701525311980447e-07,0.17974579763614804,24,0.1,16,0.6666666666666666,2.8701525311980447e-07,-1.666823250570041,0.7808945485250807
cognitive_DAS_75002,mech_task_holdout,original_pairs,18,0.7732986514582219,0.7606091137142341,0.7741280325287953,-0.044736202911811254,0.3333729839796224,0.6666666666666666,-64.40049979890863,0.8064774349730437,0.6374455011199618,18,0.1,12,0.6666666666666666,0.8685542367091723,0.8222838448991971,0.9289563224893043
cognitive_DAS_75003,mech_pair_test,fresh_signed_history,32,0.07172895714877403,0.9322316814991699,1.465300088452725,0.23046875000000008,0.3563619995142464,0.875,-1.1932091456945562,0.09708482261280554,1.7010599695320638,32,0.1,32,1.0,0.09708482261280554,-2.265530893895288,0.803490689844565
cognitive_DAS_75003,mech_pair_test,original_pairs,24,0.9657207699395766,0.8521523531703986,1.139611240718519,-0.06648692495806945,0.2182729528398713,1.0,0.9636122741446389,0.9948027393303696,1.0500857762753422,24,0.1,24,1.0,0.9948027393303696,0.9440755703893923,0.9997751668117335
cognitive_DAS_75003,mech_pair_validation,original_pairs,22,0.9516047127378434,0.8414163960715529,1.366891349905092,-0.4183404456403287,0.2515340225404175,1.0,0.948869431283535,0.9790757063930927,0.9850055613270867,22,0.1,22,1.0,0.9790757063930927,0.9224956714805204,0.9939469964399303
cognitive_DAS_75003,mech_task_holdout,fresh_signed_history,24,-0.3189130011745658,0.8289765402245264,1.139137023809715,0.18229166666666674,0.2486461023353392,0.625,-11.473989231033814,2.8701525311980447e-07,0.9849066707515092,24,0.1,16,0.6666666666666666,0.15129692747008777,-1.621655324540833,0.9439985403465444
cognitive_DAS_75003,mech_task_holdout,original_pairs,18,0.8913628391695205,0.8618431851176211,0.9022126521262924,-0.01346468935291691,0.23077701632041403,0.7777777777777778,-146.7875263647143,0.9615084692187774,0.8758594326389771,18,0.1,12,0.6666666666666666,0.98458911983793,0.9698905743634378,0.9884273401360392
cognitive_DAS_75004,mech_pair_test,fresh_signed_history,32,0.045715330086839145,0.9248099638455727,1.4737080406128187,0.22265625000000008,0.3613207966900218,0.875,-0.9735547594547326,3.001157479198824e-07,1.413124783741242,32,0.1,32,1.0,3.001157479198824e-07,-1.9292328300823358,0.904076753088236
cognitive_DAS_75004,mech_pair_test,original_pairs,24,0.9492105290930264,0.843009287801288,1.3389053680753993,-0.31051624661853955,0.26568757117404307,1.0,0.9412071254239204,0.9761110065134943,1.0274537783492002,24,0.1,24,1.0,0.9761110065134943,0.9141229014601014,0.995474908255159
cognitive_DAS_75004,mech_pair_validation,original_pairs,22,0.9607049430986639,0.8551432241511923,1.3137108502000652,-0.3648610375848327,0.2266544035118494,1.0,0.9499919508515717,0.9757545460428595,0.9546234329775839,22,0.1,22,1.0,0.9757545460428595,0.9203235596078737,0.9948027393303696
cognitive_DAS_75004,mech_task_holdout,fresh_signed_history,24,-0.4922681713281616,0.8137100986090148,1.2052351474855048,0.18229166666666669,0.2644825473587623,0.625,-11.102798700190798,1.4391369303479173e-06,1.0784747858168884,24,0.1,16,0.6666666666666666,0.3729626966336255,-1.8433210937043796,0.9885909751765208
cognitive_DAS_75004,mech_task_holdout,original_pairs,18,0.8986362336576387,0.8664567533714947,0.8558037529676459,0.006002966424848436,0.2229177855550397,0.7777777777777778,-91.69738975556555,0.8894831467078005,0.8758594326389773,18,0.1,12,0.6666666666666666,0.9814308996730143,0.8999476017071146,0.9884273401360392
