split,n,contrasts,ci_low,ci_high
mech_pair_test,24,14,0.9452058099354138,0.9870540344932199
mech_pair_validation,22,14,0.9415641248105797,0.9820256186592657
mech_task_holdout,18,15,0.7569006262533807,0.9668170554012002
