candidate_id,theory,target_variable,layer,relative_depth,rank,training_loss,basis_path,basis_sha256,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
dual_history__L8__rank2,dual_history,outcome_history,8,0.25,2,0.037300266416452836,mechanism/candidates/dual_history__L8__rank2.safetensors,68379e266002dade0f48c5cf75176e9db2296416f403ee5d329d5d6b3f7654d0,0.3293929381317625,0.5703680355658904,0.2184971744517087,0.013324031418325877,0.2149052665918912,0.45454545454545453,-1.0514353408098325,1.1853225040381332e-06,0.0,22,0.1,18,0.8181818181818182,8.397505021351392e-07,2.3504310608934986e-07,0.4664862458872644
dual_history__L8__rank8,dual_history,outcome_history,8,0.25,8,0.03128350471063352,mechanism/candidates/dual_history__L8__rank8.safetensors,d21bccfaf8f48d9c488c34cd75ffd28b3535ff38be162a5baf099de9bb2daac6,0.34991549308370806,0.570962875650337,0.2390868806323552,0.01704891852933783,0.21159134801257204,0.5454545454545454,-1.1005471950765904,0.21356228558952506,0.2563386026952072,22,0.1,18,0.8181818181818182,0.44679242209436165,2.126940856217452e-07,0.8119034063900936
dual_history__L16__rank2,dual_history,outcome_history,16,0.5,2,0.02763998506643068,mechanism/candidates/dual_history__L16__rank2.safetensors,5639412a7e8ad5c27c086da02dae9e1fc2f860ca8bb0f20f9372618a2cc8727d,0.6472247654879613,0.777197866753502,0.5924417358912745,0.06301006209873826,0.1558698229398518,0.45454545454545453,-2.1798644109399277,1.3679575320724169e-05,0.0,22,0.1,18,0.8181818181818182,0.23324361512961111,2.126940856217452e-07,0.8447763499520917
dual_history__L16__rank8,dual_history,outcome_history,16,0.5,8,0.022246476218590137,mechanism/candidates/dual_history__L16__rank8.safetensors,06e7d69f48da254a52db57b4f03b72ebc2d6e9ddd7b12eea28db8907ba93d7a0,0.7121429472470643,0.8444241793786194,0.885242730799146,0.023817404792744936,0.14079960444115758,0.7272727272727273,-0.8649764358829486,0.7668641345392115,0.5662989137485483,22,0.1,18,0.8181818181818182,0.8119034063900935,0.5672569745070525,0.8447763499520917
dual_history__L24__rank2,dual_history,outcome_history,24,0.75,2,0.040784193055783104,mechanism/candidates/dual_history__L24__rank2.safetensors,76db7b65e79c4fc3e74b47e946d6a09367562e2df11ab4c8be34a40c71884fd5,0.41845786132334384,0.593871678799217,0.3136491251094261,0.03268948629608119,0.20012603550722888,0.4090909090909091,-3.6058793624079497,8.397505021351392e-07,0.0,22,0.1,18,0.8181818181818182,8.397505021351392e-07,2.0524441213254363e-07,0.7772450654441843
dual_history__L24__rank8,dual_history,outcome_history,24,0.75,8,0.04672634304793841,mechanism/candidates/dual_history__L24__rank8.safetensors,b421587923f6b4d5f6f8a6c898e923fb68f64966e477fae7c42dc083dca77d1d,0.4800648160346225,0.7109569690331676,0.7006252138070058,0.06977331021425504,0.18922895934688175,0.5454545454545454,-0.9222746101966806,0.053708523215097115,0.5312081108897854,22,0.1,18,0.8181818181818182,0.4267466731409346,6.951290464352056e-07,0.9274761562023941
dual_history__L28__rank2,dual_history,outcome_history,28,0.9,2,0.042759658107304234,mechanism/candidates/dual_history__L28__rank2.safetensors,ea74742bfbd682fd1d3f9fb093984ee6778df4a1f5633a6af90e11697e5d9a54,0.42890332246433016,0.6217674139419607,0.2567306338357523,0.0665083466841345,0.19832059386421955,0.4090909090909091,-2.32304547954509,9.84371957835073e-07,0.0,22,0.1,18,0.8181818181818182,8.397505021351392e-07,2.0524441213254363e-07,0.6686248560548673
dual_history__L28__rank8,dual_history,outcome_history,28,0.9,8,0.04796826987850677,mechanism/candidates/dual_history__L28__rank8.safetensors,a058bdb90d0aba1630d8bee69d081ca547904de7120a6062673e812e095dca59,0.503506726964178,0.6640047915246965,0.47412549791311953,0.07425532807042999,0.18491395254748866,0.4090909090909091,-3.5816898836996374,6.951290464352056e-07,0.0,22,0.1,18,0.8181818181818182,8.397505021351392e-07,2.0524441213254363e-07,0.9468532404490604
latent_context__L8__rank2,latent_context,contextual_outcome_history,8,0.25,2,0.07094045446519467,mechanism/candidates/latent_context__L8__rank2.safetensors,d7724642b1b01520e6e4b997d0c313b1365cc7cb8870251c63e9541b01c74b03,0.15504202353208363,-0.032422964594703854,-0.011024361885044087,0.0479202659938107,0.38325962531692537,0.35,0.21437337399785603,1.4033004558378082e-07,0.0,20,0.1,18,0.9,1.0989907750502681e-07,5.179626916262947e-08,0.39010778019169096
latent_context__L8__rank8,latent_context,contextual_outcome_history,8,0.25,8,0.06841831307790654,mechanism/candidates/latent_context__L8__rank8.safetensors,1a82cd28aab99cd54188d7d491287798bff68b16a3cc0e8effe66d9f7bc599be,0.2345138031660764,0.059120908079041655,0.02107274630801378,0.05452865814449278,0.3647910693809484,0.5,0.28803067624532,0.15607358314574576,0.08531515486105878,20,0.1,18,0.9,0.15607312430419262,6.126428842012643e-08,0.4860690512255973
