job_index,contrast_family,random_index,control_role,abstraction,layer,rank,row_set_sha256,global_cfr,correlation,slope,intercept,rmse,sign_accuracy
3,same_history_different_evidence,5,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.014545289589402599,0.6064784348631229,0.008181112337166912,0.02083333333333331,5.055856478290299,0.3
3,same_history_different_evidence,6,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.125,0.2091650066335189,0.4
3,same_history_different_evidence,6,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.125,0.2091650066335189,0.4
3,same_history_different_evidence,6,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.125,0.20916500663351922,0.2
3,same_history_different_evidence,6,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.008130683707952224,0.0,-1.871676106728416e-18,-0.12499999999999997,5.072284793687062,0.4
3,same_history_different_evidence,7,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-1.7554167342883506e-17,0.1479019945774904,0.5
3,same_history_different_evidence,7,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-1.7554167342883506e-17,0.1479019945774904,0.5
3,same_history_different_evidence,7,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-1.7554167342883506e-17,0.14790199457749037,0.2
3,same_history_different_evidence,7,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.03842601367007714,0.6900655593423544,0.020452780842917285,0.020833333333333304,4.994220983604443,0.5
3,same_history_different_evidence,8,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.0125,0.14252192813739226,0.3
3,same_history_different_evidence,8,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.0125,0.14252192813739226,0.3
3,same_history_different_evidence,8,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.0125,0.14252192813739267,0.2
3,same_history_different_evidence,8,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.013942914197742518,0.2516098041413563,0.007158473295021045,-0.005208333333333339,5.057401479917329,0.5
3,same_history_different_evidence,9,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.08749999999999998,0.11858541225631422,0.4
3,same_history_different_evidence,9,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.08749999999999998,0.11858541225631422,0.4
3,same_history_different_evidence,9,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.08749999999999998,0.11858541225631422,0.4
3,same_history_different_evidence,9,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.01418386435440655,0.25503068522533534,0.004090556168583457,-0.08333333333333329,5.056783535911932,0.4
3,same_history_different_evidence,10,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.075,0.09682458365518543,0.4
3,same_history_different_evidence,10,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.075,0.09682458365518543,0.4
3,same_history_different_evidence,10,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.075,0.09682458365518537,0.4
