target,layer,random_index,split,r2,pearson_r,mse
action_history,28,0,validation,0.00024914030272749077,0.06442566455327242,0.972484293479605
action_history,28,1,validation,0.0016340053485849326,0.06575239899380325,0.9711371983582333
action_history,28,2,validation,-0.001783189690543363,0.02299482569734957,0.9744611950030725
action_history,28,3,validation,0.007232635243196728,0.1103343966919863,0.9656912619184648
action_history,28,4,validation,0.0015354465326118394,0.05363364009898633,0.9712330691440276
action_history,28,5,validation,0.017672516628034818,0.1470017594447873,0.9555361111885925
action_history,28,6,validation,0.007688341502384843,0.10818590244059698,0.9652479843006441
action_history,28,7,validation,-0.0009250214543070623,0.0237826954611148,0.9736264318990371
action_history,28,8,validation,0.0017190262341068019,0.054561748446450495,0.9710544962780242
action_history,28,9,validation,-0.0024205316181591385,-0.01799998748717755,0.9750811544741451
action_history,28,10,validation,0.03243985464948629,0.18749004855313037,0.9411715281096499
action_history,28,11,validation,-0.0005407335232687771,0.0391507471801845,0.9732526247915125
action_history,28,12,validation,0.0012747189017385807,0.048781057659413554,0.9714866858560726
action_history,28,13,validation,-0.002242123928818618,0.028862019297654827,0.974907612562141
action_history,28,14,validation,-0.001223704252696578,0.019112661863025602,0.9739169686136083
action_history,28,15,validation,0.005345632966471281,0.08124768696818807,0.9675267993006796
action_history,28,16,validation,0.03619278658073999,0.19845207471802936,0.9375209512461827
action_history,28,17,validation,0.009498270919010898,0.10509128559906335,0.9634874177425832
action_history,28,18,validation,0.05861975034557598,0.2603934569568594,0.915705646162731
action_history,28,19,validation,-0.000701399462023522,0.036667934702890245,0.9734089088301014
action_history,28,20,validation,0.001518178868705422,0.05787282701355072,0.9712498658607008
action_history,28,21,validation,0.01921680847827656,0.14112932015398183,0.9540339373676434
action_history,28,22,validation,0.051155596946139026,0.24126419719752892,0.9229662270111163
action_history,28,23,validation,-0.000315195598073581,0.03511059414548403,0.9730332380435956
action_history,28,24,validation,-0.0017238462735547078,0.0075829370863928144,0.9744034700805247
action_history,28,25,validation,-0.0004541876899766262,0.03602828962568883,0.9731684393539844
action_history,28,26,validation,-0.000563095665751856,0.03046595738084243,0.9732743770432085
action_history,28,27,validation,0.03864235096668156,0.20635653533656967,0.9351381947143038
action_history,28,28,validation,-0.0012674463424549032,0.024775121743182117,0.973959517709557
action_history,28,29,validation,0.007366096932879707,0.09460930092875534,0.965561440177639
action_history,28,30,validation,-0.001983146448859552,0.005257608564500505,0.9746556982685123
action_history,28,31,validation,0.013361187868251356,0.12745049137375383,0.9597298555222417
action_history,28,32,validation,0.001072247950202554,0.052762822829585825,0.9716836347442328
action_history,28,33,validation,0.03373518855755897,0.18951363085855832,0.9399115223110115
action_history,28,34,validation,0.008379162061598722,0.10001870523203032,0.9645760047400046
action_history,28,35,validation,-0.0014201173687067303,0.011269440505916037,0.9741080248837787
action_history,28,36,validation,-0.0003219985125602065,0.03304883295202157,0.9730398554197388
action_history,28,37,validation,0.03755356797689102,0.21378357294118913,0.9361972829324422
action_history,28,38,validation,-0.0007772361152480478,0.03146330012015769,0.9734826771628972
action_history,28,39,validation,0.006614209576991548,0.08729785419876175,0.9662928210381552
action_history,28,40,validation,0.011297740261868805,0.11919275437390801,0.9617370259769215
action_history,28,41,validation,-0.00036612889428577766,0.04051651345619063,0.9730827822176275
action_history,28,42,validation,-0.0020156415422443175,-0.007399166596659766,0.974687307111481
action_history,28,43,validation,0.012375609108442487,0.11509548446659507,0.9606885542366308
action_history,28,44,validation,0.0220639248171286,0.15350560078738842,0.9512644714608262
action_history,28,45,validation,-0.0005914264686570636,0.03165477071183375,0.9733019351698956
action_history,28,46,validation,0.11036543731355408,0.34383029148102184,0.8653712380013729
action_history,28,47,validation,0.0012048449364441272,0.048793989573675034,0.9715546541234793
action_history,28,48,validation,0.008971450253666524,0.10379524912566301,0.9639998702376809
action_history,28,49,validation,0.03574454749087963,0.198544089555161,0.9379569653494813
action_history,28,50,validation,0.01744140893317425,0.13759164455879672,0.9557609157998356
action_history,28,51,validation,0.023264609141583348,0.15647053345812698,0.9500965338335327
action_history,28,52,validation,0.004612176818698965,0.07698043900434871,0.9682402516340746
action_history,28,53,validation,-0.0023550347261100946,-0.04170712045248215,0.9750174439024845
action_history,28,54,validation,0.004115779290412291,0.07714724441037106,0.9687231107333176
action_history,28,55,validation,0.01802501801609724,0.14702603429083133,0.9551932236981789
action_history,28,56,validation,0.008726094379182037,0.09999410902147411,0.9642385344327998
action_history,28,57,validation,0.004017760172128515,0.07649565948695097,0.9688184565407927
action_history,28,58,validation,0.001005592237412145,0.04740763096762889,0.9717484725316982
action_history,28,59,validation,0.04240137766334118,0.2105813075091131,0.9314816893101685
action_history,28,60,validation,0.0002898153755651611,0.04619878498086067,0.972444727752717
action_history,28,61,validation,-0.0014644902015665817,0.012175050792316296,0.9741511875203445
action_history,28,62,validation,-0.001557653226624378,-0.00043225384807610436,0.9742418096765775
action_history,28,63,validation,0.002114113793487693,0.06198123589677052,0.9706701840843209
action_history,28,64,validation,0.030049501997058803,0.18009164442621658,0.9434966878110048
action_history,28,65,validation,0.01451019478979132,0.1286411428973328,0.9586121858813921
action_history,28,66,validation,0.008487420573085935,0.09981911813887147,0.9644706988019945
action_history,28,67,validation,0.037681203809120656,0.21307720104147648,0.9360731281583556
action_history,28,68,validation,0.0028640035149398724,0.0734277673723212,0.9699407463760354
action_history,28,69,validation,-0.0010894817166153814,0.01974404780996825,0.973786406777223
action_history,28,70,validation,-0.000264257991354544,0.04287392608757657,0.9729836896766187
action_history,28,71,validation,-0.0008901575327862066,0.029436471456161937,0.9735925188338377
action_history,28,72,validation,0.015089415137187978,0.13291756257026419,0.9580487628196929
action_history,28,73,validation,0.007715273756566887,0.10253539015112391,0.9652217865795559
action_history,28,74,validation,-0.0022521976647069675,0.0032647432640315536,0.9749174115533926
action_history,28,75,validation,0.004059530145197443,0.07354362586800896,0.9687778257752827
action_history,28,76,validation,0.00016428341595919882,0.042106762458422986,0.9725668360338576
action_history,28,77,validation,-0.0012133429789975558,0.024624363073923582,0.9739068899266686
action_history,28,78,validation,0.021537424800941674,0.15052333640369336,0.9517766120519465
action_history,28,79,validation,0.00018399092375243065,0.049106279608424556,0.972547666016041
action_history,28,80,validation,0.001212161851932958,0.052913663059993975,0.9715475367648687
action_history,28,81,validation,-0.0014867834134735247,0.042576096725988215,0.9741728727214327
action_history,28,82,validation,0.005518391464434114,0.088438306550374,0.9673587525076166
action_history,28,83,validation,0.008976649466514552,0.1032866276932598,0.9639948128248423
action_history,28,84,validation,0.007260573435572404,0.0981800688786418,0.9656640856944986
action_history,28,85,validation,0.006104463000699445,0.08397366741658115,0.9667886651119969
action_history,28,86,validation,0.00023547285874825352,0.0586269189176348,0.972497588166449
action_history,28,87,validation,0.0010046235717006136,0.04978401383140402,0.97174941477864
action_history,28,88,validation,0.010230837067014331,0.12179937711927281,0.9627748311356721
action_history,28,89,validation,0.025974351155267583,0.16541026940331882,0.9474606955923056
action_history,28,90,validation,-0.0015022691844179814,0.013199393605005917,0.974187936143354
action_history,28,91,validation,0.007936976636108262,0.10567577180765905,0.9650061302827077
action_history,28,92,validation,0.004739066908580836,0.07572925210296283,0.9681168222634354
action_history,28,93,validation,0.05049117428380878,0.2268626544604176,0.9236125286342464
action_history,28,94,validation,-0.0035647872578183915,-0.04666794117411029,0.9761942024165404
action_history,28,95,validation,-0.0018837457609079955,0.000426717913068997,0.974559008571418
action_history,28,96,validation,0.041760301321651094,0.2170153542602935,0.9321052813452919
action_history,28,97,validation,0.0007614203071730774,0.0432477491292114,0.9719859850727105
action_history,28,98,validation,0.0010705498018643844,0.05938204156766805,0.9716852865783581
action_history,28,99,validation,-0.0015685810892962504,-0.004477172374653787,0.9742524394997046
action_history,28,0,test,-0.0029049821688864608,0.041385825144426326,1.1729847675352392
action_history,28,1,test,-0.003567340893781523,0.008111133287256803,1.1737594537804565
action_history,28,2,test,0.0008230311827672754,0.0810848725245817,1.1686245310697658
action_history,28,3,test,0.0031233660896486937,0.10501481418317567,1.1659340889501482
action_history,28,4,test,0.0008190174251557769,0.05768575281613148,1.1686292255090422
action_history,28,5,test,0.008876780032731846,0.12552133595021148,1.1592049700041371
action_history,28,6,test,-0.0023806148892360213,0.032561329743308616,1.1723714743095004
action_history,28,7,test,-0.0008294090142479948,0.06702918168860063,1.1705572038701044
action_history,28,8,test,0.0023427708748741116,0.0919526651057031,1.1668470630731416
action_history,28,9,test,-0.004990055888277389,-0.027094194004778596,1.17542344293871
action_history,28,10,test,0.01539346913905526,0.13777862566613347,1.1515831342446325
action_history,28,11,test,0.0016925676151183788,0.08352318991306838,1.1676075324426785
action_history,28,12,test,0.0002864811521540167,0.05449568483156875,1.1692520730843332
action_history,28,13,test,0.0016897755697049543,0.07644894861794191,1.1676107979830819
action_history,28,14,test,-0.0047419397183032785,-0.0308024656843276,1.1751332494576392
action_history,28,15,test,0.002957592378037943,0.07592510644642463,1.166127975751026
action_history,28,16,test,0.024676883569522023,0.1697205380390852,1.1407253721323085
action_history,28,17,test,0.003042909339505573,0.07677460318953894,1.1660281901302612
action_history,28,18,test,0.08010787828673749,0.338025076361293,1.0758939936780825
action_history,28,19,test,-0.0035047726637920107,0.03923666031373344,1.1736862747834287
action_history,28,20,test,1.1494393492350596e-05,0.07252628075977854,1.1695736940603167
action_history,28,21,test,0.021560218710167667,0.1550227849878899,1.1443705832645026
action_history,28,22,test,0.04111679835230997,0.21751373759114015,1.1214974592565699
action_history,28,23,test,-0.00022827968574268276,0.05201800169891803,1.169854130739357
action_history,28,24,test,-0.002715499153068235,0.020345913961451776,1.1727631506371152
action_history,28,25,test,-0.003275085585941362,0.03596585670459594,1.1734176357314658
action_history,28,26,test,-0.0028146004718587747,0.03235321983131991,1.1728790582649071
action_history,28,27,test,0.029403544997986697,0.18797430672177032,1.1351971297210532
action_history,28,28,test,-0.004174342275780951,-0.009362501889691587,1.1744693947894425
action_history,28,29,test,0.0041994619192480265,0.0929130335119731,1.1646755011088568
action_history,28,30,test,-0.005127623232459744,-0.0081652857097025,1.175584339935041
action_history,28,31,test,0.018507253187615813,0.16347120694538933,1.147941292471689
action_history,28,32,test,-0.0019657520873421763,0.03834967166094817,1.1718862561124723
action_history,28,33,test,0.02682986131013443,0.17180985644552363,1.1382072770590153
action_history,28,34,test,-0.0033329934307655407,0.026120585286111254,1.1734853640019471
action_history,28,35,test,-0.0043781402780687095,-0.010442623899290914,1.1747077543116184
action_history,28,36,test,0.00032747865641635787,0.07905448120485623,1.1692041229306678
action_history,28,37,test,0.029755696115047914,0.19887851351600103,1.1347852583039921
action_history,28,38,test,-0.0002411205153938223,0.06700008247524258,1.1698691492085551
action_history,28,39,test,0.005589154670804564,0.09512667500960019,1.1630501343412047
action_history,28,40,test,0.010357984434962164,0.13291864764458225,1.1574725723869024
action_history,28,41,test,-0.004091141091639328,0.02404330323596388,1.1743720837546243
action_history,28,42,test,-0.0032697072307776853,0.04794735920996039,1.173411345276444
action_history,28,43,test,0.009629031006982647,0.10670762692482787,1.1583251469402898
action_history,28,44,test,0.011562655123586452,0.1310092076918313,1.1560636050442568
action_history,28,45,test,-0.002175486110658875,0.03788239637619014,1.1721315583284933
action_history,28,46,test,0.11635142072203541,0.3693671210798636,1.0335040126190767
action_history,28,47,test,-0.0051835113702358715,-0.007071415675411897,1.175649705982137
action_history,28,48,test,0.006198976500458642,0.10555468079518109,1.162336894572919
action_history,28,49,test,0.023588305849962854,0.16500204265870327,1.1419985586315518
action_history,28,50,test,0.02026220038982629,0.15434611114315436,1.1458887287965445
action_history,28,51,test,0.036557656929473215,0.20783532172430816,1.126829772423926
action_history,28,52,test,0.012379886586137645,0.13511395300832596,1.1551077816370883
action_history,28,53,test,-0.0044424921335075584,-0.028031103843086165,1.1747830194140303
action_history,28,54,test,0.006772540258106918,0.13111155451225598,1.1616660617792913
action_history,28,55,test,0.0173704703242179,0.1615648547510635,1.1492708590871399
action_history,28,56,test,0.016279352532035052,0.14974370188160158,1.1505470164226526
action_history,28,57,test,-0.0026260602335388405,0.037321910335584026,1.1726585440272188
action_history,28,58,test,0.0015270692644847594,0.08070727510120017,1.167801097184899
action_history,28,59,test,0.028790825700287237,0.17624502927688737,1.1359137583306966
action_history,28,60,test,-0.005369571459366673,-0.0003315695985452307,1.1758673194692337
action_history,28,61,test,-0.0036967787858863677,0.011540022842309093,1.1739108426742002
action_history,28,62,test,-0.004153446312424647,-0.014916476013513038,1.1744449551394698
action_history,28,63,test,-0.0005874258051783432,0.06711812129850153,1.1702741834212238
action_history,28,64,test,0.026972220748250786,0.17858402739660562,1.1380407752912562
action_history,28,65,test,0.014641413124103164,0.1328353071248755,1.1524627292865919
action_history,28,66,test,0.008779419307680447,0.11322437775149155,1.1593188418558797
action_history,28,67,test,0.023753834420399578,0.17981378038742965,1.141804958544638
