target,layer,validation_r2,validation_pearson_r,loto_r2,random_r2_95,contrast_sign_accuracy,response_mapping_r2,representation_gate,selected
action_history,30,0.4018667698294939,0.6368945887150753,0.4173329279140482,0.03311667544090095,1.0,0.018012150333202536,True,True
action_history,29,0.34984250760775204,0.5948062202434103,0.3754827162692237,0.047435262065769354,1.0,0.013530657927009125,True,False
action_history,28,0.33490938929350766,0.5821205928421195,0.3611867147040454,0.0417923551387355,1.0,0.013186186901958665,True,False
action_history,31,0.26302475044370266,0.520240635650071,0.27387398648617545,0.05566187893837384,1.0,0.004210278790141263,True,False
outcome_history,31,0.15076312103301692,0.40071939733364026,0.10885285664812108,0.15545902211510573,1.0,0.0016148803433107396,False,False
contextual_outcome_history,28,0.07747628853122035,0.28165048292460587,-0.04413133420314913,0.08702440464378619,1.0,0.018282545469831855,False,False
contextual_outcome_history,29,0.0666936359536191,0.2620018891254349,-0.046206224034183674,0.060343495902059674,1.0,0.013236763614743238,False,False
contextual_outcome_history,30,0.059851991773042346,0.24842366227878526,-0.053504287493395114,0.05795668492869947,1.0,0.01796346662737118,False,False
contextual_outcome_history,31,0.058713710111820916,0.24813077333557615,-0.033205885374809396,0.06500939337982387,1.0,0.009500660656637214,False,False
outcome_history,28,0.02361142212869538,0.17674751214885415,-0.06387203109005399,0.12907730921484084,1.0,0.003988500001351392,False,False
outcome_history,30,0.02314494978220072,0.17606169662310645,-0.06806304668003024,0.10610601378643736,1.0,0.008565274182416871,False,False
outcome_history,29,0.020292142791892065,0.16651230559346095,-0.07023634203631379,0.14183909231205086,1.0,0.004048474294418037,False,False
