layer,raw_r2,contextual_r2,contextual_transformation_index,baseline_contextual_r2,partial_contextual_delta_r2
0,0.016237064075141916,0.0028670824718387555,-0.01336998160330316,0.21151308978594152,0.007785352662750267
1,-0.0063668221882329235,-0.016493874985616497,-0.010127052797383573,0.21151308978594152,-0.002746322229365772
2,-0.004918701318726626,-0.013939203827593838,-0.009020502508867212,0.21151308978594152,-0.006717106859234323
3,0.035203593000995625,0.01388833487132568,-0.021315258129669945,0.21151308978594152,0.09189977686817397
4,0.24830197730286463,-0.01569023883759546,-0.2639922161404601,0.21151308978594152,0.0008064901375866018
5,0.23972673211742812,-0.013199742816846882,-0.252926474934275,0.21151308978594152,0.010130543127846448
6,0.23129293786628968,-0.012707249814146726,-0.2440001876804364,0.21151308978594152,0.0023181363264080934
7,0.12082394032042254,0.025176269268908813,-0.09564767105151373,0.21151308978594152,0.0059419189168435915
8,0.06407788668273062,0.09411198552982558,0.03003409884709496,0.21151308978594152,0.07623083602061753
9,-0.004590649891257348,0.062371823089693246,0.0669624729809506,0.21151308978594152,0.05668151705912461
10,0.021417431470548864,0.05581639867904542,0.034398967208496556,0.21151308978594152,0.02853622355738694
11,0.021458353293651644,0.0013156094795306883,-0.020142743814120956,0.21151308978594152,0.003799046571959841
12,0.05935850852381519,-0.010160329404790058,-0.06951883792860525,0.21151308978594152,0.03237980340109925
13,0.06286721257425332,-0.009525647932659753,-0.07239286050691307,0.21151308978594152,0.0659875955712963
14,0.11048171630932868,-0.009175868248169516,-0.1196575845574982,0.21151308978594152,0.03717257166685417
15,0.0740971724728755,-0.0012831458221498337,-0.07538031829502534,0.21151308978594152,0.020542991397261123
16,0.17067052758820078,0.006329595736953131,-0.16434093185124765,0.21151308978594152,0.010791126044427668
17,0.1430525887197095,0.03890192183134622,-0.10415066688836327,0.21151308978594152,-0.005358042186077161
18,0.177683968219436,0.029501389562749725,-0.14818257865668627,0.21151308978594152,-0.005816478052510288
19,0.03452521057236069,0.06446614909990389,0.029940938527543204,0.21151308978594152,0.010768640398241991
20,0.027745689394046424,0.057803405540387764,0.03005771614634134,0.21151308978594152,0.00780912853666238
21,0.03390124803924843,0.053392385567959444,0.01949113752871101,0.21151308978594152,0.002667664185544205
22,0.022680304975265075,0.07143262347245849,0.048752318497193414,0.21151308978594152,0.014772334523849517
23,0.011268519698804935,0.05428694118658972,0.043018421487784786,0.21151308978594152,0.001200987560624367
24,0.009716334502891888,0.048288388713546904,0.038572054210655016,0.21151308978594152,-0.0010267095017186811
25,0.005023461930259487,0.04818417875602543,0.043160716825765943,0.21151308978594152,-0.0010167054353863447
26,0.0035617867112235357,0.0644779753957706,0.06091618868454707,0.21151308978594152,0.007734313554720984
27,0.008943255124865934,0.03517960447579993,0.026236349350933996,0.21151308978594152,-0.003476557411375536
28,0.004971804669334334,0.043672660123892815,0.03870085545455848,0.21151308978594152,-0.003043435422311558
29,0.0018137262570430135,0.03613067901502076,0.03431695275797775,0.21151308978594152,-0.0033279195993529687
30,0.0034737132172280027,0.028550562118051737,0.025076848900823734,0.21151308978594152,-0.0029705725116431214
31,0.133829287861857,0.02413000039840507,-0.10969928746345192,0.21151308978594152,-0.0004915960550799792
