target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2
action_history,0,validation,-0.00011893953579766858,0.04804352714213688,0.972842334543776,1.0,-0.005218370289938212
action_history,0,test,-0.0014689111128072252,0.08755922128311877,1.1713051572991466,1.0,-0.0032410766761214183
action_history,0,transfer,-0.006679506932777635,0.5945209580870672,1.748993790017153,1.0,-0.006679506932777783
action_history,1,validation,0.044010107255310515,0.2287623818108625,0.9299168351812909,1.0,0.03336021956232055
action_history,1,test,0.05977559266323029,0.29288890280394825,1.0996743734244994,1.0,0.0549756114232523
action_history,1,transfer,0.10818710874341253,0.8340387573432908,1.54942580823707,1.0,0.10818710874341257
action_history,2,validation,0.02739729561257853,0.1812635029787851,0.9460765596130197,1.0,0.01943971038741149
action_history,2,test,0.04499570666933128,0.26154511694385524,1.1169607379804503,1.0,0.039066213532989086
action_history,2,transfer,0.07286621446347219,0.6373806278618117,1.6107919375046573,1.0,0.07286621446347219
action_history,3,validation,0.05399892342872259,0.2442526951659059,0.9202004475984487,1.0,0.0446944820230869
action_history,3,test,0.04998445693718567,0.25996440122761094,1.1111259598336956,1.0,0.05532888037886813
action_history,3,transfer,0.06787857479302029,0.5681632801479091,1.6194574072498817,1.0,0.06787857479302029
action_history,4,validation,0.2457828109154072,0.5013278626156125,0.7336471513304812,1.0,0.2141114883501672
action_history,4,test,0.2637280910473866,0.5251394434807947,0.861134154601372,1.0,0.2746456771520859
action_history,4,transfer,0.05848283556432454,0.7860871589000015,1.6357814601887155,1.0,0.05848283556432458
action_history,5,validation,0.22425556420740222,0.48258131072295946,0.7545872776652908,1.0,0.19490695568506414
action_history,5,test,0.24318612529262873,0.5105395091146607,0.8851597735323424,1.0,0.24512465918429316
action_history,5,transfer,-0.027320234688763323,0.6903590419687861,1.7848547610789829,1.0,-0.027320234688763507
action_history,6,validation,0.28116373508705894,0.5402536258970793,0.6992311838802078,1.0,0.24105942982053982
action_history,6,test,0.30836131886386897,0.575089393653225,0.808931705430721,1.0,0.3112247435628735
