target,layer,heldout_task,target_normalization_used,r2,pearson_r,mse,contrast_sign_accuracy
action_history,0,bandit,False,0.000870690342429703,0.059464548346220676,1.1869156009621284,1.0
action_history,0,debugging,False,0.0020070071476211426,0.0689442530209307,0.7392798656663151,1.0
action_history,0,foraging,False,-0.001047219524233256,0.06346444851744644,1.1145998046229304,1.0
action_history,0,solvability,False,-0.016881993012690888,0.8914445507724832,1.8318537928645438,1.0
action_history,1,bandit,False,-0.025252617918014808,0.36687511890284696,1.2179487833774167,1.0
action_history,1,debugging,False,0.023800934135541296,0.2684723843599931,0.723135652699527,1.0
action_history,1,foraging,False,0.04132120491911917,0.3165263020434092,1.0674253690062108,1.0
action_history,1,solvability,False,0.04803017078530092,0.9690142058017209,1.7149183035221616,1.0
action_history,2,bandit,False,-0.011455937926331261,0.33190031477429277,1.2015590182435887,1.0
action_history,2,debugging,False,-0.06983558130226886,0.2598231830939762,0.7924984548936358,1.0
action_history,2,foraging,False,0.03725456717955966,0.295108888440901,1.071953300897515,1.0
action_history,2,solvability,False,0.035720298857975674,0.9401335208953518,1.7370938221513583,1.0
action_history,3,bandit,False,0.08337288114830255,0.4868744747868722,1.0889071285506788,1.0
action_history,3,debugging,False,0.08652058620299241,0.4775328367841846,0.6766750299425074,1.0
action_history,3,foraging,False,0.0865252075859756,0.3886353747012958,1.0170937047670368,1.0
action_history,3,solvability,False,-0.5825181678677844,0.9420662744722081,2.850814477987782,1.0
action_history,4,bandit,False,0.26338676977150455,0.5199775621728444,0.875059640811614,1.0
action_history,4,debugging,False,0.3203363840673853,0.7091436096348323,0.5034720987858363,1.0
action_history,4,foraging,False,0.27856696275094284,0.8977576389333641,0.8032679245125864,1.0
action_history,4,solvability,False,0.055979067665234306,0.8905642218650551,1.7005988279107833,1.0
action_history,5,bandit,False,0.2016548473769485,0.4677898289156871,0.9483940741619816,1.0
action_history,5,debugging,False,0.25732578287383334,0.5509142807274738,0.5501482469347175,1.0
action_history,5,foraging,False,0.1976213658600997,0.7083000128643651,0.8933954876484191,1.0
action_history,5,solvability,False,0.20456818633943974,0.8678374837347186,1.432924169010273,1.0
action_history,6,bandit,False,0.18662495586965622,0.5016585262065933,0.9662488328387013,1.0
action_history,6,debugging,False,0.3206465480332047,0.6137356802480597,0.5032423396826887,1.0
action_history,6,foraging,False,0.3066508318306226,0.7939499887473556,0.7719983955845264,1.0
action_history,6,solvability,False,0.2715078750093268,0.8971412446987108,1.3123362114835495,1.0
action_history,7,bandit,False,0.1985290972943623,0.6555630764698792,0.9521073087772306,1.0
action_history,7,debugging,False,0.46772732295616004,0.9249793118720728,0.394289815661086,1.0
action_history,7,foraging,False,0.5437060000928062,0.9535947263021481,0.5080531599587164,1.0
action_history,7,solvability,False,0.5834973369143707,0.9300601648678937,0.7503053337105078,1.0
action_history,8,bandit,False,0.6974583779947268,0.8547851671235708,0.3594043009523128,1.0
action_history,8,debugging,False,0.2390383493207291,0.9588810835054832,0.5636949667186713,1.0
action_history,8,foraging,False,0.6223615482992654,0.816371263058071,0.4204754144203037,1.0
action_history,8,solvability,False,0.771073923182946,0.9645758132342761,0.4123970185178474,1.0
action_history,9,bandit,False,0.5779093097656145,0.8878256828349171,0.5014226090832701,1.0
action_history,9,debugging,False,0.6147716381753154,0.8746062586406865,0.28536429976992156,1.0
action_history,9,foraging,False,0.1859702370763784,0.6997558487948954,0.9063682481862732,1.0
action_history,9,solvability,False,-0.008782097922687582,0.8694908718072129,1.8172623027561707,1.0
action_history,10,bandit,False,0.3237283002772031,0.8685615664776095,0.8033769234187151,1.0
action_history,10,debugging,False,-0.01901032096898292,0.7411772545247167,0.754848800135784,1.0
action_history,10,foraging,False,-0.03314998837941863,0.4013051509906098,1.150344112379812,1.0
action_history,10,solvability,False,0.34991132088406285,0.8755505941204976,1.1710969618103648,1.0
action_history,11,bandit,False,0.13329832140583142,0.7802123078841319,1.0295982049170873,1.0
action_history,11,debugging,False,-0.38243268861016455,0.4012956938953201,1.0240599479636008,1.0
action_history,11,foraging,False,-0.03731274827792319,0.33641090396697665,1.1549790699313351,1.0
action_history,11,solvability,False,0.12916205590951613,0.7572035698287987,1.5687639291618427,1.0
action_history,12,bandit,False,0.1301997238201179,0.6937077633266022,1.0332791837253734,1.0
action_history,12,debugging,False,-0.8602941455136004,0.4041836527806954,1.37804374965041,1.0
action_history,12,foraging,False,0.09831183335116134,0.3790346593452623,1.003970077310898,1.0
action_history,12,solvability,False,0.13137673112612658,0.7064509714459096,1.564774320511687,1.0
action_history,13,bandit,False,0.12974810033518525,0.4171315488856282,1.0338156898160726,1.0
action_history,13,debugging,False,-0.03898849916371927,0.7834460396246152,0.7696479670616456,1.0
action_history,13,foraging,False,0.13975691504725096,0.6512615915688504,0.9578237227133617,1.0
action_history,13,solvability,False,0.02027596740924975,0.5326410916108961,1.7649158873831228,1.0
action_history,14,bandit,False,0.1034250293073079,0.34544087569086857,1.0650861803984477,1.0
action_history,14,debugging,False,0.004729207874385022,0.6315413599955796,0.737263350317999,1.0
action_history,14,foraging,False,0.11311884607872047,0.6603559936509672,0.9874834489368333,1.0
action_history,14,solvability,False,0.04619717498587139,0.4390347311845448,1.7182203388916166,1.0
action_history,15,bandit,False,0.15183840470541443,0.3995559965005889,1.007573514120103,1.0
action_history,15,debugging,False,0.02019526854815079,0.5508110390596692,0.7258066092995981,1.0
action_history,15,foraging,False,0.12876267491636406,0.5811484204741428,0.9700650812255888,1.0
action_history,15,solvability,False,0.04089200249022007,0.3708627120413639,1.727777298720522,1.0
action_history,16,bandit,False,0.1402580412507386,0.379411557134927,1.0213304061623123,1.0
action_history,16,debugging,False,-0.005412274689014396,0.43705971899416657,0.7447758217690247,1.0
action_history,16,foraging,False,0.11864985243911286,0.565713656000014,0.9813250395347359,1.0
action_history,16,solvability,False,0.05355374797274437,0.3175286637619579,1.7049679003381886,1.0
action_history,17,bandit,False,0.14722270918135494,0.4013179381910421,1.0130567293294284,1.0
action_history,17,debugging,False,0.04383821465806881,0.436828392573026,0.7082927047438758,1.0
action_history,17,foraging,False,0.13396771748609848,0.7200319320406057,0.9642696109239607,1.0
action_history,17,solvability,False,0.00252707009662545,0.312894556523192,1.796889494040241,1.0
action_history,18,bandit,False,0.16811981512796215,0.4470115313490827,0.9882320136262255,1.0
action_history,18,debugging,False,-0.10013866337270083,0.5842995408159561,0.8149459656504753,1.0
action_history,18,foraging,False,0.15560265952303776,0.6983152680546857,0.9401805353068666,1.0
action_history,18,solvability,False,0.04984493507305732,0.3511002459369052,1.7116491111610768,1.0
action_history,19,bandit,False,0.26958934785577005,0.5571599719167326,0.867691288564072,1.0
action_history,19,debugging,False,0.24613571490608477,0.5877853376505345,0.5584374754195288,1.0
action_history,19,foraging,False,0.18840976231218953,0.5397682664844262,0.9036519983449319,1.0
action_history,19,solvability,False,0.08192539126561571,0.3694468028932437,1.6538580343626212,1.0
action_history,20,bandit,False,0.24128068683895743,0.519542498675025,0.9013205606497031,1.0
action_history,20,debugging,False,0.2509055612542165,0.5571900083043054,0.5549041326077548,1.0
action_history,20,foraging,False,0.17355819653282167,0.5088744371618007,0.9201882335925513,1.0
action_history,20,solvability,False,0.05648068023348618,0.2967573305534361,1.699695202030873,1.0
action_history,21,bandit,False,0.239775605771953,0.513237109534943,0.9031085216091835,1.0
action_history,21,debugging,False,0.26242662039862974,0.5567227565827981,0.546369716917849,1.0
