target,layer,control,shared_variance
action_history,17,continuation_cost,0.00020722774048946146
action_history,17,response_mapping_sign,0.0012609664230569403
action_history,17,task_identity,0.5986515383112054
action_history,18,persistence_logit,0.060551496642482945
action_history,18,success_evidence,0.0069929937262615165
action_history,18,continuation_value,0.002043261736665296
action_history,18,disengagement_value,6.139550512536349e-07
action_history,18,continuation_cost,0.0006837068261052685
action_history,18,response_mapping_sign,9.465134748604712e-07
action_history,18,task_identity,0.6246249097795449
action_history,19,persistence_logit,0.48929525278456004
action_history,19,success_evidence,0.09403377059202479
action_history,19,continuation_value,0.03516016469771948
action_history,19,disengagement_value,0.06083537910099339
action_history,19,continuation_cost,0.00195059483265485
action_history,19,response_mapping_sign,0.007936441125485548
action_history,19,task_identity,0.34013646590113944
action_history,20,persistence_logit,0.558659048832294
action_history,20,success_evidence,0.15812531115610137
action_history,20,continuation_value,0.043529310909527094
action_history,20,disengagement_value,0.06942284920261801
action_history,20,continuation_cost,0.002174021252726226
action_history,20,response_mapping_sign,0.008487780954926825
action_history,20,task_identity,0.2302397314446407
action_history,21,persistence_logit,0.5872633372625397
action_history,21,success_evidence,0.16843224503303966
action_history,21,continuation_value,0.04536737082488416
action_history,21,disengagement_value,0.08971883231275848
action_history,21,continuation_cost,0.0022285256730044576
action_history,21,response_mapping_sign,0.004595926148300171
action_history,21,task_identity,0.17898019859712452
action_history,22,persistence_logit,0.5290998373144488
action_history,22,success_evidence,0.22460836349042446
action_history,22,continuation_value,0.05010715549806973
action_history,22,disengagement_value,0.06998352882821836
action_history,22,continuation_cost,0.004424450407238208
action_history,22,response_mapping_sign,0.02564887874429964
action_history,22,task_identity,0.14857888699793764
action_history,23,persistence_logit,0.6397093147083575
action_history,23,success_evidence,0.19618408043951993
action_history,23,continuation_value,0.039466430405777485
action_history,23,disengagement_value,0.05857831007327975
action_history,23,continuation_cost,0.002448941189029165
action_history,23,response_mapping_sign,0.0031347578636289706
action_history,23,task_identity,0.11915394075175281
action_history,24,persistence_logit,0.6193361595826855
action_history,24,success_evidence,0.18053788213314087
action_history,24,continuation_value,0.03772676266879572
action_history,24,disengagement_value,0.06089457779973177
action_history,24,continuation_cost,0.0017693606965894823
action_history,24,response_mapping_sign,0.0018474790695615546
action_history,24,task_identity,0.136013463846181
action_history,25,persistence_logit,0.6111624846836
action_history,25,success_evidence,0.1898752036191164
action_history,25,continuation_value,0.03838503707181455
action_history,25,disengagement_value,0.06376159854079169
action_history,25,continuation_cost,0.0020022278402895477
action_history,25,response_mapping_sign,0.005138566957407249
action_history,25,task_identity,0.12231790724017366
action_history,26,persistence_logit,0.2514894788638395
action_history,26,success_evidence,0.14428787240958818
action_history,26,continuation_value,0.02902022404068839
action_history,26,disengagement_value,0.05935387960351239
action_history,26,continuation_cost,0.003355367829455135
action_history,26,response_mapping_sign,0.017565967964710487
action_history,26,task_identity,0.14891492201773454
action_history,27,persistence_logit,0.48055351218755754
action_history,27,success_evidence,0.14525033157908582
action_history,27,continuation_value,0.03313071365399122
action_history,27,disengagement_value,0.0691271389861262
action_history,27,continuation_cost,0.000551949352263343
action_history,27,response_mapping_sign,0.007437855880492805
action_history,27,task_identity,0.03555569908030764
action_history,28,persistence_logit,0.4507589589010788
action_history,28,success_evidence,0.14659853091409036
action_history,28,continuation_value,0.03266218289455926
action_history,28,disengagement_value,0.06990575415606252
action_history,28,continuation_cost,0.0005335335852991807
action_history,28,response_mapping_sign,0.013186186901958665
action_history,28,task_identity,0.03909804833805225
action_history,29,persistence_logit,0.4330524498662505
action_history,29,success_evidence,0.14382011761118016
action_history,29,continuation_value,0.031228132069959932
action_history,29,disengagement_value,0.06402213504751042
action_history,29,continuation_cost,0.0005915983929575875
action_history,29,response_mapping_sign,0.013530657927009125
action_history,29,task_identity,0.040575841699811675
action_history,30,persistence_logit,0.32931440663383776
action_history,30,success_evidence,0.1358531858073686
action_history,30,continuation_value,0.02968845576705173
action_history,30,disengagement_value,0.059707004957174854
action_history,30,continuation_cost,0.0007634832592783469
action_history,30,response_mapping_sign,0.018012150333202536
action_history,30,task_identity,0.060603778064254876
action_history,31,persistence_logit,0.1642511529181746
action_history,31,success_evidence,0.11947532132077103
action_history,31,continuation_value,0.019876802327436483
action_history,31,disengagement_value,0.06982158917820293
action_history,31,continuation_cost,0.000989844234198298
action_history,31,response_mapping_sign,0.004210278790141263
action_history,31,task_identity,0.10388441441439894
contextual_outcome_history,0,persistence_logit,0.012887317355356328
contextual_outcome_history,0,success_evidence,0.0005638198422878253
contextual_outcome_history,0,continuation_value,0.0014444562653800157
contextual_outcome_history,0,disengagement_value,0.016497729660956247
contextual_outcome_history,0,continuation_cost,0.010378952628301241
contextual_outcome_history,0,response_mapping_sign,1.7962204765164794e-05
contextual_outcome_history,0,task_identity,0.7531026448032991
contextual_outcome_history,1,persistence_logit,0.005910164338507529
contextual_outcome_history,1,success_evidence,6.114302765630983e-06
contextual_outcome_history,1,continuation_value,0.005811317329687673
contextual_outcome_history,1,disengagement_value,0.0033943174534263303
contextual_outcome_history,1,continuation_cost,0.0019419664538082107
contextual_outcome_history,1,response_mapping_sign,1.6677317464985567e-05
contextual_outcome_history,1,task_identity,0.7623697990670993
contextual_outcome_history,2,persistence_logit,0.0002213780252521753
contextual_outcome_history,2,success_evidence,3.339565312644694e-05
contextual_outcome_history,2,continuation_value,0.007564447829536198
contextual_outcome_history,2,disengagement_value,0.003811523557968309
contextual_outcome_history,2,continuation_cost,0.003369596350488215
contextual_outcome_history,2,response_mapping_sign,0.0007466153889399611
contextual_outcome_history,2,task_identity,0.6243266540416508
contextual_outcome_history,3,persistence_logit,0.03585299158019827
contextual_outcome_history,3,success_evidence,0.0008900778059468089
contextual_outcome_history,3,continuation_value,0.00482197289645721
contextual_outcome_history,3,disengagement_value,0.0006594948313460173
contextual_outcome_history,3,continuation_cost,0.0008654424938183634
contextual_outcome_history,3,response_mapping_sign,4.256331927161092e-05
contextual_outcome_history,3,task_identity,0.45668099783565097
contextual_outcome_history,4,persistence_logit,0.025829024406454695
contextual_outcome_history,4,success_evidence,0.0008535702356323568
contextual_outcome_history,4,continuation_value,0.0038127961200544514
contextual_outcome_history,4,disengagement_value,0.0010280638271934117
contextual_outcome_history,4,continuation_cost,0.00027219570546681515
contextual_outcome_history,4,response_mapping_sign,0.0017417361116991792
contextual_outcome_history,4,task_identity,0.8908965063739532
contextual_outcome_history,5,persistence_logit,0.03445375366253836
contextual_outcome_history,5,success_evidence,0.0010697479970053485
contextual_outcome_history,5,continuation_value,0.002993536873589701
contextual_outcome_history,5,disengagement_value,0.002520089972573902
contextual_outcome_history,5,continuation_cost,4.1004017390726475e-05
contextual_outcome_history,5,response_mapping_sign,0.004276253903613898
contextual_outcome_history,5,task_identity,0.8754085187743161
contextual_outcome_history,6,persistence_logit,0.04641498291104398
contextual_outcome_history,6,success_evidence,0.0012896913711835341
contextual_outcome_history,6,continuation_value,0.002762333703283529
contextual_outcome_history,6,disengagement_value,0.003073823866225798
contextual_outcome_history,6,continuation_cost,6.713218925282356e-05
contextual_outcome_history,6,response_mapping_sign,0.0042995813533454885
contextual_outcome_history,6,task_identity,0.8565359503027855
contextual_outcome_history,7,persistence_logit,0.10284849207699198
contextual_outcome_history,7,success_evidence,0.0015233395062654992
contextual_outcome_history,7,continuation_value,0.0018331669270274591
contextual_outcome_history,7,disengagement_value,0.001922761895718996
contextual_outcome_history,7,continuation_cost,0.00017049399183126742
contextual_outcome_history,7,response_mapping_sign,0.001619262531682274
contextual_outcome_history,7,task_identity,0.7937841233454139
contextual_outcome_history,8,persistence_logit,0.04321406987728448
contextual_outcome_history,8,success_evidence,0.002257129618766742
contextual_outcome_history,8,continuation_value,0.002457372217371105
contextual_outcome_history,8,disengagement_value,0.002631155897640524
contextual_outcome_history,8,continuation_cost,0.000649175255530281
contextual_outcome_history,8,response_mapping_sign,0.013487461934336623
contextual_outcome_history,8,task_identity,0.6665889531529707
contextual_outcome_history,9,persistence_logit,0.008879982303136946
contextual_outcome_history,9,success_evidence,0.0021203217107226696
contextual_outcome_history,9,continuation_value,0.0012676550270843035
contextual_outcome_history,9,disengagement_value,0.0017411307795397579
