layer,target_variable,theory,pair_split,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
0,contextual_outcome_history,dual_history,mech_pair_test,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
0,contextual_outcome_history,dual_history,mech_pair_train,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
0,contextual_outcome_history,dual_history,mech_pair_validation,,,0.0,-0.0069444444444444415,0.08838834764831845,0.5,18,0.1,0,0.0,,,
0,contextual_outcome_history,dual_history,mech_task_holdout,0.05388691176677651,0.427644672533064,0.0686930549155315,-0.032149950895479194,0.6810435368643474,0.16666666666666666,18,0.1,12,0.6666666666666666,1.963852125363985e-08,1.0402221195526806e-08,0.05968119915164474
0,contextual_outcome_history,latent_context,mech_pair_test,-0.012792762248595713,0.09224062387764045,0.019894413983382587,-0.02812728071047457,1.097211109993452,0.05555555555555555,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.3090777878366211e-08
0,contextual_outcome_history,latent_context,mech_pair_train,-0.01262476020951353,0.10023810348995103,0.0226079123285781,-0.03131431213468842,1.1079230706636962,0.05555555555555555,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.1960954338086083e-08
0,contextual_outcome_history,latent_context,mech_pair_validation,-0.0053738209963121175,0.4029283720741646,0.155187953779134,-0.17335329154409126,1.099381429243955,0.2222222222222222,18,0.1,18,1.0,8.418975794288741e-09,-0.21650754914457013,1.3044431229625175e-08
0,contextual_outcome_history,latent_context,mech_task_holdout,0.02999411764054083,0.43590395336150634,0.108494360619351,-0.08151576507860017,0.843831571939762,0.16666666666666666,18,0.1,18,1.0,1.2307144525713909e-08,9.436527448336562e-09,4.7533242897301875e-08
0,contextual_outcome_history,outcome_history,mech_pair_test,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
0,contextual_outcome_history,outcome_history,mech_pair_train,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
0,contextual_outcome_history,outcome_history,mech_pair_validation,,,0.0,-0.0069444444444444415,0.08838834764831845,0.5,18,0.1,0,0.0,,,
0,contextual_outcome_history,outcome_history,mech_task_holdout,0.053223050415925455,0.4318575996330971,0.06917750857171444,-0.0332521706465469,0.6913993159334434,0.16666666666666666,18,0.1,12,0.6666666666666666,1.9274847495864833e-08,1.0047554455105967e-08,0.05872362199044048
0,outcome_history,dual_history,mech_pair_test,-0.025282318640565293,0.46663684485431284,0.11666268750617531,-0.1545365304938768,1.19373005463195,0.08333333333333333,24,0.1,24,1.0,5.832357707902247e-09,-0.042934572504519986,1.2672469518193452e-08
0,outcome_history,dual_history,mech_pair_train,-0.01818898538682534,-0.23611806797371923,-0.05750214858327811,0.06069295244647469,1.189593524969337,0.125,24,0.1,24,1.0,5.832357707902247e-09,4.352686655550997e-09,1.2801223331360134e-08
0,outcome_history,dual_history,mech_pair_validation,0.03673982205217363,0.05340625339472747,0.012372411979898221,0.00896344823701836,1.1221915736965409,0.22727272727272727,22,0.1,22,1.0,1.2929977144526816e-08,5.832357707902247e-09,1.318748477086018e-08
0,outcome_history,dual_history,mech_task_holdout,-0.02290280837336267,-0.10225329865100417,-0.018093557551321148,0.010297353828371898,0.7081422981766667,0.16666666666666666,18,0.1,12,0.6666666666666666,1.502037122458333e-08,-0.06780790667340272,1.963852125363985e-08
0,outcome_history,latent_context,mech_pair_test,-0.02280447336490954,0.4586196985638884,0.10038833092074034,-0.14199386990341378,1.2616601688488072,0.08333333333333333,24,0.1,24,1.0,5.997638941046546e-09,-0.037261748271081,1.1246190811942114e-08
0,outcome_history,latent_context,mech_pair_train,-0.014186458132589008,-0.11253427834216992,-0.02472103802848026,0.024392385514287,1.2447043379674292,0.125,24,0.1,24,1.0,6.332528723618225e-09,3.616218213764455e-09,1.2393539527977282e-08
0,outcome_history,latent_context,mech_pair_validation,0.03867491282495927,0.14612959794571165,0.0312471831793702,-0.012333757030215648,1.1353618808450732,0.22727272727272727,22,0.1,22,1.0,1.1475677685890417e-08,6.667418506189904e-09,1.7357050019484177e-08
0,outcome_history,latent_context,mech_task_holdout,-0.014328110520740012,-0.03883096197992566,-0.006370063589702338,0.0037255597942202814,0.7370666833507288,0.16666666666666666,18,0.1,13,0.7222222222222222,1.2307144525713909e-08,8.47965508921078e-09,2.496680984176436e-08
0,outcome_history,outcome_history,mech_pair_test,-0.02554823986601562,0.4667912606682955,0.11843242484944802,-0.15615418345524112,1.189516958854105,0.08333333333333333,24,0.1,24,1.0,5.903684652253105e-09,-0.04315650867306817,1.2626712120322736e-08
0,outcome_history,outcome_history,mech_pair_train,-0.01823156542202864,-0.23717169509686292,-0.058615525657804174,0.061765747223065263,1.1852661167949385,0.125,24,0.1,24,1.0,5.903684652253105e-09,4.3960713957957864e-09,1.276723407550584e-08
0,outcome_history,outcome_history,mech_pair_validation,0.03688794295164621,0.0543045356096426,0.012776500702000114,0.008553527044397541,1.1182307595451817,0.22727272727272727,22,0.1,22,1.0,1.2907756030688944e-08,5.903684652253105e-09,1.3188799941055152e-08
0,outcome_history,outcome_history,mech_task_holdout,-0.021804441792075302,-0.09826622052826675,-0.01733985563867849,0.010075579725724752,0.7182721054324336,0.16666666666666666,18,0.1,12,0.6666666666666666,1.46612009754854e-08,-0.06657324685826296,1.9274847495864833e-08
