artifact_id,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_valid,bootstrap_samples,confidence,resampling_unit,stratified_by
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_source,intercept,-1.1044822945114385,-2.802163678732991,0.5855060639793,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_source,rmse,0.8930997914828569,0.3957971322661066,1.2373017505866393,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_source,sign_accuracy,0.7222222222222222,0.47368421052631576,0.9444444444444444,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_target,global_cfr,0.9294852376052601,0.9114168009464333,0.9503001941651619,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_target,correlation,0.2979555260869622,-0.0010073045363500433,0.670274202966666,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_target,slope,0.2531281325091858,-0.0007615807439312986,0.5631439735001436,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_target,intercept,0.6686911015749364,0.26096393439763005,1.0143274468567016,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_target,rmse,0.28890403714974594,0.23518576859118387,0.3339993611122049,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,shuffled_target,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,global_cfr,0.5679641918001135,0.5374274077602226,0.600457805164714,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,correlation,0.08290476862598428,-0.17526414993322809,0.3318207247496935,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,slope,0.04482007849595012,-0.10325146500720783,0.1696028589794601,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,intercept,0.34811057130559236,0.19083385654215615,0.5304707045694796,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,rmse,0.7166214011827676,0.6726231027092411,0.7543774734059121,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,global_cfr,0.6036906472482026,0.5671714819282804,0.6369207358792279,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,correlation,0.16279254064493734,-0.09254653670218993,0.5156451917781077,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,slope,0.08255422329597385,-0.05172443193382569,0.2199206914935834,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,intercept,0.33571042720011046,0.17124088839417742,0.4801983667657265,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,rmse,0.6863522516367174,0.6388318297362474,0.7294358596895529,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,candidate,global_cfr,0.9301290076517662,0.9128865929224853,0.9529528189710011,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,candidate,correlation,0.30208446578576115,-0.020459659711894344,0.6713962588522951,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,candidate,slope,0.25891791816049325,-0.014606358038906449,0.58242835131808,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,candidate,intercept,0.6618137761526273,0.24141042454795963,1.0257826271424908,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,candidate,rmse,0.2881896354464604,0.22778121035832047,0.3295099206055661,2000,2000,0.95,contrast_id,task_family
das_000_contextual_outcome_history_latent_context_L30_r8,candidate,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,generic_value,global_cfr,0.09208627463667884,0.043741341031360306,0.14119500149581835,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,generic_value,correlation,0.19475602998072492,-0.09635351829920566,0.4636196348750511,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,generic_value,slope,0.07619494573930367,-0.03782366407532984,0.18094821020470284,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,generic_value,intercept,-0.03003280759833572,-0.15790119750899975,0.11035771266307591,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,generic_value,rmse,1.123328261006165,1.0852993580859323,1.165264042709372,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,generic_value,sign_accuracy,0.4583333333333333,0.36,0.5652173913043478,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_output,global_cfr,0.4847109998758877,0.4318868693934665,0.5391084016085551,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_output,correlation,0.6210979685680089,0.4100645553686402,0.8039802544792646,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_output,slope,0.3517228632488971,0.19558312515264126,0.5106264237540147,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_output,intercept,-0.07497278847113271,-0.27534737631261114,0.12449407396246565,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_output,rmse,0.84627172378091,0.797579921320522,0.8936308894328879,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_output,sign_accuracy,0.9583333333333334,0.88,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_state,global_cfr,0.2638024359691217,0.2094084865561996,0.31926856054534214,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_state,correlation,0.18168461243750408,-0.04107056536037345,0.38570722944168884,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_state,slope,0.1805249198101028,-0.040498677262018015,0.3808936656162078,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_state,intercept,-0.008976895120034143,-0.28499235058057115,0.29488851174456915,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_state,rmse,1.011536555967965,0.97247961708425,1.0595143447587814,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,persistence_state,sign_accuracy,0.5833333333333334,0.4782608695652174,0.6818181818181818,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,response_mapping,global_cfr,0.673445987483529,0.5877720799692376,0.7626727277436615,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,response_mapping,correlation,0.6829894096148915,0.47174435653941205,0.8701356169354729,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,response_mapping,slope,0.701673359790081,0.38386350379997997,1.026663110693816,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,response_mapping,intercept,-0.2937476601781793,-0.6842372288009905,0.10189742262270754,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,response_mapping,rmse,0.6736928010356943,0.5757218522018669,0.7608714529561984,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,response_mapping,sign_accuracy,0.9583333333333334,0.8636363636363636,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,task_id,global_cfr,-0.004620734628374201,-0.058891421319176636,0.05937261176939094,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,task_id,correlation,0.0019792740913758987,-0.44390657543559925,0.5148444833438047,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,task_id,slope,0.0005778407647677207,-0.1263527540332374,0.13641832075371055,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,task_id,intercept,-0.0006622439389204727,-0.13555011725325575,0.13874572947555877,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,task_id,rmse,1.181640759329617,1.1393794558509294,1.2237966752831133,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,task_id,sign_accuracy,0.20833333333333334,0.07692307692307693,0.38095238095238093,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_source,global_cfr,0.6032220811146758,0.16266869389535296,0.9431280878064895,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_source,correlation,0.5763646796151602,0.4126360911287134,0.7506847910088125,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_source,slope,1.7575337666696351,0.6137401869180995,2.9221935281198794,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_source,intercept,-1.050708894026992,-2.649020532688435,0.510966765660241,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_source,rmse,0.7426054666422712,0.2837763723373597,1.0620512900031276,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_source,sign_accuracy,0.875,0.72,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_target,global_cfr,0.9682648384627147,0.9425071204190578,0.9866420147130144,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_target,correlation,0.8564300106887595,0.791934643691814,0.9368790962805822,2000,2000,0.95,contrast_id,task_family
