split,retained,total,frozen,random_max,p,direct_DAS_75001,ridge_persistence_rank2,pca_rank2,output_rank2
mech_pair_test,103,128,0.8113888888888889,0.0872222222222222,0.01,0.8238888888888889,0.17083333333333328,0.17333333333333334,0.6544444444444444
mech_task_holdout,59,96,0.8276699029126213,0.054611650485436924,0.01,0.845873786407767,0.17597087378640774,0.18810679611650483,0.6966019417475728
