pair_split,method,median,max
mech_pair_test,direct_DAS_75001,0.007831918904921006,0.11899200737960244
mech_pair_test,frozen,0.0,0.0
mech_pair_test,output_rank2,0.009219189657387284,0.09045761641700079
mech_pair_test,pca_rank2,0.00830913955565878,0.12675656008856093
mech_pair_test,random_000,0.008030002983141679,0.14071669803314632
mech_pair_test,random_001,0.010931113893650379,0.14556864101104344
mech_pair_test,random_002,0.008863407421056697,0.05368188287935186
mech_pair_test,random_003,0.009914497632102545,0.12398871267612468
mech_pair_test,random_004,0.008198408799200158,0.13149610553925237
mech_pair_test,random_005,0.006450818866548965,0.1405547541202952
mech_pair_test,random_006,0.00884528219696197,0.08194193750092203
mech_pair_test,random_007,0.008934808087152569,0.131227402928746
mech_pair_test,random_008,0.00712784564144152,0.159226919353721
mech_pair_test,random_009,0.007630086127145117,0.11582280027812604
mech_pair_test,random_010,0.007171871884426112,0.08813955499434716
mech_pair_test,random_011,0.006633965804202544,0.06308185500725229
mech_pair_test,random_012,0.008400092498802858,0.20134184706924366
mech_pair_test,random_013,0.006955005823488257,0.09915187983602106
mech_pair_test,random_014,0.004224789604369304,0.11471286266528187
mech_pair_test,random_015,0.007986056676142321,0.11499480515724936
mech_pair_test,random_016,0.006785374061708978,0.16054764872127633
mech_pair_test,random_017,0.007715050217759874,0.08545302417646365
mech_pair_test,random_018,0.00928386606801199,0.13944613650842652
mech_pair_test,random_019,0.0076603534627763745,0.16504945015863992
mech_pair_test,random_020,0.007869308954190794,0.12372096844419883
mech_pair_test,random_021,0.008637847508353075,0.07088767472609436
mech_pair_test,random_022,0.009673836177003434,0.15078215690859043
mech_pair_test,random_023,0.006467114607838099,0.14362238236872615
mech_pair_test,random_024,0.00872269838972076,0.1376862951065459
mech_pair_test,random_025,0.007754455520771149,0.12007923285352014
mech_pair_test,random_026,0.0102492626436303,0.08414756059664014
mech_pair_test,random_027,0.009340720191888554,0.1562830669944365
mech_pair_test,random_028,0.0062343481315049005,0.08308634528039131
mech_pair_test,random_029,0.007261794122230413,0.10425330698114635
mech_pair_test,random_030,0.007397537078866645,0.09159525889199495
mech_pair_test,random_031,0.009415468513194159,0.0954362883423087
mech_pair_test,random_032,0.007895678553053941,0.1160290891286478
mech_pair_test,random_033,0.0085961640706931,0.06679654611193257
mech_pair_test,random_034,0.0063744090608010605,0.05482419110729678
mech_pair_test,random_035,0.008880627119694718,0.10664153846101199
mech_pair_test,random_036,0.005447275997192438,0.13566685396503325
mech_pair_test,random_037,0.009346110337268038,0.14825486609120425
mech_pair_test,random_038,0.010298249615586771,0.10933363818301
mech_pair_test,random_039,0.006374760866989931,0.18241149946345173
mech_pair_test,random_040,0.007836612234581977,0.20985610372338753
mech_pair_test,random_041,0.008039828898229634,0.1529912698651412
mech_pair_test,random_042,0.0072411631639940025,0.08635702726743792
mech_pair_test,random_043,0.00688037729754931,0.129411006045843
mech_pair_test,random_044,0.008025383577230106,0.07795169567186482
