split,method,endpoint,low,high
mech_pair_test,direct_DAS_75001,natural_effect,0.765410881472476,0.8497979244711589
mech_pair_test,direct_DAS_75001,original_prediction,-0.42987659324003036,0.034341009145031035
mech_pair_test,direct_DAS_75001,global_prediction,0.10578440657376065,0.42305296181592367
mech_pair_test,direct_DAS_75001,task_prediction,0.1656891235193734,0.4691963650758952
mech_pair_test,frozen,natural_effect,0.7361428044706778,0.8370303657687893
mech_pair_test,frozen,original_prediction,0.10135674853490051,0.38553027639585463
mech_pair_test,frozen,global_prediction,0.3651317168515564,0.596583616319928
mech_pair_test,frozen,task_prediction,0.4005554017129506,0.6349849216227746
mech_pair_test,output_rank2,natural_effect,0.6103102677983925,0.6566428547213159
mech_pair_test,output_rank2,original_prediction,0.3787408999491518,0.6400336721003663
mech_pair_test,output_rank2,global_prediction,0.42293132554744506,0.6580425654474386
mech_pair_test,output_rank2,task_prediction,0.4431762545152798,0.6709225527898592
mech_pair_test,pca_rank2,natural_effect,0.12228446953088666,0.18782519615933874
mech_pair_test,pca_rank2,original_prediction,0.025387887901489093,0.19144825207954227
mech_pair_test,pca_rank2,global_prediction,0.05266663321718067,0.18338680868851365
mech_pair_test,pca_rank2,task_prediction,0.061459988102425436,0.18968996422851958
mech_pair_test,ridge_persistence_rank2,natural_effect,0.13120381565829728,0.19264247618689204
mech_pair_test,ridge_persistence_rank2,original_prediction,0.08102994866720713,0.21978911811872728
mech_pair_test,ridge_persistence_rank2,global_prediction,0.08545526097994496,0.1957713832553578
mech_pair_test,ridge_persistence_rank2,task_prediction,0.0931436346721835,0.20218450146792866
mech_task_holdout,direct_DAS_75001,natural_effect,0.7911154968107861,0.8600221364109952
mech_task_holdout,direct_DAS_75001,original_prediction,-2.1937652604291045,-0.9203376004053273
mech_task_holdout,direct_DAS_75001,global_prediction,-1.0767555296653313,-0.17961980250896398
mech_task_holdout,direct_DAS_75001,task_prediction,-1.2629358514262925,-0.2955246390522183
mech_task_holdout,frozen,natural_effect,0.7898767449097537,0.8351421493258819
mech_task_holdout,frozen,original_prediction,-0.8853371781468133,-0.05874196114051461
mech_task_holdout,frozen,global_prediction,-0.2853806585021583,0.2914180802493745
mech_task_holdout,frozen,task_prediction,-0.3822662384268034,0.2406882186031923
mech_task_holdout,output_rank2,natural_effect,0.6436135522664199,0.7137415470916634
mech_task_holdout,output_rank2,original_prediction,-0.3844031602322188,0.2392225947255491
mech_task_holdout,output_rank2,global_prediction,-0.09740335647447178,0.3664182836465608
mech_task_holdout,output_rank2,task_prediction,-0.14264539363995762,0.34966873682357225
mech_task_holdout,pca_rank2,natural_effect,0.10888417608937619,0.26717557251908397
mech_task_holdout,pca_rank2,original_prediction,-0.2597367033756531,0.04955334811743819
mech_task_holdout,pca_rank2,global_prediction,-0.1490636071656845,0.08100108128949841
mech_task_holdout,pca_rank2,task_prediction,-0.16722100641561277,0.07839711785859559
mech_task_holdout,ridge_persistence_rank2,natural_effect,0.1492081420700191,0.22896631155966726
mech_task_holdout,ridge_persistence_rank2,original_prediction,-0.16044442005116988,0.07609591422765814
mech_task_holdout,ridge_persistence_rank2,global_prediction,-0.082711340115033,0.09457599371968683
mech_task_holdout,ridge_persistence_rank2,task_prediction,-0.09555640686059153,0.0929974531554485
