split,method,endpoint,n,recovery
mech_pair_test,random_019,original_prediction,128,0.004530125221002712
mech_pair_test,random_019,global_prediction,128,0.014169517621545946
mech_pair_test,random_019,task_prediction,128,0.01917566361562717
mech_pair_test,random_020,natural_effect,128,-0.024518388791593626
mech_pair_test,random_020,original_prediction,128,-0.07978692332482162
mech_pair_test,random_020,global_prediction,128,-0.05543371583208456
mech_pair_test,random_020,task_prediction,128,-0.04977833791360875
mech_pair_test,random_021,natural_effect,128,0.027020265198899218
mech_pair_test,random_021,original_prediction,128,-0.007278970381394245
mech_pair_test,random_021,global_prediction,128,0.002532662709523459
mech_pair_test,random_021,task_prediction,128,0.009174561154888128
mech_pair_test,random_022,natural_effect,128,0.03227420565424066
mech_pair_test,random_022,original_prediction,128,-0.02147768677131867
mech_pair_test,random_022,global_prediction,128,-0.009270434331361654
mech_pair_test,random_022,task_prediction,128,-0.0016952507302709918
mech_pair_test,random_023,natural_effect,128,0.012509382036527406
mech_pair_test,random_023,original_prediction,128,-0.014766299433982333
mech_pair_test,random_023,global_prediction,128,-0.0051500027730140285
mech_pair_test,random_023,task_prediction,128,-0.0019680746654386905
mech_pair_test,random_024,natural_effect,128,0.008506379784838591
mech_pair_test,random_024,original_prediction,128,-0.03697473749614044
mech_pair_test,random_024,global_prediction,128,-0.020372561792745936
mech_pair_test,random_024,task_prediction,128,-0.014463222116166907
mech_pair_test,random_025,natural_effect,128,0.0440330247685764
mech_pair_test,random_025,original_prediction,128,-0.013729124103748047
mech_pair_test,random_025,global_prediction,128,-0.00016727344591616067
mech_pair_test,random_025,task_prediction,128,0.006871446595346331
mech_pair_test,random_026,natural_effect,128,0.027020265198899218
mech_pair_test,random_026,original_prediction,128,0.014623679889137264
mech_pair_test,random_026,global_prediction,128,0.019591480626162894
mech_pair_test,random_026,task_prediction,128,0.023328670441365884
mech_pair_test,random_027,natural_effect,128,-0.014510883162371702
mech_pair_test,random_027,original_prediction,128,-0.07313235570415522
mech_pair_test,random_027,global_prediction,128,-0.051878251908768824
mech_pair_test,random_027,task_prediction,128,-0.04752436449886743
mech_pair_test,random_028,natural_effect,128,-0.01050788091068311
mech_pair_test,random_028,original_prediction,128,-0.07186784596481233
mech_pair_test,random_028,global_prediction,128,-0.050180298650212896
mech_pair_test,random_028,task_prediction,128,-0.04662314996298189
mech_pair_test,random_029,natural_effect,128,0.023017262947210404
mech_pair_test,random_029,original_prediction,128,0.0034123780048315178
mech_pair_test,random_029,global_prediction,128,0.010335661400876273
mech_pair_test,random_029,task_prediction,128,0.014005364605616966
mech_pair_test,random_030,natural_effect,128,0.011758819114335739
mech_pair_test,random_030,original_prediction,128,-0.014288385849089646
mech_pair_test,random_030,global_prediction,128,-0.004250404819826414
mech_pair_test,random_030,task_prediction,128,-0.0011405603089069682
mech_pair_test,random_031,natural_effect,128,0.013259944958719072
mech_pair_test,random_031,original_prediction,128,-0.021495683406958177
mech_pair_test,random_031,global_prediction,128,-0.0096312788746713
mech_pair_test,random_031,task_prediction,128,-0.006011522789837409
mech_pair_test,random_032,natural_effect,128,0.01901426069552159
mech_pair_test,random_032,original_prediction,128,-0.05378170399445059
mech_pair_test,random_032,global_prediction,128,-0.03442162638932267
mech_pair_test,random_032,task_prediction,128,-0.031105162384854834
mech_pair_test,random_033,natural_effect,128,0.037277958468851624
mech_pair_test,random_033,original_prediction,128,0.0022683469069638695
mech_pair_test,random_033,global_prediction,128,0.009599806734462701
mech_pair_test,random_033,task_prediction,128,0.014878595970025832
mech_pair_test,random_034,natural_effect,128,0.05078809106830118
mech_pair_test,random_034,original_prediction,128,0.04763892281045079
mech_pair_test,random_034,global_prediction,128,0.04704057768341796
mech_pair_test,random_034,task_prediction,128,0.051054658439188993
mech_pair_test,random_035,natural_effect,128,0.0022516887665748886
mech_pair_test,random_035,original_prediction,128,-0.06742544830625397
mech_pair_test,random_035,global_prediction,128,-0.04647679056834475
mech_pair_test,random_035,task_prediction,128,-0.039239486238318744
mech_pair_test,random_036,natural_effect,128,0.02001501125844385
mech_pair_test,random_036,original_prediction,128,-0.02113583056603474
mech_pair_test,random_036,global_prediction,128,-0.010558216014146637
mech_pair_test,random_036,task_prediction,128,-0.007146607909798819
mech_pair_test,random_037,natural_effect,128,0.02501876407305481
mech_pair_test,random_037,original_prediction,128,-0.02964565528462959
mech_pair_test,random_037,global_prediction,128,-0.015587995570604196
mech_pair_test,random_037,task_prediction,128,-0.010939459471779767
mech_pair_test,random_038,natural_effect,128,0.024268201150863145
mech_pair_test,random_038,original_prediction,128,-0.008112548433900413
mech_pair_test,random_038,global_prediction,128,0.0013504291661846635
mech_pair_test,random_038,task_prediction,128,0.00775000545592941
mech_pair_test,random_039,natural_effect,128,0.05328996747560666
mech_pair_test,random_039,original_prediction,128,0.05686004830313651
mech_pair_test,random_039,global_prediction,128,0.0533286923847065
mech_pair_test,random_039,task_prediction,128,0.056013146194454744
mech_pair_test,random_040,natural_effect,128,0.0335251438578934
mech_pair_test,random_040,original_prediction,128,0.004403164990295139
mech_pair_test,random_040,global_prediction,128,0.010083379765295497
mech_pair_test,random_040,task_prediction,128,0.014983275406853624
mech_pair_test,random_041,natural_effect,128,-0.003002251688766666
mech_pair_test,random_041,original_prediction,128,-0.07858443046920494
mech_pair_test,random_041,global_prediction,128,-0.0555177613378357
mech_pair_test,random_041,task_prediction,128,-0.048146348049338705
mech_pair_test,random_042,natural_effect,128,0.05354015511633725
mech_pair_test,random_042,original_prediction,128,0.044938496773813896
mech_pair_test,random_042,global_prediction,128,0.04402827441526813
mech_pair_test,random_042,task_prediction,128,0.04686426308586766
mech_pair_test,random_043,natural_effect,128,0.01776332249186885
mech_pair_test,random_043,original_prediction,128,-0.04690721313346713
mech_pair_test,random_043,global_prediction,128,-0.029131951972922954
mech_pair_test,random_043,task_prediction,128,-0.020253388527915916
mech_pair_test,random_044,natural_effect,128,0.06154615961971477
mech_pair_test,random_044,original_prediction,128,0.03739733060607531
mech_pair_test,random_044,global_prediction,128,0.03942171478160428
mech_pair_test,random_044,task_prediction,128,0.04587608532492138
mech_pair_test,random_045,natural_effect,128,0.00600450337753311
mech_pair_test,random_045,original_prediction,128,-0.016873953718711254
mech_pair_test,random_045,global_prediction,128,-0.0071714338427983915
mech_pair_test,random_045,task_prediction,128,-0.004265592776452332
mech_pair_test,random_046,natural_effect,128,0.0007505629221916665
mech_pair_test,random_046,original_prediction,128,-0.03815920319578092
mech_pair_test,random_046,global_prediction,128,-0.02356635079252145
mech_pair_test,random_046,task_prediction,128,-0.018662732722372066
mech_pair_test,random_047,natural_effect,128,0.04128096072054044
mech_pair_test,random_047,original_prediction,128,0.002704642951076197
mech_pair_test,random_047,global_prediction,128,0.008906888238264243
mech_pair_test,random_047,task_prediction,128,0.013466364090845784
mech_pair_test,random_048,natural_effect,128,0.039779834876157105
mech_pair_test,random_048,original_prediction,128,0.019083234190779952
mech_pair_test,random_048,global_prediction,128,0.021575906705200487
mech_pair_test,random_048,task_prediction,128,0.025786648030046266
mech_pair_test,random_049,natural_effect,128,0.017012759569677294
mech_pair_test,random_049,original_prediction,128,-0.028143866391346917
mech_pair_test,random_049,global_prediction,128,-0.011968768023521648
mech_pair_test,random_049,task_prediction,128,-0.005395304875157381
mech_pair_test,random_050,natural_effect,128,0.01651238428821611
mech_pair_test,random_050,original_prediction,128,-0.014058181816178017
mech_pair_test,random_050,global_prediction,128,-0.004933826699346167
mech_pair_test,random_050,task_prediction,128,-0.0003432595086461099
mech_pair_test,random_051,natural_effect,128,0.07855891918939206
mech_pair_test,random_051,original_prediction,128,0.0790422283629919
mech_pair_test,random_051,global_prediction,128,0.07112945876676402
mech_pair_test,random_051,task_prediction,128,0.0759410096959604
mech_pair_test,random_052,natural_effect,128,0.0032524393294971476
mech_pair_test,random_052,original_prediction,128,-0.023042851109541518
mech_pair_test,random_052,global_prediction,128,-0.011207308532895865
mech_pair_test,random_052,task_prediction,128,-0.007801068065829364
mech_pair_test,random_053,natural_effect,128,0.03802852139104329
mech_pair_test,random_053,original_prediction,128,0.017527915236303926
mech_pair_test,random_053,global_prediction,128,0.02120630059913653
mech_pair_test,random_053,task_prediction,128,0.025676944413306257
mech_pair_test,random_054,natural_effect,128,0.016262196647485627
mech_pair_test,random_054,original_prediction,128,-0.022042506800997952
mech_pair_test,random_054,global_prediction,128,-0.011451995258400238
mech_pair_test,random_054,task_prediction,128,-0.006030711466173289
mech_pair_test,random_055,natural_effect,128,0.024518388791593737
mech_pair_test,random_055,original_prediction,128,-0.022177075663731616
mech_pair_test,random_055,global_prediction,128,-0.010692575056799658
mech_pair_test,random_055,task_prediction,128,-0.00601082512653206
mech_pair_test,random_056,natural_effect,128,0.025519139354515885
mech_pair_test,random_056,original_prediction,128,-0.00964365340290918
mech_pair_test,random_056,global_prediction,128,0.00030697882473418314
mech_pair_test,random_056,task_prediction,128,0.00489020025465936
mech_pair_test,random_057,natural_effect,128,0.026519889917438033
mech_pair_test,random_057,original_prediction,128,-0.0294657341443747
mech_pair_test,random_057,global_prediction,128,-0.01544501778595797
mech_pair_test,random_057,task_prediction,128,-0.008479988320829301
mech_pair_test,random_058,natural_effect,128,0.03077307980985744
mech_pair_test,random_058,original_prediction,128,0.009364900675814414
mech_pair_test,random_058,global_prediction,128,0.01627884880014241
mech_pair_test,random_058,task_prediction,128,0.02123455252676032
mech_pair_test,random_059,natural_effect,128,-0.005003752814610962
mech_pair_test,random_059,original_prediction,128,-0.07019951682301806
mech_pair_test,random_059,global_prediction,128,-0.04920107207399127
mech_pair_test,random_059,task_prediction,128,-0.043871483884406315
mech_pair_test,random_060,natural_effect,128,0.02852139104328244
mech_pair_test,random_060,original_prediction,128,-0.012353127670374331
mech_pair_test,random_060,global_prediction,128,-0.0025392432077417926
mech_pair_test,random_060,task_prediction,128,0.005608075368912613
mech_pair_test,random_061,natural_effect,128,0.013259944958719072
mech_pair_test,random_061,original_prediction,128,-0.029103665528887213
mech_pair_test,random_061,global_prediction,128,-0.016716737289339756
mech_pair_test,random_061,task_prediction,128,-0.011328934084111841
mech_pair_test,random_062,natural_effect,128,0.016262196647485627
mech_pair_test,random_062,original_prediction,128,-0.041783384063907025
mech_pair_test,random_062,global_prediction,128,-0.026099832452557425
mech_pair_test,random_062,task_prediction,128,-0.018566187421473535
mech_pair_test,random_063,natural_effect,128,0.001000750562922148
mech_pair_test,random_063,original_prediction,128,-0.07100443799889722
mech_pair_test,random_063,global_prediction,128,-0.046375286406669325
mech_pair_test,random_063,task_prediction,128,-0.04094098003723334
mech_pair_test,random_064,natural_effect,128,0.007755816862647036
mech_pair_test,random_064,original_prediction,128,-0.05712662237603605
mech_pair_test,random_064,global_prediction,128,-0.03829263103117064
mech_pair_test,random_064,task_prediction,128,-0.03383968632932666
mech_pair_test,random_065,natural_effect,128,0.044533400050037475
mech_pair_test,random_065,original_prediction,128,0.0005552772606665091
mech_pair_test,random_065,global_prediction,128,0.00979792735910312
mech_pair_test,random_065,task_prediction,128,0.013925548048054015
mech_pair_test,random_066,natural_effect,128,0.016012009006755035
mech_pair_test,random_066,original_prediction,128,-0.014828885135059977
