split,frozen,random_mean,random_max,p,holm_p
mech_pair_test,0.7785839379534651,0.02462705615069888,0.07855891918939206,0.01,0.02
mech_task_holdout,0.8158482142857143,-0.022411616161616153,0.0513392857142857,0.01,0.02
