control,estimate_difference,ci_lower,ci_upper,bootstrap_valid,row_identity_verified
persistence_output,0.393232286114639,0.3617051334056425,0.4172040234820856,2000,True
persistence_state,0.5780392785879206,0.5351754290931988,0.616931920228833,2000,True
