split,endpoint,control,recovery_difference,low,high
mech_pair_test,predicted_counterfactual_effect,ridge_persistence,1.1042319318504266,0.41924153591912083,1.9763788302515595
mech_pair_test,natural_effect,ridge_persistence,-0.22222222222222232,-0.3265290387504997,-0.13332369942196537
mech_pair_test,predicted_counterfactual_effect,output,1.1573408226166348,0.49742492462977456,1.9861133698573026
mech_pair_test,natural_effect,output,-0.2452574525745258,-0.3336048863222965,-0.16665275459098505
mech_pair_test,predicted_counterfactual_effect,pca,1.1292492643471372,0.5589352522932761,1.5138693720378198
mech_pair_test,natural_effect,pca,-0.22289972899729005,-0.3453261061091786,-0.11763397723804132
mech_task_holdout,predicted_counterfactual_effect,ridge_persistence,-0.007906590147193637,-0.3075573764034178,0.2255684046183085
mech_task_holdout,natural_effect,ridge_persistence,-0.10625000000000007,-0.3852477816212964,0.04854960928250056
mech_task_holdout,predicted_counterfactual_effect,output,-0.06424719380703747,-0.32845079488741763,0.19448383034068123
mech_task_holdout,natural_effect,output,-0.11250000000000004,-0.32786885245901637,0.010002525252525239
mech_task_holdout,predicted_counterfactual_effect,pca,0.047115725276498543,-0.09376984117376619,0.16947439249638904
mech_task_holdout,natural_effect,pca,-0.15625,-0.40843034351145036,-0.01859143067691359
