pair_split,method,median,max
mech_pair_test,output,0.013032063153826745,0.37170828491839775
mech_pair_test,pca,0.015287560757767774,0.1467944718907599
mech_pair_test,random_000,0.008584800911077765,0.08053879853033606
mech_pair_test,random_001,0.008516591905893916,0.06942339044449433
mech_pair_test,random_002,0.013513020774720805,0.1221227051453159
mech_pair_test,random_003,0.010569760600892018,0.09277146412660305
mech_pair_test,random_004,0.00791185614028407,0.06630449927734339
mech_pair_test,random_005,0.009163804024823833,0.04922097719716779
mech_pair_test,random_006,0.007425726894457529,0.06544657328957437
mech_pair_test,random_007,0.008752675674945955,0.07723146158893207
mech_pair_test,random_008,0.017690763572067704,0.13156906916210728
mech_pair_test,random_009,0.013394405936143168,0.11246699902576995
mech_pair_test,random_010,0.013097563650292276,0.07034541841683582
mech_pair_test,random_011,0.009287218753349091,0.07449821018673647
mech_pair_test,random_012,0.0073714791240056775,0.044006067972530774
mech_pair_test,random_013,0.014601042860473017,0.07522821152323547
mech_pair_test,random_014,0.007975710086119223,0.052990182091956314
mech_pair_test,random_015,0.01297969321816454,0.06853211752091715
mech_pair_test,random_016,0.010305545759158735,0.05890204452493429
mech_pair_test,random_017,0.012325721075698834,0.0713781433172273
mech_pair_test,random_018,0.012166111219583704,0.08119604175810714
mech_pair_test,random_019,0.01648793991517538,0.1816934994900306
mech_pair_test,random_020,0.008778149625967367,0.062118128963412886
mech_pair_test,random_021,0.011004821487780796,0.11619286798929755
mech_pair_test,random_022,0.008984131816390194,0.06120646797996237
mech_pair_test,random_023,0.011573529129346895,0.08004803172467223
mech_pair_test,random_024,0.011701277187783719,0.06125138333217451
mech_pair_test,random_025,0.009536495309579958,0.052489956712482
mech_pair_test,random_026,0.01427270141886251,0.06769699595926601
mech_pair_test,random_027,0.009050917979794355,0.09387948010184712
mech_pair_test,random_028,0.008962251917841436,0.11521137361840973
mech_pair_test,random_029,0.013080506626196975,0.06699660265517154
mech_pair_test,random_030,0.007371877393041478,0.0844164479599181
mech_pair_test,random_031,0.011761121203038329,0.041961036548046705
mech_pair_test,random_032,0.011689046658173021,0.07994374832574291
mech_pair_test,random_033,0.013146202521679575,0.05756525132783517
mech_pair_test,random_034,0.010727598681419474,0.052444410358027875
mech_pair_test,random_035,0.013387920536445611,0.07419512723178558
mech_pair_test,random_036,0.011846445503862237,0.08293726313608203
mech_pair_test,random_037,0.01258749630906782,0.08724280078303899
mech_pair_test,random_038,0.009953741364647602,0.11619365382087594
