name,layer,rank,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
L8_r2,8,2,0.3283389189652387,0.5350827688535122,0.3123541229034138,-0.012451002010861127,0.17637506357148006,0.46875,-5.432370039211364,7.546223997900725e-07,0.0,64,0.1,48,0.75,7.546223997900725e-07,3.534447517994366e-07,0.7458104732177786
L8_r8,8,8,0.261890983739415,0.4778510719678727,0.27035434971193667,-0.00938199984373385,0.1848937992076731,0.4375,-4.918900226305775,7.546223997900725e-07,0.0,64,0.1,48,0.75,7.546223997900725e-07,1.5734093328223508e-07,0.7502406329053574
L16_r2,16,2,0.5819504152111927,0.7967242224590785,0.8652863529464216,0.014518977871996363,0.1391476863064107,0.71875,-6.542162476104836,0.5146543922012031,0.7666118603041748,64,0.1,48,0.75,0.7458104732177792,4.509818715137115e-07,0.9455299813711923
L16_r8,16,8,-0.3610408740082538,0.535148184446676,0.6943562711798648,-0.11402474194156445,0.25107164912383834,0.609375,-5.6496152438437495,2.445197792960707e-05,0.5872474255265548,64,0.1,48,0.75,0.539087103677064,4.509818715137115e-07,0.878420584126079
L24_r2,24,2,0.6174273336265894,0.8057806801855387,0.8217189493738367,0.021390080114135093,0.13311256746138114,0.75,-9.63927213546964,0.5513210019062549,1.0180005163678008,64,0.1,48,0.75,0.7629454833369558,4.2659759158514277e-07,0.98130038265401
L24_r8,24,8,0.6118210968985157,0.7967169591046737,0.8337140779316135,-0.0032036148476515497,0.13408433903081995,0.71875,-13.903875290863379,0.6196884599754919,0.9155478336577776,64,0.1,48,0.75,0.8179217591126051,6.787122677209823e-07,0.975046534951139
L28_r2,28,2,0.562548205911977,0.821678211553245,0.9665529305570331,0.03491878222900507,0.142340075629191,0.78125,-13.142124472175635,0.25735127076733144,1.051931743138561,64,0.1,48,0.75,0.745810473217779,4.509818715137115e-07,0.9742204938621548
L28_r8,28,8,0.09777992173133099,0.7381124471405967,1.0656600887091656,0.047362619492411946,0.2044176235622067,0.765625,-11.648605745010363,3.534447517994366e-07,1.0519317431385606,64,0.1,48,0.75,0.5794053243175389,-0.4075744271800057,0.9527026094939327
