architecture,variant,sharing,heldout_task,sensitivity,source_tasks,source_rows,target_rows,heldout_outcomes_used_for_population,r2,mse,correlation
latent_motivation,M4,ontology_conditioned,debugging,with_information_sampling,6,20680,3564,False,-1.1363599863578906,1.9618066208294898,0.5381582358244277
immediate_state,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.6406492996969675,0.4267114950229234,0.8133713120325569
immediate_state,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.6517658381529383,0.4135111457818422,0.8185407530062513
immediate_state,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,0.5156706087584964,0.5751176175416525,0.7862695439771847
choice_perseveration,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.662964110349454,0.4002137416954739,0.8276408725103
choice_perseveration,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.6708838087143215,0.39080948472156674,0.8313693056016889
choice_perseveration,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,0.5226292451418951,0.5668545749707683,0.7864793785984632
outcome_history,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.7476087671411096,0.2997023248127147,0.8819778274617042
outcome_history,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.761438012931728,0.2832807674277479,0.8868826831667134
outcome_history,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,0.5936379126157478,0.48253523280223526,0.8432185364123926
dual_history,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.7495348775506171,0.29741516229507636,0.8826568402441398
dual_history,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.7619294112669855,0.2826972557826816,0.8869402774635042
dual_history,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,0.5956187971786524,0.48018302863902645,0.8435290005905012
dynamic_reevaluation,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.3454798159905109,0.7772109140342507,0.7903338913447345
dynamic_reevaluation,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.40459742668857124,0.7070116239761548,0.7904960753755534
dynamic_reevaluation,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,0.3056501103374031,0.8245067540902975,0.7721956593226275
latent_context,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.7439817184804325,0.30400926885154145,0.8803550874608764
latent_context,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.759054006874744,0.28611165877667655,0.8853379101953847
latent_context,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,0.5910244558018212,0.4856385857755511,0.8402196161639923
latent_motivation,M1,fully_shared,effort,with_information_sampling,6,20826,3418,False,0.057492736901754826,1.1191815765698179,0.5891466383590152
latent_motivation,M3,random_effects,effort,with_information_sampling,6,20826,3418,False,0.11100225564103261,1.0556416232040953,0.5951544187608363
latent_motivation,M4,ontology_conditioned,effort,with_information_sampling,6,20826,3418,False,-0.09903651845740669,1.3050524612315362,0.5835102346035532
immediate_state,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.5576888121660268,0.5786806209849499,0.750950002169802
immediate_state,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.5524739650581942,0.5855032631556808,0.7489053197923675
immediate_state,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,0.44404921460715074,0.7273565638338891,0.7027789155389026
choice_perseveration,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.56144450069964,0.573767012121696,0.7528136523928368
choice_perseveration,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.555031241724907,0.5821575497976927,0.7498302878924924
choice_perseveration,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,0.44365584844972805,0.7278712091300359,0.6988705019735307
outcome_history,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.6454674111428649,0.46383890871930333,0.8081550623769751
outcome_history,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.6417878156912777,0.46865296416141233,0.8059872207941987
outcome_history,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,0.5286897637600417,0.6166203968737911,0.7673313331117981
dual_history,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.6455153835555569,0.4637761458809886,0.8080699039590337
dual_history,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.643427137447337,0.46650822136972286,0.8069065976068268
dual_history,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,0.5324316277509876,0.6117248748126702,0.7684150911383373
dynamic_reevaluation,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.3662799983507524,0.8291028899378041,0.6952203936131459
dynamic_reevaluation,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.39414147546193734,0.7926514111605809,0.6832984691157011
dynamic_reevaluation,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,-0.09267674770004497,1.4295610789122137,0.6343117123818885
latent_context,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.6451847768010881,0.46420868235585094,0.8079400888666374
latent_context,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.6402950589170546,0.47060595436570074,0.8049505472834128
latent_context,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,0.5272678625222578,0.6184806859957768,0.7656422171418044
latent_motivation,M1,fully_shared,foraging,with_information_sampling,6,20730,3514,False,0.21104746821780462,1.0321953266774282,0.6298378653068006
latent_motivation,M3,random_effects,foraging,with_information_sampling,6,20730,3514,False,0.25858991783881635,0.96999501380594,0.627789196089346
latent_motivation,M4,ontology_conditioned,foraging,with_information_sampling,6,20730,3514,False,-0.29655301370745835,1.6962946535138756,0.5888370607519172
immediate_state,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-12.580066974273086,3.788273474489257,0.022756576637945773
immediate_state,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-12.606333279812203,3.795600680513732,0.023522538486162495
immediate_state,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-14.445194500238905,4.308566426397492,0.02513209029086168
choice_perseveration,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-12.5400330137408,3.7771056657405575,0.05288661086754967
