architecture,variant,heldout_task,requested_semantic_conditions,adaptation_semantic_conditions,adaptation_rows,evaluation_rows,population_outcome_tasks,r2,mse,correlation
dual_history,M4,solvability,4,4,8,3418,bandit;debugging;effort;foraging;information_sampling;waiting,0.590225184738838,0.7657345036826405,0.7731024801299449
dual_history,M4,solvability,8,8,16,3410,bandit;debugging;effort;foraging;information_sampling;waiting,0.6637353650422848,0.628886022602724,0.8214779748036829
dual_history,M4,solvability,16,16,32,3394,bandit;debugging;effort;foraging;information_sampling;waiting,0.5857562226823054,0.7752967014788114,0.7735382376019498
dual_history,M4,solvability,32,32,64,3362,bandit;debugging;effort;foraging;information_sampling;waiting,0.6148713391008858,0.7208039217045089,0.7851843491898474
dual_history,M4,solvability,64,64,128,3298,bandit;debugging;effort;foraging;information_sampling;waiting,0.7201199406308391,0.526742235656606,0.8523780774157943
dual_history,M4,waiting,0,0,0,3362,bandit;debugging;effort;foraging;information_sampling;solvability,0.09596951172877721,0.8256566880423293,0.5211082514525227
dual_history,M4,waiting,1,1,2,3360,bandit;debugging;effort;foraging;information_sampling;solvability,0.06844995133391907,0.8512795841916654,0.5346639530658269
dual_history,M4,waiting,4,4,8,3354,bandit;debugging;effort;foraging;information_sampling;solvability,0.16056995913117766,0.7636188328089973,0.6338678739655266
dual_history,M4,waiting,8,8,16,3346,bandit;debugging;effort;foraging;information_sampling;solvability,0.437581940951139,0.5126966408358219,0.6849135928604465
dual_history,M4,waiting,16,16,32,3330,bandit;debugging;effort;foraging;information_sampling;solvability,0.6981271529897995,0.27370800858723676,0.8413423799844945
dual_history,M4,waiting,32,32,64,3298,bandit;debugging;effort;foraging;information_sampling;solvability,0.757172755508988,0.21920603172182643,0.8722097243453047
dual_history,M4,waiting,64,64,128,3234,bandit;debugging;effort;foraging;information_sampling;solvability,0.7592020577395352,0.2149717604491231,0.8744075729160986
latent_context,M4,bandit,0,0,0,3466,debugging;effort;foraging;information_sampling;solvability;waiting,-0.4208006664061501,1.9344782368103615,0.8235815736435826
latent_context,M4,bandit,1,1,2,3464,debugging;effort;foraging;information_sampling;solvability;waiting,-0.05400754994016932,1.434676045155824,0.8374039524301895
latent_context,M4,bandit,4,4,8,3458,debugging;effort;foraging;information_sampling;solvability;waiting,0.47369128729412135,0.7169349337454632,0.8017978835494368
latent_context,M4,bandit,8,8,16,3450,debugging;effort;foraging;information_sampling;solvability;waiting,0.6236367151972464,0.5118608361001259,0.8122737862615101
latent_context,M4,bandit,16,16,32,3434,debugging;effort;foraging;information_sampling;solvability;waiting,0.6413386205659596,0.48821392901631855,0.8013544723442894
latent_context,M4,bandit,32,32,64,3402,debugging;effort;foraging;information_sampling;solvability;waiting,0.7107504634224451,0.3958671704453003,0.846273616923767
latent_context,M4,bandit,64,64,128,3338,debugging;effort;foraging;information_sampling;solvability;waiting,0.7879875035264908,0.28832168324023344,0.8895960432860813
latent_context,M4,debugging,0,0,0,3564,bandit;effort;foraging;information_sampling;solvability;waiting,-0.3105403860776732,1.2034614122570013,0.8106651456885341
latent_context,M4,debugging,1,1,2,3562,bandit;effort;foraging;information_sampling;solvability;waiting,0.010276229452544472,0.9088117178848096,0.8294280192033902
latent_context,M4,debugging,4,4,8,3556,bandit;effort;foraging;information_sampling;solvability;waiting,0.25178303924356427,0.6875384040445929,0.8194757318940156
latent_context,M4,debugging,8,8,16,3548,bandit;effort;foraging;information_sampling;solvability;waiting,0.3263281324993552,0.6195136230208967,0.8162483980778078
latent_context,M4,debugging,16,16,32,3532,bandit;effort;foraging;information_sampling;solvability;waiting,0.5101373201761734,0.45085105495071043,0.7718071866224526
latent_context,M4,debugging,32,32,64,3500,bandit;effort;foraging;information_sampling;solvability;waiting,0.6943915526459461,0.2808407537681345,0.8392781101170357
latent_context,M4,debugging,64,64,128,3436,bandit;effort;foraging;information_sampling;solvability;waiting,0.6990179212198315,0.27724054291897987,0.8468441935319355
latent_context,M4,effort,0,0,0,3418,bandit;debugging;foraging;information_sampling;solvability;waiting,0.5910244558018212,0.4856385857755511,0.8402196161639923
latent_context,M4,effort,1,1,2,3416,bandit;debugging;foraging;information_sampling;solvability;waiting,0.6506852875996818,0.41402792666127686,0.8428468714876695
latent_context,M4,effort,4,4,8,3410,bandit;debugging;foraging;information_sampling;solvability;waiting,0.655856495448498,0.4080811971239645,0.8485195834519962
latent_context,M4,effort,8,8,16,3402,bandit;debugging;foraging;information_sampling;solvability;waiting,0.6219265944556813,0.4483380767186504,0.8217933717538892
latent_context,M4,effort,16,16,32,3386,bandit;debugging;foraging;information_sampling;solvability;waiting,0.6440546973128793,0.4221693199714768,0.8249850613262509
latent_context,M4,effort,32,32,64,3354,bandit;debugging;foraging;information_sampling;solvability;waiting,0.7247685224423889,0.32752073680805,0.8635946524391542
latent_context,M4,effort,64,64,128,3290,bandit;debugging;foraging;information_sampling;solvability;waiting,0.7427239716084963,0.30513557132749514,0.8646300942390899
latent_context,M4,foraging,0,0,0,3514,bandit;debugging;effort;information_sampling;solvability;waiting,0.5272678625222578,0.6184806859957768,0.7656422171418044
latent_context,M4,foraging,1,1,2,3512,bandit;debugging;effort;information_sampling;solvability;waiting,0.5306902385469395,0.6142665681386711,0.7459052464197093
latent_context,M4,foraging,4,4,8,3506,bandit;debugging;effort;information_sampling;solvability;waiting,0.5538076976219533,0.5824990959726887,0.7542830731528821
latent_context,M4,foraging,8,8,16,3498,bandit;debugging;effort;information_sampling;solvability;waiting,0.5665154314246729,0.5648842503931062,0.7609069169391967
latent_context,M4,foraging,16,16,32,3482,bandit;debugging;effort;information_sampling;solvability;waiting,0.44526981526921194,0.7135712999857743,0.7929429665006289
latent_context,M4,foraging,32,32,64,3450,bandit;debugging;effort;information_sampling;solvability;waiting,0.5948880891466245,0.5205290706987256,0.8334749621354643
latent_context,M4,foraging,64,64,128,3386,bandit;debugging;effort;information_sampling;solvability;waiting,0.7191930990044498,0.3616413781321486,0.8643024386918277
latent_context,M4,information_sampling,0,0,0,3494,bandit;debugging;effort;foraging;solvability;waiting,-15.286251066012294,4.54318620291998,0.023094272781850146
latent_context,M4,information_sampling,1,1,2,3492,bandit;debugging;effort;foraging;solvability;waiting,-7.035253229301929,2.242298605304155,0.23774083654929887
latent_context,M4,information_sampling,4,4,8,3486,bandit;debugging;effort;foraging;solvability;waiting,-4.730036747533003,1.5995104068324484,0.1214619022767949
latent_context,M4,information_sampling,8,8,16,3478,bandit;debugging;effort;foraging;solvability;waiting,-2.306948068010059,0.9248439676281639,0.13858211836400067
latent_context,M4,information_sampling,16,16,32,3462,bandit;debugging;effort;foraging;solvability;waiting,-0.7277454581567409,0.48427720441454275,0.23125001480452204
latent_context,M4,information_sampling,32,32,64,3430,bandit;debugging;effort;foraging;solvability;waiting,-0.1453444679687641,0.3217047098532279,0.4132701988940111
latent_context,M4,information_sampling,64,64,128,3366,bandit;debugging;effort;foraging;solvability;waiting,0.4601742287697188,0.15211580797131696,0.6937746532877844
latent_context,M4,solvability,0,0,0,3426,bandit;debugging;effort;foraging;information_sampling;waiting,0.45729128376316563,1.0167166596678325,0.8464680884657446
latent_context,M4,solvability,1,1,2,3424,bandit;debugging;effort;foraging;information_sampling;waiting,0.5238061119329096,0.8918953382746035,0.8166503183858514
latent_context,M4,solvability,4,4,8,3418,bandit;debugging;effort;foraging;information_sampling;waiting,0.6090624479819625,0.730533847412391,0.7808948090408591
latent_context,M4,solvability,8,8,16,3410,bandit;debugging;effort;foraging;information_sampling;waiting,0.643699925336932,0.666356534448195,0.821723179048133
latent_context,M4,solvability,16,16,32,3394,bandit;debugging;effort;foraging;information_sampling;waiting,0.5826857238840666,0.7810434325596829,0.7777029364866196
latent_context,M4,solvability,32,32,64,3362,bandit;debugging;effort;foraging;information_sampling;waiting,0.6121145855431409,0.7259634410478791,0.788487140558534
latent_context,M4,solvability,64,64,128,3298,bandit;debugging;effort;foraging;information_sampling;waiting,0.7246977585872747,0.5181266520018187,0.8544450180080866
latent_context,M4,waiting,0,0,0,3362,bandit;debugging;effort;foraging;information_sampling;solvability,0.09426224717347342,0.8272159434177091,0.525062043405499
latent_context,M4,waiting,1,1,2,3360,bandit;debugging;effort;foraging;information_sampling;solvability,0.0656216638753162,0.8538641617730649,0.5392661576705446
latent_context,M4,waiting,4,4,8,3354,bandit;debugging;effort;foraging;information_sampling;solvability,0.3331006270380408,0.6066698783560036,0.6782874068003697
latent_context,M4,waiting,8,8,16,3346,bandit;debugging;effort;foraging;information_sampling;solvability,0.503498633373292,0.45260741319437814,0.7182938561614076
latent_context,M4,waiting,16,16,32,3330,bandit;debugging;effort;foraging;information_sampling;solvability,0.7067909279505207,0.2658525667519305,0.844917221901181
latent_context,M4,waiting,32,32,64,3298,bandit;debugging;effort;foraging;information_sampling;solvability,0.753910532320787,0.2221509195624614,0.8701082147892844
latent_context,M4,waiting,64,64,128,3234,bandit;debugging;effort;foraging;information_sampling;solvability,0.7712633002818814,0.20420411634804753,0.8804373452348907
