architecture,parameter,ontology_variance,random_effect_variance,total_task_variance,ontology_fraction_q
dual_history,intercept,0.021984757613650256,0.003575989364552203,0.0380502484944618,0.5777822349005193
dual_history,factor_continuation_value,0.004381657446751145,0.0010223482909571288,0.008334711938279702,0.5257119237231282
dual_history,factor_continuation_value__available,0.0,0.0,0.0,
dual_history,factor_disengagement_value,0.005138875652599075,0.0063189232966640195,0.021259367593852264,0.24172288427267816
dual_history,factor_disengagement_value__available,0.0,0.0,0.0,
dual_history,factor_continuation_cost,0.0008343076722265836,0.0005297162846891146,0.0022930405558197376,0.36384340002583493
dual_history,factor_continuation_cost__available,0.0,0.0,0.0,
dual_history,factor_progress_evidence,0.01500928211906766,0.004293544533519694,0.03215653614397131,0.4667568065126192
dual_history,factor_progress_evidence__available,0.0041893771715192886,0.0015488866244830184,0.009416941146429146,0.4448766437398707
dual_history,factor_success_evidence,0.024555140609488196,0.007125149684080538,0.05356185868022947,0.4584445203084763
dual_history,factor_success_evidence__available,0.0,0.0,0.0,
dual_history,factor_uncertainty,0.000590381934653425,0.00016949768005407472,0.0012107095325598974,0.4876330108718435
dual_history,factor_uncertainty__available,0.0,0.0,0.0,
dual_history,factor_prior_investment,0.00046504236883545245,0.0001354577793272981,0.0010622235506621816,0.437800845731154
dual_history,factor_prior_investment__available,0.0,0.0,0.0,
dual_history,factor_controllability,0.0004310393841897195,1.870100680535409e-05,0.0006119429173306366,0.7043784182844398
dual_history,factor_controllability__available,0.04801850593225765,0.0032520141706531324,0.0731065136276187,0.6568293787999333
dual_history,factor_environmental_stability,0.007093095092948862,0.0009570671211919607,0.0126475490066847,0.5608276425100149
dual_history,factor_environmental_stability__available,0.0,0.0,0.0,
dual_history,factor_goal_continuity,0.0006516932587410245,0.00010540082200597078,0.0011880379952459996,0.5485458052257685
dual_history,factor_goal_continuity__available,0.0,0.0,0.0,
dual_history,history_action_1,0.0007378321497378303,8.173148348096047e-05,0.0012211143226022612,0.6042285608160501
dual_history,history_action_1__available,0.00014277560840974946,0.00014026055996309333,0.0004961281423153494,0.2877797009124274
dual_history,history_action_kernel,0.0020052611927378733,0.0006253369769314369,0.004440877742237482,0.45154613775238656
dual_history,history_action_kernel__available,0.00014277560840975182,0.0001402605599630934,0.0004961281423153537,0.28777970091242966
dual_history,history_outcome_1,0.002902870345021545,0.0005071207888030159,0.005055215407421357,0.5742327697371626
dual_history,history_outcome_1__available,0.00014277560840975564,0.0001402605599630934,0.0004961281423153595,0.287779700912434
dual_history,history_outcome_kernel,0.004090698478596242,0.001141418856994081,0.009054015975785699,0.45181038884142843
dual_history,history_outcome_kernel__available,0.00014277560840975496,0.0001402605599630915,0.0004961281423153549,0.28777970091243527
dual_history,response_mapping,0.0037760826474129705,0.0012032382846463414,0.008383687153474442,0.450408344000295
dual_history,response_mapping__available,0.0,0.0,0.0,
