architecture,task_family,parameter,estimate_mean,interval_low,interval_high,probability_positive
dual_history,bandit,factor_continuation_cost,-0.1127798870575055,-0.13595296111600522,-0.09462035800027062,0.0
dual_history,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_continuation_value,0.3395391818989241,0.31889068556315897,0.3594693705157399,1.0
dual_history,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_controllability,0.05020407825701368,0.03481925960130181,0.06393750011586781,1.0
dual_history,bandit,factor_controllability__available,0.37326883365862884,0.364229575019318,0.3820859799088928,1.0
dual_history,bandit,factor_disengagement_value,-0.4743150140028164,-0.5014906991367103,-0.452951007112405,0.0
dual_history,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_environmental_stability,0.13268783301668222,0.1107948415963513,0.1598844461973845,1.0
dual_history,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_goal_continuity,0.09671092144671276,0.07230344682438984,0.11545320290484525,1.0
dual_history,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_prior_investment,-0.12045511385189317,-0.14145680756614207,-0.09990713061694398,0.0
dual_history,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_progress_evidence,0.2767092690840208,0.2652403093382962,0.2906304179427893,1.0
dual_history,bandit,factor_progress_evidence__available,-0.39914537000400985,-0.4086459225875085,-0.3894977151600151,0.0
dual_history,bandit,factor_success_evidence,0.7889885648282398,0.762063387638798,0.8106828374380115,1.0
dual_history,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,bandit,factor_uncertainty,-0.018066081648225204,-0.03878391826279832,0.0028481389902297394,0.05
dual_history,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,bandit,history_action_1,0.12431062074000244,0.0877051014145364,0.1599544447646682,1.0
dual_history,bandit,history_action_1__available,-0.03626834244102183,-0.04025306316524244,-0.03204872818014591,0.0
dual_history,bandit,history_action_kernel,-0.0673758516942163,-0.11381246089400524,-0.028467370525312438,0.0
dual_history,bandit,history_action_kernel__available,-0.036268342441015594,-0.04025306316529407,-0.03204872818009632,0.0
dual_history,bandit,history_outcome_1,0.1944864017578544,0.1420213311927308,0.2403437981350543,1.0
dual_history,bandit,history_outcome_1__available,-0.03626834244101582,-0.0402530631653018,-0.03204872818009534,0.0
dual_history,bandit,history_outcome_kernel,0.25667195578146373,0.21647302728674706,0.30412437454419655,1.0
dual_history,bandit,history_outcome_kernel__available,-0.03626834244101668,-0.040253063165291425,-0.032048728180106255,0.0
dual_history,bandit,intercept,-0.04322479067033932,-0.061950292955398605,-0.026968368695959043,0.0
dual_history,bandit,response_mapping,-0.02927467961227811,-0.0359230149676325,-0.02226846651863631,0.0
dual_history,bandit,response_mapping__available,0.0,0.0,0.0,0.0
