theory,split,task,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
dual_history,mech_pair_test,bandit,32,0.3435617395130466,0.94540782286232,1.5606987092170044,0.17687414643843216,0.26774814601413444,1.0,-0.6732095775433218,0.6019601459603217,1.6276297876103047,32,0.1,32,1.0,0.6019601459603217,-0.6946817037185122,0.947150825113884
dual_history,mech_pair_test,debugging,32,-0.09053411356940533,0.9740990607083719,1.7318093643257157,0.30045640002250296,0.3365509577210162,1.0,-2.0260678298064003,0.47261160946377734,1.6866930436112182,32,0.1,32,1.0,0.47261160946377734,-3.429142192125696,0.9772254484142135
dual_history,mech_pair_test,foraging,32,0.4255701035012205,0.9481265173949021,1.4960625986584977,0.14326942669514825,0.20462234920712666,1.0,-0.4231639326243337,0.7755016353461857,1.4087453163826649,32,0.1,32,1.0,0.7755016353461857,-0.5027843242151455,0.9532586186424875
dual_history,mech_pair_test,solvability,32,0.34367251170430846,0.9446618118204074,1.1161808108198803,0.3646937209198213,0.3919468895544494,0.96875,-0.3699447350533063,0.38155317567287955,1.2676513754219694,32,0.1,32,1.0,0.38155317567287955,-0.7922985801019222,0.8340550673946432
dual_history,mech_task_holdout,effort,32,0.18820704455527137,0.9291747913278984,1.2146518178379562,0.20889005529574955,0.22875149770674177,0.96875,-0.7519217967027411,0.599338579979279,1.3595298564338902,32,0.1,32,1.0,0.599338579979279,-2.0978447096620316,0.751948285984251
dual_history,mech_task_holdout,information_sampling,32,-17.38123147868952,0.02802448567776309,0.07325449969558828,0.1378147514447132,0.1912701590047392,0.40625,-21.15384998748791,-9.99728301939694,0.0,32,0.1,0,0.0,,,
dual_history,mech_task_holdout,waiting,32,0.38567125633868893,0.8781875333797987,1.1060430709112998,0.14692771467547544,0.20316308323531176,0.90625,-0.18906390274088217,0.7100006600210956,1.3169633392362778,32,0.1,32,1.0,0.7100006600210956,-0.11058141885847389,0.9210295593351396
latent_context,mech_pair_test,bandit,32,-2.2143979600910457,0.46926051987579315,0.2535909520698286,0.7467264063392832,1.00172470090394,0.5,-2.0425484025989498,-1.7545174728493536,0.6226469677029407,32,0.1,32,1.0,-1.7545174728493536,-2.4863913944274136,-0.6656084924285989
latent_context,mech_pair_test,debugging,32,-4.614940289735365,0.5495534002460828,0.38396452044276824,0.7174505115350954,0.8398393189983993,0.5,-6.290503835633825,-3.7878353854862596,0.6649113902195565,32,0.1,32,1.0,-3.7878353854862596,-7.937165718097455,-2.300686967649783
latent_context,mech_pair_test,foraging,32,-7.0471144258146445,0.4025344692775709,0.410334027854362,0.8193030928291344,0.9515695548228277,0.5,-10.13255605039182,-7.628219919512025,0.6575734834388617,32,0.1,32,1.0,-7.628219919512025,-11.819771183515567,-3.991792893959156
latent_context,mech_task_holdout,effort,32,0.3045261714374654,0.9193477415167707,0.953500874383516,0.2938186101163826,0.33883552923616655,0.875,-0.14834113111951003,0.0916738077986804,0.7959394700105591,32,0.1,32,1.0,0.0916738077986804,-0.5739150987203423,0.7216401521978284
latent_context,mech_task_holdout,information_sampling,32,-2.729329144594057,0.2861333001412056,0.3653150470665854,0.17992484616310242,0.21984965494581293,0.46875,-37.242489116895904,-3.705567686610512,0.0,32,0.1,12,0.375,0.41084544230658576,-0.8654265530321665,0.9165562241136808
latent_context,mech_task_holdout,waiting,32,-0.12546631910548744,0.8410200873362546,1.4091334083546931,0.17658230641582484,0.30014771281757735,0.90625,-1.2550580584613065,0.28748150530273103,1.5607498206488764,32,0.1,32,1.0,0.28748150530273103,-2.689785080331523,0.7866472010695605
outcome_history,mech_pair_test,bandit,32,-0.22594348113631546,0.9408535627221986,1.8388540202207218,0.20816374691571224,0.31062470260582487,1.0,-2.107474648023406,-0.06825115169301665,2.03356251181771,32,0.1,32,1.0,-0.06825115169301665,-3.9576824921522733,0.8920258761822267
