theory,split,frozen_global_cfr,random_mean,random_max,p_plus_one
dual_history,mech_pair_test,0.26840568616493055,-0.01415549024836515,0.05048639627301987,0.047619047619047616
dual_history,mech_task_holdout,0.02581586625327359,-0.12920494904512253,-0.00962629705291529,0.047619047619047616
latent_context,mech_pair_test,-3.7505021024752647,-0.005116979040949848,0.04337597347033573,1.0
latent_context,mech_task_holdout,0.018811705576889493,-0.06540633860157752,-0.009222722223976465,0.047619047619047616
outcome_history,mech_pair_test,0.03736968926599993,-0.0386516792622805,0.012892199401208337,0.047619047619047616
outcome_history,mech_task_holdout,-0.032798541747530274,-0.12822483524456504,-0.03798390733606616,0.047619047619047616
