theory,split,method,median_relative_error,max_relative_error
dual_history,mech_pair_test,random_000,0.005883892532363428,0.020989915070262
dual_history,mech_pair_test,random_001,0.005410142320327961,0.04512327387301831
dual_history,mech_pair_test,random_002,0.004378159476375872,0.036374140696487894
dual_history,mech_pair_test,random_003,0.004578290130200816,0.01913064287537648
dual_history,mech_pair_test,random_004,0.004094577152907132,0.024141440984100256
dual_history,mech_pair_test,random_005,0.006249146630704328,0.058614647585199825
dual_history,mech_pair_test,random_006,0.007323194500584626,0.03872168550664878
dual_history,mech_pair_test,random_007,0.0059800153468400185,0.026441060594709794
dual_history,mech_pair_test,random_008,0.004539574044966625,0.02712916897988203
dual_history,mech_pair_test,random_009,0.004997752924541317,0.03131709918597955
dual_history,mech_pair_test,random_010,0.006116711396838991,0.038481437242824865
dual_history,mech_pair_test,random_011,0.006115466372697137,0.02819353558179333
dual_history,mech_pair_test,random_012,0.00618125127498907,0.030290522945140723
dual_history,mech_pair_test,random_013,0.004217081512556965,0.03357670461058414
dual_history,mech_pair_test,random_014,0.007785923349736381,0.030046686719553885
dual_history,mech_pair_test,random_015,0.004821510655277616,0.031506321753567434
dual_history,mech_pair_test,random_016,0.004185921812546973,0.020959952396458113
dual_history,mech_pair_test,random_017,0.004939887098872433,0.03291102513891805
dual_history,mech_pair_test,random_018,0.006963289275366167,0.03307517148842405
dual_history,mech_pair_test,random_019,0.004854495285714,0.02209909526647508
dual_history,mech_task_holdout,random_000,0.00903618004934515,0.15184498594352852
dual_history,mech_task_holdout,random_001,0.006631018819469814,0.18927692055085615
dual_history,mech_task_holdout,random_002,0.009236336100083085,0.09378652424661824
dual_history,mech_task_holdout,random_003,0.007658765693356797,0.22423858120856355
dual_history,mech_task_holdout,random_004,0.008583143590825713,0.07294020640727977
dual_history,mech_task_holdout,random_005,0.007776238537274587,0.11334088252181068
dual_history,mech_task_holdout,random_006,0.012562347232454474,0.12248194222945834
dual_history,mech_task_holdout,random_007,0.007964470934589633,0.10268855002766498
dual_history,mech_task_holdout,random_008,0.005882683028318453,0.1451226160227241
dual_history,mech_task_holdout,random_009,0.0074008948693602816,0.15675689879887061
dual_history,mech_task_holdout,random_010,0.00639656517053293,0.15444796804888405
dual_history,mech_task_holdout,random_011,0.004844224944917293,0.13576713652615433
dual_history,mech_task_holdout,random_012,0.007912262629450783,0.06276830281630373
dual_history,mech_task_holdout,random_013,0.007708672711162899,0.10707346249397662
dual_history,mech_task_holdout,random_014,0.00999037791494211,0.09326526447899902
dual_history,mech_task_holdout,random_015,0.006763561426513164,0.14803016154816023
dual_history,mech_task_holdout,random_016,0.006492625917457906,0.09955801424925774
dual_history,mech_task_holdout,random_017,0.010107215165936226,0.19507853795726496
dual_history,mech_task_holdout,random_018,0.010475822755563927,0.06282852469283856
dual_history,mech_task_holdout,random_019,0.00596300339886902,0.09502888318732981
latent_context,mech_pair_test,random_000,0.00786619345487493,0.024393569078737718
latent_context,mech_pair_test,random_001,0.008862128806364833,0.025621628353273952
latent_context,mech_pair_test,random_002,0.0070841382887344186,0.025685239969956194
latent_context,mech_pair_test,random_003,0.008359464774615015,0.024995003840132063
latent_context,mech_pair_test,random_004,0.00886128689549898,0.03196139223207432
latent_context,mech_pair_test,random_005,0.009301325888219927,0.0351131484262613
latent_context,mech_pair_test,random_006,0.008773958638514986,0.03396424922423958
latent_context,mech_pair_test,random_007,0.010044643718071213,0.03453880006271491
latent_context,mech_pair_test,random_008,0.009138252774670891,0.03287996716739596
latent_context,mech_pair_test,random_009,0.009042619024527947,0.02666286233653155
latent_context,mech_pair_test,random_010,0.008331410768951782,0.027270801952501218
latent_context,mech_pair_test,random_011,0.008572741258507367,0.030402608174242125
latent_context,mech_pair_test,random_012,0.008166306263916845,0.023992651259349556
latent_context,mech_pair_test,random_013,0.009081194904223482,0.02754798313647099
latent_context,mech_pair_test,random_014,0.010330964288698386,0.02367477590980753
latent_context,mech_pair_test,random_015,0.0066873722457352494,0.025264034796520868
latent_context,mech_pair_test,random_016,0.006588989690308921,0.025870541635478517
latent_context,mech_pair_test,random_017,0.008894263265918124,0.02937601061421698
latent_context,mech_pair_test,random_018,0.008402864430936366,0.021191703943831325
latent_context,mech_pair_test,random_019,0.007937752573963588,0.02464295720674979
latent_context,mech_task_holdout,random_000,0.019124537234600177,0.13147032349539373
latent_context,mech_task_holdout,random_001,0.022783538877922928,0.18945934390936398
latent_context,mech_task_holdout,random_002,0.020300285013780145,0.10250328441387822
latent_context,mech_task_holdout,random_003,0.019768529593168365,0.1361958767405061
latent_context,mech_task_holdout,random_004,0.017785466558624438,0.11121405261607656
latent_context,mech_task_holdout,random_005,0.01723723975802853,0.1404598751151593
latent_context,mech_task_holdout,random_006,0.018490953149956448,0.12283718517197652
latent_context,mech_task_holdout,random_007,0.0200891245485423,0.10414642548184866
latent_context,mech_task_holdout,random_008,0.021013874158379776,0.1757633063426149
latent_context,mech_task_holdout,random_009,0.018217547594178256,0.08246053243908749
latent_context,mech_task_holdout,random_010,0.019816552028239585,0.1685595040360547
latent_context,mech_task_holdout,random_011,0.016792535578240453,0.15324210221189496
latent_context,mech_task_holdout,random_012,0.020533101779643043,0.11819239850555269
latent_context,mech_task_holdout,random_013,0.019776433487296657,0.11098560468280276
latent_context,mech_task_holdout,random_014,0.02021262329165853,0.08816961549428365
latent_context,mech_task_holdout,random_015,0.02006055630128933,0.18276672847945363
latent_context,mech_task_holdout,random_016,0.026942802042904588,0.24074801360299522
latent_context,mech_task_holdout,random_017,0.018750055011484662,0.16560584433936498
latent_context,mech_task_holdout,random_018,0.021364335143334346,0.09961802617245394
latent_context,mech_task_holdout,random_019,0.016493037732683243,0.10223419667293694
outcome_history,mech_pair_test,random_000,0.007770620379252228,0.03299898869489732
outcome_history,mech_pair_test,random_001,0.005478654010689863,0.06495442497375797
outcome_history,mech_pair_test,random_002,0.004326325894204179,0.037680010130456756
outcome_history,mech_pair_test,random_003,0.00785629727977659,0.030037765218298543
outcome_history,mech_pair_test,random_004,0.00760502254671562,0.04537800835166354
outcome_history,mech_pair_test,random_005,0.006771165099980379,0.06631910867634191
outcome_history,mech_pair_test,random_006,0.004806373099338372,0.049002188952085586
outcome_history,mech_pair_test,random_007,0.007288477440308919,0.043152555766376915
outcome_history,mech_pair_test,random_008,0.006065399442467121,0.06167194451879805
outcome_history,mech_pair_test,random_009,0.006513420432371471,0.03554821346287866
outcome_history,mech_pair_test,random_010,0.0067784009436031994,0.0666475390625318
outcome_history,mech_pair_test,random_011,0.008119829110532897,0.04632489136006812
outcome_history,mech_pair_test,random_012,0.007427108859824444,0.060913613953790725
outcome_history,mech_pair_test,random_013,0.00543844755748103,0.02859704500117886
outcome_history,mech_pair_test,random_014,0.005923631533794984,0.03442525629408483
outcome_history,mech_pair_test,random_015,0.009360852416170962,0.03542275968722239
outcome_history,mech_pair_test,random_016,0.005305491673144999,0.0414381217043963
outcome_history,mech_pair_test,random_017,0.005093807748826213,0.05295018625732706
outcome_history,mech_pair_test,random_018,0.006302458031031671,0.03874247060073981
outcome_history,mech_pair_test,random_019,0.004662976126240944,0.032151008220561
outcome_history,mech_task_holdout,random_000,0.010911091623415154,0.05694406145470163
outcome_history,mech_task_holdout,random_001,0.007714376573994855,0.11984663614230247
outcome_history,mech_task_holdout,random_002,0.006145095884054911,0.06748079104785479
