architecture,bootstrap,variant_a,variant_b,delta_macro_r2,split_digest,paired_semantic_bootstrap
dual_history,14,M2,M3,0.0019177294904972886,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,14,M2,M4,-0.0005934803533383937,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,14,M3,M4,-0.0025112098438356822,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,15,M2,M3,0.002023539379902739,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,15,M2,M4,0.0005844866450568365,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,15,M3,M4,-0.0014390527348459026,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,16,M2,M3,0.0024111152776968847,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,16,M2,M4,0.0011920843783880253,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,16,M3,M4,-0.0012190308993088594,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,17,M2,M3,0.0014606827747958295,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,17,M2,M4,1.2411705769044268e-05,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,17,M3,M4,-0.0014482710690267853,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,18,M2,M3,0.001969835119965735,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,18,M2,M4,0.0006830175209416867,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,18,M3,M4,-0.0012868175990240482,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,19,M2,M3,0.0015975130659421355,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,19,M2,M4,-0.001580257866874546,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,19,M3,M4,-0.0031777709328166814,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,20,M2,M3,0.0016345667524849672,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,20,M2,M4,-0.00019350363794568004,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,20,M3,M4,-0.0018280703904306472,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
