model,theory,source_task,target_task,response_mapping,layer,rank,n_train,n_selection,n_test,global_cfr,correlation,slope,bootstrap_low,bootstrap_high,random_mean,random_max,random_p,mapping_gap,controller_hash,split_hash,endpoint_id,metric_id,mapping_averaged_cfr,mapping_sign_consistent,status,source_available
Qwen/Qwen3.5-4B,dual_history,bandit,foraging,continue_x,8,2,24,2,4,,,,,,0.0,0.0,,1.261414949700951,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.2885514655820403,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,foraging,continue_y,8,2,24,2,4,,,,,,-0.3424631107500131,-0.3424631107500131,,1.261414949700951,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.2885514655820403,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,information_sampling,pooled,8,2,24,2,2,,,,,,0.0,0.0,,0.0,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,information_sampling,continue_x,8,2,24,2,1,,,,,,0.0,0.0,,0.0,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,information_sampling,continue_y,8,2,24,2,1,,,,,,0.0,0.0,,0.0,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,solvability,pooled,8,2,24,2,6,,,,,,0.0335308960547696,0.0335308960547696,,0.5533632002335983,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0335308960547696,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,solvability,continue_x,8,2,24,2,3,,,,,,0.0670617921095393,0.0670617921095393,,0.5533632002335983,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0335308960547696,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,solvability,continue_y,8,2,24,2,3,,,,,,0.0,0.0,,0.5533632002335983,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0335308960547696,False,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,waiting,pooled,8,2,24,2,8,,,,,,0.2988646988346132,0.5758264819535608,,4.440892098500626e-16,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4039313060565086,True,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,waiting,continue_x,8,2,24,2,4,,,,,,0.3738608289253066,0.7477216578506133,,4.440892098500626e-16,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4039313060565086,True,unavailable,False
Qwen/Qwen3.5-4B,dual_history,bandit,waiting,continue_y,8,2,24,2,4,,,,,,0.2238685687439198,0.4039313060565084,,4.440892098500626e-16,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4039313060565086,True,unavailable,False
